,lugs_1989_num,lugs_1990_num,lugs_1991_num
0,1.0,5.0,9.5
1,3.0,8.0,17.5
2,3.0,11.0,18.0
3,3.0,9.0,20.0
4,5.0,9.5,20.5
5,3.5,10.0,20.0
6,3.0,12.0,19.0
7,4.5,10.0,21.0
8,5.0,11.5,19.0
9,5.0,10.0,26.0
10,6.0,11.0,20.0
11,5.0,10.0,23.0
12,4.0,10.5,22.0
13,6.0,10.0,20.0
14,5.0,11.0,20.0
15,6.5,11.0,24.0
16,4.0,11.5,23.0
17,6.0,12.0,23.0
18,3.0,12.5,20.0
19,6.0,13.0,21.0
20,5.0,11.0,23.0
21,8.0,11.0,23.0
22,4.5,11.0,22.0
23,4.0,13.0,22.0
24,4.0,11.0,21.0
25,6.5,13.0,20.0
26,4.0,12.0,18.0
27,5.0,14.0,21.0
28,3.0,10.0,16.0
29,5.5,13.0,16.0
30,3.0,8.0,15.0
31,2.0,7.5,16.0
32,2.0,8.0,15.0
33,2.0,8.0,15.0
34,2.0,7.0,17.0
35,3.0,10.0,17.0
36,2.0,7.0,21.0
37,2.0,10.0,17.0
38,2.0,8.0,20.0
39,2.0,10.0,16.0
40,2.0,9.0,20.0
41,1.5,10.0,15.0
42,1.5,8.0,17.0
43,1.5,11.0,17.0
44,1.0,10.0,20.0
45,1.0,7.0,15.0
46,1.0,5.0,14.0
47,1.0,7.0,12.0
48,0.5,8.0,11.0
49,0.5,6.0,11.0
50,0.0,7.5,8.5
51,0.0,2.5,2.5
