,binaryClass_cat,lugs_1989_num,lugs_1990_num
0,P,1.0,5.0
1,P,3.0,8.0
2,P,3.0,11.0
3,N,3.0,9.0
4,N,5.0,9.5
5,N,3.5,10.0
6,N,3.0,12.0
7,N,4.5,10.0
8,N,5.0,11.5
9,N,5.0,10.0
10,N,6.0,11.0
11,N,5.0,10.0
12,N,4.0,10.5
13,N,6.0,10.0
14,N,5.0,11.0
15,N,6.5,11.0
16,N,4.0,11.5
17,N,6.0,12.0
18,N,3.0,12.5
19,N,6.0,13.0
20,N,5.0,11.0
21,N,8.0,11.0
22,N,4.5,11.0
23,N,4.0,13.0
24,N,4.0,11.0
25,N,6.5,13.0
26,P,4.0,12.0
27,N,5.0,14.0
28,P,3.0,10.0
29,P,5.5,13.0
30,P,3.0,8.0
31,P,2.0,7.5
32,P,2.0,8.0
33,P,2.0,8.0
34,P,2.0,7.0
35,P,3.0,10.0
36,N,2.0,7.0
37,P,2.0,10.0
38,N,2.0,8.0
39,P,2.0,10.0
40,N,2.0,9.0
41,P,1.5,10.0
42,P,1.5,8.0
43,P,1.5,11.0
44,N,1.0,10.0
45,P,1.0,7.0
46,P,1.0,5.0
47,P,1.0,7.0
48,P,0.5,8.0
49,P,0.5,6.0
50,P,0.0,7.5
51,P,0.0,2.5
