,binaryClass_cat,year_num,field_goals_num
0,P,85.0,3.0
1,N,85.0,7.0
2,P,85.0,5.0
3,N,85.0,12.0
4,N,85.0,7.0
5,P,85.0,0.0
6,P,85.0,2.0
7,P,85.0,2.0
8,P,85.0,2.0
9,P,85.0,4.0
10,P,85.0,1.0
11,N,85.0,11.0
12,N,85.0,5.0
13,N,85.0,14.0
14,P,85.0,3.0
15,N,85.0,10.0
16,N,85.0,10.0
17,P,85.0,4.0
18,P,85.0,3.0
19,N,85.0,10.0
20,N,85.0,8.0
21,P,85.0,2.0
22,N,85.0,7.0
23,P,85.0,6.0
24,N,85.0,9.0
25,P,85.0,2.0
26,N,85.0,11.0
27,P,85.0,3.0
28,P,85.0,4.0
29,P,85.0,1.0
30,N,85.0,6.0
31,P,85.0,2.0
32,P,85.0,4.0
33,N,85.0,7.0
34,N,85.0,7.0
35,N,85.0,8.0
36,N,85.0,7.0
37,N,85.0,11.0
38,N,85.0,6.0
39,N,85.0,7.0
40,P,85.0,5.0
41,N,85.0,8.0
42,N,85.0,10.0
43,N,85.0,4.0
44,P,85.0,5.0
45,P,85.0,6.0
46,N,85.0,5.0
47,N,85.0,4.0
48,P,85.0,6.0
49,N,85.0,11.0
50,N,85.0,12.0
51,P,85.0,3.0
52,P,85.0,7.0
53,P,85.0,5.0
54,N,85.0,11.0
55,P,85.0,1.0
56,N,85.0,6.0
57,P,85.0,4.0
58,P,85.0,5.0
59,N,85.0,7.0
60,P,85.0,3.0
61,N,85.0,6.0
62,P,85.0,5.0
63,P,85.0,6.0
64,N,85.0,6.0
65,P,85.0,2.0
66,P,85.0,4.0
67,P,85.0,1.0
68,N,85.0,9.0
69,N,85.0,10.0
70,P,85.0,5.0
71,N,85.0,8.0
72,N,85.0,3.0
73,N,85.0,8.0
74,P,85.0,3.0
75,P,85.0,7.0
76,N,85.0,9.0
77,N,85.0,10.0
78,P,85.0,2.0
79,N,85.0,8.0
80,N,85.0,9.0
81,P,85.0,4.0
82,P,85.0,1.0
