,binaryClass_cat,ozone_num,radiation_num,temperature_num
0,P,41.0,190.0,67.0
1,P,36.0,118.0,72.0
2,N,12.0,149.0,74.0
3,N,18.0,313.0,62.0
4,P,23.0,299.0,65.0
5,N,19.0,99.0,59.0
6,N,8.0,19.0,61.0
7,P,16.0,256.0,69.0
8,P,11.0,290.0,66.0
9,N,14.0,274.0,68.0
10,N,18.0,65.0,58.0
11,N,14.0,334.0,64.0
12,N,34.0,307.0,66.0
13,N,6.0,78.0,57.0
14,N,30.0,322.0,68.0
15,P,11.0,44.0,62.0
16,P,1.0,8.0,59.0
17,N,11.0,320.0,73.0
18,P,4.0,25.0,61.0
19,N,32.0,92.0,61.0
20,N,23.0,13.0,67.0
21,N,45.0,252.0,81.0
22,P,115.0,223.0,79.0
23,P,37.0,279.0,76.0
24,P,29.0,127.0,82.0
25,N,71.0,291.0,90.0
26,N,39.0,323.0,87.0
27,P,23.0,148.0,82.0
28,N,21.0,191.0,77.0
29,N,37.0,284.0,72.0
30,P,20.0,37.0,65.0
31,N,12.0,120.0,73.0
32,N,13.0,137.0,76.0
33,P,135.0,269.0,84.0
34,P,49.0,248.0,85.0
35,P,32.0,236.0,81.0
36,P,64.0,175.0,83.0
37,N,40.0,314.0,83.0
38,P,77.0,276.0,88.0
39,P,97.0,267.0,92.0
40,P,97.0,272.0,92.0
41,P,85.0,175.0,89.0
42,N,10.0,264.0,73.0
43,N,27.0,175.0,81.0
44,N,7.0,48.0,80.0
45,P,48.0,260.0,81.0
46,N,35.0,274.0,82.0
47,P,61.0,285.0,84.0
48,P,79.0,187.0,87.0
49,N,63.0,220.0,85.0
50,P,16.0,7.0,74.0
51,P,80.0,294.0,86.0
52,P,108.0,223.0,85.0
53,P,20.0,81.0,82.0
54,N,52.0,82.0,86.0
55,P,82.0,213.0,88.0
56,P,50.0,275.0,86.0
57,P,64.0,253.0,83.0
58,P,59.0,254.0,81.0
59,P,39.0,83.0,81.0
60,N,9.0,24.0,81.0
61,P,16.0,77.0,82.0
62,P,122.0,255.0,89.0
63,N,89.0,229.0,90.0
64,P,110.0,207.0,90.0
65,N,44.0,192.0,86.0
66,N,28.0,273.0,82.0
67,P,65.0,157.0,80.0
68,N,22.0,71.0,77.0
69,P,59.0,51.0,79.0
70,P,23.0,115.0,76.0
71,N,31.0,244.0,78.0
72,N,44.0,190.0,78.0
73,N,21.0,259.0,77.0
74,N,9.0,36.0,72.0
75,P,45.0,212.0,79.0
76,P,168.0,238.0,81.0
77,P,73.0,215.0,86.0
78,P,76.0,203.0,97.0
79,P,118.0,225.0,94.0
80,P,84.0,237.0,96.0
81,P,85.0,188.0,94.0
82,P,96.0,167.0,91.0
83,P,78.0,197.0,92.0
84,P,73.0,183.0,93.0
85,P,91.0,189.0,93.0
86,P,47.0,95.0,87.0
87,N,32.0,92.0,84.0
88,N,20.0,252.0,80.0
89,N,23.0,220.0,78.0
90,N,21.0,230.0,75.0
91,P,24.0,259.0,73.0
92,N,44.0,236.0,81.0
93,N,21.0,259.0,76.0
94,P,28.0,238.0,77.0
95,N,9.0,24.0,71.0
96,N,13.0,112.0,71.0
97,P,46.0,237.0,78.0
98,N,18.0,224.0,67.0
99,N,13.0,27.0,76.0
100,N,24.0,238.0,68.0
101,P,16.0,201.0,82.0
102,N,13.0,238.0,64.0
103,P,23.0,14.0,71.0
104,N,36.0,139.0,81.0
105,N,7.0,49.0,69.0
106,N,14.0,20.0,63.0
107,P,30.0,193.0,70.0
108,N,14.0,191.0,75.0
109,P,18.0,131.0,76.0
110,N,20.0,223.0,68.0
