,count_num,livestocktype_cat,country_cat
0,478000.0,Cattle,Albania
1,2536000.0,Cattle,Austria
2,3246000.0,Cattle,Belgium
3,1796000.0,Cattle,Bulgaria
4,5131000.0,Cattle,Czechoslovakia
5,2873000.0,Cattle,Denmark
6,15098000.0,Cattle,West_Germany
7,1719000.0,Cattle,Finland
8,23599000.0,Cattle,France
9,5690000.0,Cattle,East_Germany
10,831000.0,Cattle,Greece
11,1922000.0,Cattle,Hungary
12,6908000.0,Cattle,Ireland
13,8734000.0,Cattle,Italy
14,5241000.0,Cattle,Netherlands
15,971000.0,Cattle,Norway
16,11912000.0,Cattle,Poland
17,1173000.0,Cattle,Portugal
18,6303000.0,Cattle,Romania
19,4495000.0,Cattle,Spain
20,1902000.0,Cattle,Sweden
21,1954000.0,Cattle,Switzerland
22,16983000.0,Cattle,Turkey
23,13155000.0,Cattle,United_Kingdom
24,42200000.0,Cattle,Russia_et_al.
25,5474000.0,Cattle,Yugoslavia
26,125000.0,Pigs,Albania
27,3920000.0,Pigs,Austria
28,5108000.0,Pigs,Belgium
29,3808000.0,Pigs,Bulgaria
30,7126000.0,Pigs,Czechoslovakia
31,9317000.0,Pigs,Denmark
32,22478000.0,Pigs,West_Germany
33,1475000.0,Pigs,Finland
34,11711000.0,Pigs,France
35,12107000.0,Pigs,East_Germany
36,1107000.0,Pigs,Greece
37,9035000.0,Pigs,Hungary
38,1031000.0,Pigs,Ireland
39,8928000.0,Pigs,Italy
40,10254000.0,Pigs,Netherlands
41,687000.0,Pigs,Norway
42,19471000.0,Pigs,Poland
43,2448000.0,Pigs,Portugal
44,12464000.0,Pigs,Romania
45,11263000.0,Pigs,Spain
46,2677000.0,Pigs,Sweden
47,2071000.0,Pigs,Switzerland
48,11000.0,Pigs,Turkey
49,7975000.0,Pigs,United_Kingdom
50,33100000.0,Pigs,Russia_et_al.
51,7867000.0,Pigs,Yugoslavia
52,484000.0,Poultry,Albania
53,11371000.0,Poultry,Austria
54,29448000.0,Poultry,Belgium
55,41096000.0,Poultry,Bulgaria
56,49212000.0,Poultry,Czechoslovakia
57,16296000.0,Poultry,Denmark
58,83033000.0,Poultry,West_Germany
59,7763000.0,Poultry,Finland
60,234131000.0,Poultry,France
61,51356000.0,Poultry,East_Germany
62,29846000.0,Poultry,Greece
63,45397000.0,Poultry,Hungary
64,9903000.0,Poultry,Ireland
65,137999000.0,Poultry,Italy
66,88174000.0,Poultry,Netherlands
67,5571000.0,Poultry,Norway
68,67244000.0,Poultry,Poland
69,4143000.0,Poultry,Portugal
70,109244000.0,Poultry,Romania
71,42824000.0,Poultry,Spain
72,11393000.0,Poultry,Sweden
73,6188000.0,Poultry,Switzerland
74,59660000.0,Poultry,Turkey
75,130018000.0,Poultry,United_Kingdom
76,385000000.0,Poultry,Russia_et_al.
77,65690000.0,Poultry,Yugoslavia
78,43000.0,Horses,Albania
79,35000.0,Horses,Austria
80,31000.0,Horses,Belgium
81,120000.0,Horses,Bulgaria
82,44000.0,Horses,Czechoslovakia
83,41000.0,Horses,Denmark
84,369000.0,Horses,West_Germany
85,20000.0,Horses,Finland
86,278000.0,Horses,France
87,81000.0,Horses,East_Germany
88,420000.0,Horses,Greece
89,120000.0,Horses,Hungary
90,68000.0,Horses,Ireland
91,273000.0,Horses,Italy
92,59000.0,Horses,Netherlands
93,25000.0,Horses,Norway
94,1734000.0,Horses,Poland
95,23000.0,Horses,Portugal
96,566000.0,Horses,Romania
97,242000.0,Horses,Spain
98,57000.0,Horses,Sweden
99,45000.0,Horses,Switzerland
100,784000.0,Horses,Turkey
101,140000.0,Horses,United_Kingdom
102,1556000.0,Horses,Russia_et_al.
103,573000.0,Horses,Yugoslavia
104,914000.0,Sheep,Albania
105,326000.0,Sheep,Austria
106,123000.0,Sheep,Belgium
107,11271000.0,Sheep,Bulgaria
108,990000.0,Sheep,Czechoslovakia
109,58000.0,Sheep,Denmark
110,1172000.0,Sheep,West_Germany
111,104000.0,Sheep,Finland
112,14346000.0,Sheep,France
113,2220000.0,Sheep,East_Germany
114,12669000.0,Sheep,Greece
115,3183000.0,Sheep,Hungary
116,3323000.0,Sheep,Ireland
117,10497000.0,Sheep,Italy
118,1210000.0,Sheep,Netherlands
119,1999000.0,Sheep,Norway
120,3899000.0,Sheep,Poland
121,2811000.0,Sheep,Portugal
122,17748000.0,Sheep,Romania
123,16543000.0,Sheep,Spain
124,437000.0,Sheep,Sweden
125,336000.0,Sheep,Switzerland
126,70093000.0,Sheep,Turkey
127,32888000.0,Sheep,United_Kingdom
128,21000000.0,Sheep,Russia_et_al.
129,7384000.0,Sheep,Yugoslavia
