,resolution_num,error_num,percent_num,distance_num
0,5.010459,18.90625,50,37.40523
1,4.50459,16.33333,55,37.1523
2,3.999597,19.4375,60,36.89979
3,3.495549,17.44791,65,36.6478
4,2.99253,17.03646,70,36.39627
5,2.490607,14.59896,75,36.1453
6,1.989856,11.63021,80,35.89493
7,1.49035,9.13542,85,35.64516
8,0.992159,7.58333,90,35.39608
9,0.4953526,6.041666,95,35.14767
10,0.0,5.45833,100,34.9
11,9.550089,16.05728,50,30.07505
12,8.559379,16.97396,55,29.5797
13,7.575369,13.69792,60,29.08769
14,6.598566,12.05729,65,28.59927
15,5.629449,11.95833,70,28.11473
16,4.668479,11.97396,75,27.63423
17,3.716089,9.81771,80,27.15805
18,2.772684,9.182291,85,26.68634
19,1.83864,7.65625,90,26.21932
20,0.914303,5.30729,95,25.75715
21,0.0,5.916666,100,25.29999
22,15.87139,8.244791,50,17.43569
23,14.07936,9.213541,55,16.53969
24,12.33024,9.47917,60,15.66512
25,10.62565,9.026041,65,14.81283
26,8.96681,8.13542,70,13.9834
27,7.354559,5.96875,75,13.17728
28,5.78943,6.322916,80,12.39471
29,4.271603,6.40625,85,11.6358
30,2.801006,6.078125,90,10.9005
31,1.377318,4.80208,95,10.18866
32,0.0,3.104167,100,9.5
33,19.47035,5.78125,50,0.264824
34,16.85102,6.34896,55,1.574486
35,14.40709,7.99479,60,2.79645
36,12.12956,7.97396,65,3.93522
37,10.00848,6.57292,70,4.995754
38,8.03353,6.479166,75,5.98323
39,6.19434,6.90104,80,6.90282
40,4.48079,7.11458,85,7.7596
41,2.883213,6.63542,90,8.55839
42,1.392464,5.77083,95,9.30376
43,0.0,3.36979,100,10.0
