,binaryClass_cat,error_num,percent_num,distance_num
0,P,18.90625,50.0,37.40523
1,P,16.33333,55.0,37.1523
2,P,19.4375,60.0,36.89979
3,P,17.44791,65.0,36.6478
4,P,17.03646,70.0,36.39627
5,P,14.59896,75.0,36.1453
6,P,11.63021,80.0,35.89493
7,P,9.13542,85.0,35.64516
8,P,7.58333,90.0,35.39608
9,P,6.041666,95.0,35.14767
10,P,5.45833,100.0,34.9
11,N,16.05728,50.0,30.07505
12,N,16.97396,55.0,29.5797
13,N,13.69792,60.0,29.08769
14,N,12.05729,65.0,28.59927
15,P,11.95833,70.0,28.11473
16,P,11.97396,75.0,27.63423
17,P,9.81771,80.0,27.15805
18,P,9.182291,85.0,26.68634
19,P,7.65625,90.0,26.21932
20,P,5.30729,95.0,25.75715
21,P,5.916666,100.0,25.29999
22,N,8.244791,50.0,17.43569
23,N,9.213541,55.0,16.53969
24,N,9.47917,60.0,15.66512
25,N,9.026041,65.0,14.81283
26,N,8.13542,70.0,13.9834
27,N,5.96875,75.0,13.17728
28,P,6.322916,80.0,12.39471
29,P,6.40625,85.0,11.6358
30,P,6.078125,90.0,10.9005
31,P,4.80208,95.0,10.18866
32,P,3.104167,100.0,9.5
33,N,5.78125,50.0,0.264824
34,N,6.34896,55.0,1.574486
35,N,7.99479,60.0,2.79645
36,N,7.97396,65.0,3.93522
37,N,6.57292,70.0,4.995754
38,N,6.479166,75.0,5.98323
39,N,6.90104,80.0,6.90282
40,P,7.11458,85.0,7.7596
41,P,6.63542,90.0,8.55839
42,P,5.77083,95.0,9.30376
43,P,3.36979,100.0,10.0
