,MAL_num,year_num,month_num,day_num,RPT_num,VAL_num,ROS_num,KIL_num,SHA_num,BIR_num,DUB_num,CLA_num,MUL_num,CLO_num,BEL_num
0,15.04,61,1,1,15.04,14.96,13.17,9.29,13.96,9.87,13.67,10.25,10.83,12.58,18.5
1,13.83,61,1,2,14.71,16.88,10.83,6.5,12.62,7.67,11.5,10.04,9.79,9.67,17.54
2,12.71,61,1,3,18.5,16.88,12.33,10.13,11.17,6.17,11.25,8.04,8.5,7.67,12.75
3,10.88,61,1,4,10.58,6.63,11.75,4.58,4.54,2.88,8.63,1.79,5.83,5.88,5.46
4,11.83,61,1,5,13.33,13.25,11.42,6.17,10.71,8.21,11.92,6.54,10.92,10.34,12.92
5,13.17,61,1,6,13.21,8.12,9.96,6.67,5.37,4.5,10.67,4.42,7.17,7.5,8.12
6,13.79,61,1,7,13.5,14.29,9.5,4.96,12.29,8.33,9.17,9.29,7.58,7.96,13.96
7,16.46,61,1,8,10.96,9.75,7.62,5.91,9.62,7.29,14.29,7.62,9.25,10.46,16.62
8,15.37,61,1,9,12.58,10.83,10.0,4.75,10.37,6.79,8.04,10.13,7.79,9.08,13.04
9,11.83,61,1,10,13.37,11.12,19.5,8.33,9.71,6.54,11.42,7.79,8.54,9.0,8.58
10,16.92,61,1,11,10.58,9.87,8.42,2.79,8.71,7.25,7.54,8.33,5.71,8.67,20.71
11,14.09,61,1,12,19.75,12.08,18.5,10.54,10.29,9.46,15.54,11.5,10.37,14.58,15.59
12,7.04,61,1,13,9.92,3.54,8.46,2.96,2.29,0.96,4.63,0.58,2.33,3.37,5.25
13,5.17,61,1,14,9.04,5.66,7.08,0.67,2.71,1.38,3.08,2.58,0.5,2.67,7.17
14,6.75,61,1,15,12.04,9.67,11.75,2.37,7.38,3.13,2.5,6.83,4.75,5.63,7.54
15,9.04,61,1,16,16.42,11.25,15.67,4.71,11.34,6.92,9.25,8.79,8.21,7.33,13.04
16,16.08,61,1,17,17.75,14.37,17.33,10.13,13.96,13.37,13.42,11.04,8.71,11.38,15.92
17,17.96,61,1,18,19.83,12.04,20.79,18.54,13.83,10.29,17.83,11.38,14.67,16.71,8.79
18,7.83,61,1,19,4.92,3.42,7.29,1.04,3.67,3.17,3.71,2.79,1.92,2.71,6.87
19,6.79,61,1,20,9.59,11.83,7.96,1.58,7.92,5.0,3.17,4.92,3.13,3.37,6.5
20,12.42,61,1,21,14.33,10.25,11.92,6.13,10.04,7.67,8.04,9.17,7.04,7.87,6.75
21,9.92,61,1,22,9.59,5.88,9.92,2.17,6.87,5.5,9.38,7.04,6.34,7.5,10.88
22,20.58,61,1,23,16.54,9.96,18.54,10.46,13.5,12.67,13.7,13.75,10.75,13.17,14.79
23,25.25,61,1,24,25.04,14.83,25.84,15.67,21.46,18.58,20.38,19.38,15.37,15.12,23.09
24,17.5,61,1,25,13.62,11.17,12.67,6.04,10.0,9.42,9.25,8.71,7.12,12.04,14.04
25,25.25,61,1,26,24.37,18.79,17.5,14.25,18.91,15.67,14.33,15.16,16.08,19.08,20.5
26,27.63,61,1,27,22.04,20.79,17.41,16.21,19.04,16.13,16.79,18.29,18.66,19.08,26.08
27,18.12,61,1,28,17.67,13.54,13.33,8.87,15.04,11.63,12.25,10.58,11.92,11.04,20.3
28,23.38,61,1,29,27.25,23.91,22.29,17.54,24.08,19.7,22.0,20.25,21.46,19.95,27.71
29,19.25,61,1,30,12.21,11.42,10.92,7.92,13.08,9.62,14.5,10.21,9.92,11.96,18.88
30,13.92,61,1,31,24.21,19.55,16.71,11.96,14.42,10.46,14.88,8.21,10.5,9.96,12.42
31,8.0,61,2,1,14.25,15.12,9.04,5.88,12.08,7.17,10.17,3.63,6.5,5.5,9.17
32,7.17,61,2,2,20.17,24.21,10.0,6.54,17.37,7.17,10.88,6.08,9.08,7.12,12.08
33,8.83,61,2,3,14.37,11.71,11.04,5.09,9.87,5.83,8.5,5.13,6.34,7.38,9.71
34,11.71,61,2,4,10.58,9.46,10.92,8.71,12.46,11.46,12.54,11.04,13.04,11.17,16.5
35,14.67,61,2,5,22.0,16.75,19.7,11.63,14.25,12.04,13.96,15.54,13.37,13.13,19.33
36,21.84,61,2,6,24.5,20.75,20.62,15.37,25.33,17.62,19.17,18.79,18.96,14.46,26.38
37,17.58,61,2,7,18.05,14.37,14.88,9.75,10.96,11.17,14.21,9.71,13.04,12.25,15.21
38,19.58,61,2,8,24.54,21.42,21.34,11.63,17.04,14.21,16.5,17.33,14.67,17.79,23.79
39,19.21,61,2,9,17.41,15.92,13.67,10.71,14.0,12.92,14.37,15.71,14.46,14.67,23.04
40,17.75,61,2,10,20.5,11.54,19.67,10.04,8.12,8.08,11.08,12.54,11.12,12.96,17.83
41,21.09,61,2,11,16.79,14.0,13.7,9.54,15.83,13.29,17.5,15.5,15.83,14.33,21.17
42,17.04,61,2,12,16.0,16.92,17.25,8.38,11.75,10.37,11.71,14.37,10.37,14.62,25.41
43,19.67,61,2,13,22.5,19.7,19.41,15.34,16.13,14.62,16.08,14.12,13.96,16.58,28.62
44,11.42,61,2,14,17.08,11.63,17.25,12.12,13.75,13.46,15.46,12.29,14.88,15.67,14.09
45,10.96,61,2,15,6.04,12.08,6.13,4.21,9.87,6.92,5.17,7.41,8.17,9.21,17.12
46,22.58,61,2,16,16.79,20.17,12.67,13.25,15.29,15.12,3.42,14.29,14.79,13.79,21.92
47,17.67,61,2,17,15.25,14.09,14.75,9.54,14.62,12.92,6.17,12.58,13.25,14.54,18.21
48,13.25,61,2,18,12.08,12.38,12.67,6.04,10.71,9.08,10.88,12.38,10.0,11.34,18.58
49,20.54,61,2,19,16.17,15.59,13.7,10.79,13.5,10.96,9.62,11.83,11.58,13.67,29.63
50,12.17,61,2,20,11.04,11.08,10.63,8.33,10.92,8.29,7.25,7.75,8.83,11.08,15.09
51,6.67,61,2,21,7.79,8.63,6.08,2.21,7.41,4.33,3.75,7.04,4.5,7.41,12.12
52,13.21,61,2,22,12.29,13.21,13.54,6.46,11.58,9.21,8.25,10.29,9.21,13.08,15.25
53,21.21,61,2,23,22.08,17.46,18.88,12.42,20.5,16.13,16.38,16.92,13.21,18.0,23.21
54,9.21,61,2,24,8.71,7.08,11.38,4.83,5.96,4.58,8.17,4.67,6.21,7.0,9.59
55,13.92,61,2,25,18.84,16.42,17.41,10.21,16.13,11.38,13.08,12.21,12.33,12.5,16.04
56,23.87,61,2,26,25.8,21.5,22.42,15.21,23.09,16.88,21.17,17.25,18.46,20.04,22.83
57,17.54,61,2,27,11.0,13.37,11.17,6.87,13.21,8.75,12.75,10.83,10.88,12.67,20.0
58,13.17,61,2,28,12.92,12.75,11.04,8.92,16.13,12.29,14.75,14.46,13.96,14.04,18.41
59,14.46,61,3,1,12.67,13.13,11.79,6.42,9.79,8.54,10.25,13.29,9.0,12.21,20.62
60,13.79,61,3,2,12.58,10.04,11.17,7.12,10.29,9.21,10.88,10.5,10.58,12.96,18.38
61,16.38,61,3,3,13.33,15.54,13.67,9.59,11.58,8.71,11.29,12.83,8.92,14.09,23.45
62,8.83,61,3,4,10.96,8.83,8.17,5.88,8.25,6.0,6.21,5.66,6.25,9.79,12.46
63,14.0,61,3,5,11.25,17.0,10.41,10.04,15.46,11.17,5.5,10.34,11.71,10.83,11.58
64,5.54,61,3,6,4.88,8.08,7.54,3.13,5.41,4.08,2.83,5.29,5.21,5.09,10.21
65,8.75,61,3,7,6.46,10.5,8.0,5.41,10.58,6.58,3.63,6.67,7.08,7.04,16.08
