,HSPerc_num,OVER65Perc_num,MEDAGE_num,PERCAP$_num,COLLEGEPerc_num
0,68.7,12.5,30.4,7756,14.0
1,72.3,11.2,30.1,9217,18.4
2,71.0,11.4,29.4,7970,19.5
3,72.2,12.7,31.2,10096,20.0
4,61.1,13.4,31.8,9200,15.3
5,70.3,11.7,32.0,11559,21.2
6,66.3,12.3,31.9,10242,18.7
7,67.4,11.7,32.2,10811,18.6
8,64.7,12.9,32.1,9352,13.8
9,67.0,10.8,29.9,9401,14.8
10,66.4,10.7,29.2,8970,12.4
11,66.5,11.0,29.9,10448,14.5
12,68.0,9.8,28.8,9798,15.2
13,69.6,12.0,29.4,9361,14.9
14,73.1,11.8,29.2,9662,16.7
15,71.5,13.3,30.0,9211,14.1
16,63.5,13.2,30.9,8856,14.0
17,66.4,12.3,28.3,8651,15.2
18,67.9,13.2,28.9,7815,14.2
19,73.4,13.1,29.7,8887,16.1
20,73.3,13.0,30.1,9799,15.7
21,68.6,10.0,29.8,9949,16.3
22,67.4,9.4,30.3,10365,19.8
23,62.4,9.5,29.8,9446,19.2
24,56.0,12.2,30.4,7747,10.5
25,54.8,10.3,29.6,7774,13.4
26,53.7,9.2,28.1,7389,14.2
27,56.4,9.5,28.7,8041,15.3
28,66.7,17.3,34.7,9245,14.7
29,53.1,11.2,29.1,7644,11.0
30,56.2,11.3,30.1,7689,11.9
31,56.5,11.3,29.3,7454,12.6
32,54.8,11.5,27.7,6614,13.0
33,55.5,13.7,30.6,7099,9.7
34,57.7,9.6,27.4,8404,13.4
35,66.0,12.4,30.1,9029,15.7
36,62.6,9.6,28.2,9439,16.0
37,74.4,10.7,29.0,8334,17.3
38,73.7,9.9,27.6,8100,16.1
39,77.9,7.9,27.1,11009,17.2
40,78.6,8.6,28.6,10147,23.0
41,68.9,8.9,27.4,7947,17.3
42,72.4,11.3,29.2,8855,16.8
43,80.0,7.5,24.2,7679,20.3
44,75.5,8.2,30.2,10845,15.1
45,77.6,10.4,29.8,10248,18.8
46,75.6,11.5,30.2,9319,17.2
47,73.5,10.2,29.9,11020,19.8
48,82.5,2.9,26.1,13007,22.4
49,73.8,7.9,28.4,10129,20.3
