,hair_cat,feathers_cat,eggs_cat,milk_cat,airborne_cat,aquatic_cat,predator_cat,toothed_cat,backbone_cat,breathes_cat,venomous_cat,fins_cat,legs_num,tail_cat,domestic_cat,catsize_cat,type_cat
0,True,False,False,True,False,False,True,True,True,True,False,False,4.0,False,False,True,mammal
1,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,True,mammal
2,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,False,fish
3,True,False,False,True,False,False,True,True,True,True,False,False,4.0,False,False,True,mammal
4,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True,mammal
5,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,True,mammal
6,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,True,True,mammal
7,False,False,True,False,False,True,False,True,True,False,False,True,0.0,True,True,False,fish
8,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,False,fish
9,True,False,False,True,False,False,False,True,True,True,False,False,4.0,False,True,False,mammal
10,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True,mammal
11,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,True,False,bird
12,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,False,fish
13,False,False,True,False,False,False,True,False,False,False,False,False,0.0,False,False,False,invertebrate
14,False,False,True,False,False,True,True,False,False,False,False,False,4.0,False,False,False,invertebrate
15,False,False,True,False,False,True,True,False,False,False,False,False,6.0,False,False,False,invertebrate
16,False,True,True,False,True,False,True,False,True,True,False,False,2.0,True,False,False,bird
17,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,True,mammal
18,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,True,fish
19,False,False,False,True,False,True,True,True,True,True,False,True,0.0,True,False,True,mammal
20,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,True,False,bird
21,False,True,True,False,True,True,False,False,True,True,False,False,2.0,True,False,False,bird
22,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,True,mammal
23,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,False,True,bird
24,False,False,True,False,False,False,False,False,False,True,False,False,6.0,False,False,False,insect
25,False,False,True,False,False,True,True,True,True,True,False,False,4.0,False,False,False,amphibian
26,False,False,True,False,False,True,True,True,True,True,True,False,4.0,False,False,False,amphibian
27,True,False,False,True,True,False,False,True,True,True,False,False,2.0,True,False,False,mammal
28,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,True,mammal
29,True,False,False,True,False,False,True,True,True,True,False,False,2.0,False,True,True,mammal
30,False,False,True,False,True,False,False,False,False,True,False,False,6.0,False,False,False,insect
31,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,True,True,mammal
32,True,False,False,True,False,False,False,True,True,True,False,False,2.0,False,False,True,mammal
33,False,True,True,False,True,True,True,False,True,True,False,False,2.0,True,False,False,bird
34,False,False,True,False,False,True,False,True,True,False,False,True,0.0,True,False,False,fish
35,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,True,False,mammal
36,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,False,mammal
37,False,True,True,False,True,False,True,False,True,True,False,False,2.0,True,False,False,bird
38,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,False,fish
39,True,False,True,False,True,False,False,False,False,True,True,False,6.0,False,True,False,insect
40,True,False,True,False,True,False,False,False,False,True,False,False,6.0,False,False,False,insect
41,False,True,True,False,False,False,True,False,True,True,False,False,2.0,True,False,False,bird
42,False,False,True,False,True,False,True,False,False,True,False,False,6.0,False,False,False,insect
43,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,False,False,bird
44,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True,mammal
45,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True,mammal
46,False,False,True,False,False,True,True,False,False,False,False,False,6.0,False,False,False,invertebrate
47,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True,mammal
48,True,False,False,True,False,True,True,True,True,True,False,False,4.0,True,False,True,mammal
49,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,False,mammal
50,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True,mammal
51,True,False,True,False,True,False,False,False,False,True,False,False,6.0,False,False,False,insect
52,False,False,True,False,False,True,True,True,True,True,False,False,4.0,True,False,False,amphibian
53,False,False,True,False,False,True,True,False,False,False,False,False,8.0,False,False,True,invertebrate
54,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,False,mammal
55,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,True,mammal
56,False,True,True,False,False,False,False,False,True,True,False,False,2.0,True,False,True,bird
