,oz111_num,oz1_num,oz2_num,oz3_num,oz4_num,oz5_num,oz6_num,oz7_num,oz8_num,oz9_num,oz10_num,oz11_num,oz12_num,oz13_num,oz14_num,oz15_num,oz16_num,oz17_num,oz18_num,oz19_num,oz20_num,oz21_num,oz22_num,oz23_num,oz24_num,oz25_num,oz26_num,oz27_num,oz28_num,oz29_num,oz30_num,oz31_num,oz32_num,oz33_num,oz34_num,oz35_num,oz36_num,oz37_num,oz38_num,oz39_num,oz40_num,oz41_num,oz42_num,oz43_num,oz44_num,oz45_num,oz46_num,oz47_num,oz48_num,oz49_num,oz50_num,oz51_num,oz52_num,oz53_num,oz54_num,oz55_num,oz56_num,oz57_num,oz58_num,oz59_num,oz60_num,oz61_num,oz62_num,oz63_num,oz64_num,oz65_num,oz66_num,oz67_num,oz68_num,oz69_num,oz70_num,oz71_num,oz72_num,oz73_num,oz74_num,oz75_num,oz76_num,oz77_num,oz78_num,oz79_num,oz80_num,oz81_num,oz82_num,oz83_num,oz84_num,oz85_num,oz86_num,oz87_num,oz88_num,oz89_num,oz90_num,oz91_num,oz92_num,oz93_num,oz94_num,oz95_num,oz96_num,oz97_num,oz98_num,oz99_num,oz100_num,oz101_num,oz102_num,oz103_num,oz104_num,oz105_num,oz106_num,oz107_num,oz108_num,oz109_num,oz110_num
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116208,0.0,0.197007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258065,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.033708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001188,0.178571,0.258065,0.363636,0.253165,0.571429,0.257143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.339806,0.5,0.875,0.466667,0.755556,0.5,0.499383,0.454545,0.464286,0.5,0.600034,0.5,0.4,0.515782,0.560815,0.894737,0.517327,0.720261,0.522599,0.808185,0.54248,0.538171,0.514019,0.712418,0.478336,0.468887,0.48952,1.0,0.550296,0.47325,0.455782,0.433213,0.504143,0.531541,0.480159,0.461938,0.457185,0.575845,0.465363,0.600682,0.185185,0.212276,0.217172,0.0,0.359684,0.0,0.835222,0.89961,0.682152,0.551023,0.356088,0.315557,0.097222,0.230422,0.09037,0.0,0.571429,0.208333,0.0,1.0,0.666667,0.666667,0.921764,1.0,0.589661,0.571429,0.5,0.75,0.4375,0.571429,0.93633,0.5,1.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.5,0.489441,0.550442,0.41456,0.377171,0.461874,0.529412,0.727273,0.533333,0.333333,0.079756,0.055835,0.071537,0.034585,0.01497,0.0,0.0,0.0,0.038961,0.075949,0.178571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149692,0.617391,0.466152
2,0.592233,0.5,0.118828,0.466667,0.202467,0.5,0.499383,0.454545,0.464286,0.5,0.399966,0.5,0.4,0.515782,0.560815,0.894737,0.517327,0.261711,0.522599,0.159403,0.54248,0.538171,0.514019,0.712418,0.478336,0.468887,0.48952,1.0,0.550296,0.47325,0.455782,0.433213,0.504143,0.531541,0.480159,0.418949,0.416987,0.42321,0.479207,0.37409,0.185185,0.314578,0.315657,0.376147,0.312253,0.468828,0.055798,0.192495,0.220807,0.24975,0.356088,0.433764,0.353175,0.563253,0.345926,0.311828,0.571429,0.208333,0.0,1.0,0.666667,0.666667,0.921764,1.0,0.589661,0.571429,0.5,0.75,0.4375,0.571429,0.93633,0.5,0.0,0.538462,0.0,0.0,0.0,0.545455,0.0,0.0,0.5,0.489441,0.550442,0.41456,0.377171,0.461874,0.529412,0.727273,0.533333,0.333333,0.280074,0.26689,0.292745,0.159091,0.203593,0.172209,0.295918,0.311828,0.376623,0.253165,0.392857,0.2,0.36631,0.348137,0.394334,0.234171,0.277972,0.253652,0.25678,0.617391,0.466152
3,0.694175,0.5,0.110422,0.466667,0.156378,0.5,0.499383,0.454545,0.464286,0.5,0.300017,0.5,0.4,0.515782,0.560815,0.894737,0.517327,0.227601,0.522599,0.105338,0.54248,0.538171,0.514019,0.712418,0.478336,0.468887,0.48952,1.0,0.550296,0.47325,0.455782,0.433213,0.504143,0.531541,0.480159,0.394081,0.391147,0.393826,0.487814,0.351742,0.185185,0.378517,0.378788,0.458716,0.284585,0.521197,0.022668,0.002193,0.10861,0.191362,0.356088,0.49966,0.496032,0.75,0.493333,0.655914,0.571429,0.208333,0.0,1.0,0.666667,0.666667,0.921764,1.0,0.589661,0.571429,0.5,0.75,0.4375,0.571429,0.93633,0.5,0.0,0.0,0.538462,0.0,0.0,0.0,0.428571,0.0,0.5,0.489441,0.550442,0.41456,0.377171,0.461874,0.529412,0.727273,0.533333,0.333333,0.5,0.498604,0.535769,0.295949,0.41018,0.362233,0.622449,0.655914,0.74026,0.443038,0.642857,0.4,0.5,0.495661,0.550536,0.330988,0.423951,0.39575,0.497659,0.617391,0.466152
4,0.868932,0.5,0.10975,0.466667,0.147156,0.5,0.499383,0.454545,0.464286,0.5,0.240014,0.5,0.4,0.515782,0.560815,0.894737,0.517327,0.220855,0.522599,0.094525,0.54248,0.538171,0.514019,0.712418,0.478336,0.468887,0.48952,1.0,0.550296,0.47325,0.455782,0.433213,0.504143,0.531541,0.480159,0.3861,0.383516,0.378565,0.50604,0.327671,0.185185,0.398977,0.39899,0.501529,0.221344,0.581047,0.006975,0.005361,0.070404,0.181764,0.356088,0.58288,0.679563,0.990964,0.685926,0.892473,0.571429,0.208333,0.0,1.0,0.666667,0.666667,0.921764,1.0,0.589661,0.571429,0.5,0.75,0.4375,0.571429,0.93633,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.489441,0.550442,0.41456,0.377171,0.461874,0.529412,0.727273,0.533333,0.333333,0.651563,0.658291,0.703196,0.390316,0.553892,0.492874,0.846939,0.892473,0.987013,0.582278,0.821429,0.542857,0.63369,0.643185,0.706738,0.427806,0.56993,0.537849,0.738538,0.617391,0.466152
5,0.893204,0.5,0.125,0.466667,0.222222,0.5,0.499383,0.454545,0.464286,0.5,0.342877,0.5,0.4,0.515782,0.560815,0.894737,0.517327,0.276522,0.522599,0.182574,0.54248,0.538171,0.514019,0.712418,0.478336,0.468887,0.48952,1.0,0.550296,0.47325,0.455782,0.433213,0.504143,0.531541,0.480159,0.50761,0.507619,0.42321,0.507489,0.392776,0.185185,0.107417,0.103535,0.376147,0.217391,0.42394,0.004359,0.005848,0.063139,0.181497,0.356088,0.337296,0.143849,0.290663,0.137037,0.258065,0.571429,0.208333,0.0,1.0,0.666667,0.666667,0.921764,1.0,0.589661,0.571429,0.5,0.75,0.4375,0.571429,0.93633,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.489441,0.550442,0.41456,0.377171,0.461874,0.529412,0.727273,0.533333,0.333333,0.244568,0.229481,0.253678,0.137352,0.170659,0.14133,0.244898,0.258065,0.311688,0.227848,0.357143,0.171429,0.23262,0.201123,0.237749,0.137688,0.132867,0.111554,0.109545,0.617391,0.466152
6,0.029126,0.5,0.875,0.466667,0.755556,0.5,0.499383,0.454545,0.464286,0.5,0.600034,0.5,0.4,0.489651,0.47129,0.368421,0.457921,0.648349,0.454802,0.722815,0.492876,0.50619,0.457944,0.460784,0.493934,0.490361,0.478091,0.547945,0.431953,0.493162,0.496599,0.516245,0.484385,0.445402,0.480159,0.416266,0.411492,0.540517,0.420417,0.56834,0.577778,0.358056,0.363636,0.107034,0.56917,0.077307,0.829991,0.959064,0.710673,0.590749,0.636141,0.315557,0.097222,0.230422,0.09037,0.0,0.5,0.166667,1.0,0.0,0.333333,0.333333,0.15505,0.220588,0.367338,0.428571,0.515152,0.5,0.4375,0.571429,0.0,0.5,0.857143,0.0,0.0,0.0,0.555556,0.0,0.0,0.0,0.5,0.489441,0.561062,0.330637,0.73201,0.601307,0.529412,0.818182,0.533333,0.583333,0.079756,0.055835,0.073059,0.024209,0.028443,0.074822,0.0,0.0,0.038961,0.063291,0.035714,0.085714,0.0,0.0,0.0,0.0,0.0,0.0,0.149692,0.495652,0.489082
7,0.339806,0.5,0.118828,0.466667,0.202467,0.5,0.499383,0.454545,0.464286,0.5,0.399966,0.5,0.4,0.489651,0.47129,0.368421,0.457921,0.233624,0.454802,0.140432,0.492876,0.50619,0.457944,0.460784,0.493934,0.490361,0.478091,0.547945,0.431953,0.493162,0.496599,0.516245,0.484385,0.445402,0.480159,0.373277,0.371293,0.387883,0.43426,0.341748,0.577778,0.470588,0.469697,0.501529,0.517787,0.568579,0.078466,0.215643,0.230673,0.261414,0.636141,0.433764,0.353175,0.563253,0.345926,0.311828,0.5,0.166667,1.0,0.0,0.333333,0.333333,0.15505,0.220588,0.367338,0.428571,0.515152,0.5,0.4375,0.571429,0.0,0.5,0.0,0.461538,0.0,0.0,0.0,0.454545,0.0,0.0,0.5,0.489441,0.561062,0.330637,0.73201,0.601307,0.529412,0.818182,0.533333,0.583333,0.280074,0.26689,0.294774,0.140316,0.326347,0.361045,0.295918,0.311828,0.376623,0.227848,0.357143,0.4,0.36631,0.348137,0.398928,0.19732,0.451923,0.459495,0.25678,0.495652,0.489082
8,0.407767,0.5,0.110422,0.466667,0.156378,0.5,0.499383,0.454545,0.464286,0.5,0.300017,0.5,0.4,0.489651,0.47129,0.368421,0.457921,0.203166,0.454802,0.0919,0.492876,0.50619,0.457944,0.460784,0.493934,0.490361,0.478091,0.547945,0.431953,0.493162,0.496599,0.516245,0.484385,0.445402,0.480159,0.348409,0.345454,0.358499,0.442868,0.319399,0.577778,0.539642,0.540404,0.587156,0.486166,0.625935,0.031386,0.003168,0.11157,0.194228,0.636141,0.49966,0.496032,0.75,0.493333,0.655914,0.5,0.166667,1.0,0.0,0.333333,0.333333,0.15505,0.220588,0.367338,0.428571,0.515152,0.5,0.4375,0.571429,0.0,0.5,0.0,0.0,0.461538,0.0,0.0,0.0,0.357143,0.0,0.5,0.489441,0.561062,0.330637,0.73201,0.601307,0.529412,0.818182,0.533333,0.583333,0.5,0.498604,0.537798,0.267787,0.652695,0.675772,0.622449,0.655914,0.74026,0.405063,0.75,0.742857,0.5,0.495661,0.55513,0.285092,0.673951,0.660027,0.497659,0.495652,0.489082
9,0.456311,0.5,0.10975,0.466667,0.147156,0.5,0.499383,0.454545,0.464286,0.5,0.240014,0.5,0.4,0.489651,0.47129,0.368421,0.457921,0.19715,0.454802,0.082194,0.492876,0.50619,0.457944,0.460784,0.493934,0.490361,0.478091,0.547945,0.431953,0.493162,0.496599,0.516245,0.484385,0.445402,0.480159,0.340428,0.337823,0.343237,0.461093,0.295328,0.577778,0.56266,0.560606,0.636086,0.422925,0.690773,0.008718,0.007554,0.06861,0.180697,0.636141,0.58288,0.679563,0.990964,0.685926,0.892473,0.5,0.166667,1.0,0.0,0.333333,0.333333,0.15505,0.220588,0.367338,0.428571,0.515152,0.5,0.4375,0.571429,0.0,0.5,0.0,0.0,0.0,0.857143,0.0,0.0,0.0,0.833333,0.5,0.489441,0.561062,0.330637,0.73201,0.601307,0.529412,0.818182,0.533333,0.583333,0.651563,0.658291,0.705226,0.355731,0.878743,0.891924,0.846939,0.892473,1.0,0.531646,1.0,1.0,0.63369,0.643185,0.711332,0.373199,0.895105,0.860558,0.738538,0.495652,0.489082
