,Day_of_week_cat,Month_cat,Day_cat,Births_num
0,Sunday,1/1/00,1,7701
1,Monday,1/1/00,2,7527
2,Tuesday,1/1/00,3,8825
3,Wednesday,1/1/00,4,8859
4,Thursday,1/1/00,5,9043
5,Friday,1/1/00,6,9208
6,Saturday,1/1/00,7,8084
7,Sunday,1/1/00,8,7611
8,Monday,1/1/00,9,9172
9,Tuesday,1/1/00,10,9089
10,Wednesday,1/1/00,11,9210
11,Thursday,1/1/00,12,9259
12,Friday,1/1/00,13,9138
13,Saturday,1/1/00,14,8299
14,Sunday,1/1/00,15,7771
15,Monday,1/1/00,16,9458
16,Tuesday,1/1/00,17,9339
17,Wednesday,1/1/00,18,9120
18,Thursday,1/1/00,19,9226
19,Friday,1/1/00,20,9305
20,Saturday,1/1/00,21,7954
21,Sunday,1/1/00,22,7560
22,Monday,1/1/00,23,9252
23,Tuesday,1/1/00,24,9416
24,Wednesday,1/1/00,25,9090
25,Thursday,1/1/00,26,9387
26,Friday,1/1/00,27,8983
27,Saturday,1/1/00,28,7946
28,Sunday,1/1/00,29,7527
29,Monday,1/1/00,30,9184
30,Tuesday,1/1/00,31,9152
31,Wednesday,2/1/00,1,9159
32,Thursday,2/1/00,2,9218
33,Friday,2/1/00,3,9167
34,Saturday,2/1/00,4,8065
35,Sunday,2/1/00,5,7804
36,Monday,2/1/00,6,9225
37,Tuesday,2/1/00,7,9328
38,Wednesday,2/1/00,8,9139
39,Thursday,2/1/00,9,9247
40,Friday,2/1/00,10,9527
41,Saturday,2/1/00,11,8144
42,Sunday,2/1/00,12,7950
43,Monday,2/1/00,13,8966
44,Tuesday,2/1/00,14,9859
45,Wednesday,2/1/00,15,9285
46,Thursday,2/1/00,16,9103
47,Friday,2/1/00,17,9238
48,Saturday,2/1/00,18,8167
49,Sunday,2/1/00,19,7695
50,Monday,2/1/00,20,9021
51,Tuesday,2/1/00,21,9252
52,Wednesday,2/1/00,22,9335
53,Thursday,2/1/00,23,9268
54,Friday,2/1/00,24,9552
55,Saturday,2/1/00,25,8313
56,Sunday,2/1/00,26,7881
57,Monday,2/1/00,27,9262
58,Tuesday,2/1/00,28,9705
59,Wednesday,3/1/00,1,9132
60,Thursday,3/1/00,2,9304
61,Friday,3/1/00,3,9431
62,Saturday,3/1/00,4,8008
63,Sunday,3/1/00,5,7791
64,Monday,3/1/00,6,9294
65,Tuesday,3/1/00,7,9573
66,Wednesday,3/1/00,8,9212
67,Thursday,3/1/00,9,9218
68,Friday,3/1/00,10,9583
69,Saturday,3/1/00,11,8144
70,Sunday,3/1/00,12,7870
71,Monday,3/1/00,13,9022
72,Tuesday,3/1/00,14,9525
73,Wednesday,3/1/00,15,9284
74,Thursday,3/1/00,16,9327
75,Friday,3/1/00,17,9480
76,Saturday,3/1/00,18,7965
77,Sunday,3/1/00,19,7729
78,Monday,3/1/00,20,9135
79,Tuesday,3/1/00,21,9663
80,Wednesday,3/1/00,22,9307
81,Thursday,3/1/00,23,9159
82,Friday,3/1/00,24,9157
83,Saturday,3/1/00,25,7874
84,Sunday,3/1/00,26,7589
85,Monday,3/1/00,27,9100
86,Tuesday,3/1/00,28,9293
87,Wednesday,3/1/00,29,9195
88,Thursday,3/1/00,30,8902
89,Friday,3/1/00,31,9318
90,Saturday,4/1/00,1,8069
91,Sunday,4/1/00,2,7691
92,Monday,4/1/00,3,9114
93,Tuesday,4/1/00,4,9439
94,Wednesday,4/1/00,5,8852
95,Thursday,4/1/00,6,8969
96,Friday,4/1/00,7,9077
97,Saturday,4/1/00,8,7890
98,Sunday,4/1/00,9,7445
99,Monday,4/1/00,10,8870
100,Tuesday,4/1/00,11,9023
101,Wednesday,4/1/00,12,8606
102,Thursday,4/1/00,13,8724
103,Friday,4/1/00,14,9012
104,Saturday,4/1/00,15,7527
105,Sunday,4/1/00,16,7193
106,Monday,4/1/00,17,8702
107,Tuesday,4/1/00,18,9205
108,Wednesday,4/1/00,19,8720
109,Thursday,4/1/00,20,8582
110,Friday,4/1/00,21,8892
111,Saturday,4/1/00,22,7787
112,Sunday,4/1/00,23,7304
113,Monday,4/1/00,24,9017
114,Tuesday,4/1/00,25,9077
115,Wednesday,4/1/00,26,9019
116,Thursday,4/1/00,27,8839
117,Friday,4/1/00,28,9047
118,Saturday,4/1/00,29,7750
119,Sunday,4/1/00,30,7135
120,Monday,5/1/00,1,8900
121,Tuesday,5/1/00,2,9422
122,Wednesday,5/1/00,3,9051
123,Thursday,5/1/00,4,8672
124,Friday,5/1/00,5,9101
125,Saturday,5/1/00,6,7718
126,Sunday,5/1/00,7,7388
127,Monday,5/1/00,8,8987
128,Tuesday,5/1/00,9,9307
129,Wednesday,5/1/00,10,9273
130,Thursday,5/1/00,11,8903
131,Friday,5/1/00,12,8975
132,Saturday,5/1/00,13,7762
133,Sunday,5/1/00,14,7382
134,Monday,5/1/00,15,9195
135,Tuesday,5/1/00,16,9200
136,Wednesday,5/1/00,17,8913
137,Thursday,5/1/00,18,9044
138,Friday,5/1/00,19,9000
139,Saturday,5/1/00,20,8064
140,Sunday,5/1/00,21,7570
141,Monday,5/1/00,22,9089
142,Tuesday,5/1/00,23,9210
143,Wednesday,5/1/00,24,9196
144,Thursday,5/1/00,25,9180
145,Friday,5/1/00,26,9514
146,Saturday,5/1/00,27,8005
147,Sunday,5/1/00,28,7781
148,Monday,5/1/00,29,7780
149,Tuesday,5/1/00,30,9630
150,Wednesday,5/1/00,31,9600
151,Thursday,6/1/00,1,9435
152,Friday,6/1/00,2,9303
153,Saturday,6/1/00,3,7971
154,Sunday,6/1/00,4,7399
155,Monday,6/1/00,5,9127
156,Tuesday,6/1/00,6,9606
157,Wednesday,6/1/00,7,9328
158,Thursday,6/1/00,8,9075
159,Friday,6/1/00,9,9362
160,Saturday,6/1/00,10,8040
161,Sunday,6/1/00,11,7581
162,Monday,6/1/00,12,9201
163,Tuesday,6/1/00,13,9264
164,Wednesday,6/1/00,14,9216
165,Thursday,6/1/00,15,9175
166,Friday,6/1/00,16,9350
167,Saturday,6/1/00,17,8233
168,Sunday,6/1/00,18,7777
169,Monday,6/1/00,19,9543
170,Tuesday,6/1/00,20,9672
171,Wednesday,6/1/00,21,9266
172,Thursday,6/1/00,22,9405
173,Friday,6/1/00,23,9598
174,Saturday,6/1/00,24,8122
175,Sunday,6/1/00,25,8091
176,Monday,6/1/00,26,9348
177,Tuesday,6/1/00,27,9857
178,Wednesday,6/1/00,28,9701
179,Thursday,6/1/00,29,9630
180,Friday,6/1/00,30,10080
181,Saturday,7/1/00,1,8209
182,Sunday,7/1/00,2,7976
183,Monday,7/1/00,3,9284
184,Tuesday,7/1/00,4,8433
185,Wednesday,7/1/00,5,9675
186,Thursday,7/1/00,6,10184
187,Friday,7/1/00,7,10241
188,Saturday,7/1/00,8,8773
189,Sunday,7/1/00,9,8102
190,Monday,7/1/00,10,9877
191,Tuesday,7/1/00,11,9852
192,Wednesday,7/1/00,12,9705
193,Thursday,7/1/00,13,9984
194,Friday,7/1/00,14,10438
195,Saturday,7/1/00,15,8859
196,Sunday,7/1/00,16,8416
197,Monday,7/1/00,17,10026
198,Tuesday,7/1/00,18,10357
199,Wednesday,7/1/00,19,10015
200,Thursday,7/1/00,20,10386
201,Friday,7/1/00,21,10332
202,Saturday,7/1/00,22,9062
203,Sunday,7/1/00,23,8563
204,Monday,7/1/00,24,9960
205,Tuesday,7/1/00,25,10349
206,Wednesday,7/1/00,26,10091
207,Thursday,7/1/00,27,10192
208,Friday,7/1/00,28,10307
209,Saturday,7/1/00,29,8677
210,Sunday,7/1/00,30,8486
211,Monday,7/1/00,31,9890
212,Tuesday,8/1/00,1,10145
213,Wednesday,8/1/00,2,9824
214,Thursday,8/1/00,3,10128
215,Friday,8/1/00,4,10051
216,Saturday,8/1/00,5,8738
217,Sunday,8/1/00,6,8442
218,Monday,8/1/00,7,10206
219,Tuesday,8/1/00,8,10442
220,Wednesday,8/1/00,9,10142
221,Thursday,8/1/00,10,10284
222,Friday,8/1/00,11,10162
223,Saturday,8/1/00,12,8951
224,Sunday,8/1/00,13,8532
225,Monday,8/1/00,14,10127
226,Tuesday,8/1/00,15,10502
227,Wednesday,8/1/00,16,10053
228,Thursday,8/1/00,17,10377
229,Friday,8/1/00,18,10355
230,Saturday,8/1/00,19,8904
231,Sunday,8/1/00,20,8477
232,Monday,8/1/00,21,9967
233,Tuesday,8/1/00,22,10229
234,Wednesday,8/1/00,23,9900
235,Thursday,8/1/00,24,10152
236,Friday,8/1/00,25,10173
237,Saturday,8/1/00,26,8782
238,Sunday,8/1/00,27,8453
239,Monday,8/1/00,28,9998
240,Tuesday,8/1/00,29,10387
241,Wednesday,8/1/00,30,10063
242,Thursday,8/1/00,31,9849
243,Friday,,1,10114
244,Saturday,,2,8580
245,Sunday,,3,8355
246,Monday,,4,8481
247,Tuesday,,5,10023
248,Wednesday,,6,10703
249,Thursday,,7,10292
250,Friday,,8,10371
251,Saturday,,9,9023
252,Sunday,,10,8630
253,Monday,,11,10154
254,Tuesday,,12,10425
255,Wednesday,,13,10149
256,Thursday,,14,10265
257,Friday,,15,10265
258,Saturday,,16,9170
259,Sunday,,17,8711
260,Monday,,18,10304
261,Tuesday,,19,10711
262,Wednesday,,20,10488
263,Thursday,,21,10499
264,Friday,,22,10349
265,Saturday,,23,8735
266,Sunday,,24,8647
267,Monday,,25,10414
268,Tuesday,,26,10498
269,Wednesday,,27,10344
270,Thursday,,28,10175
271,Friday,,29,10368
272,Saturday,,30,8648
273,Sunday,10/1/00,1,8686
274,Monday,10/1/00,2,9927
275,Tuesday,10/1/00,3,10378
276,Wednesday,10/1/00,4,9928
277,Thursday,10/1/00,5,9949
278,Friday,10/1/00,6,10052
279,Saturday,10/1/00,7,8605
280,Sunday,10/1/00,8,8377
281,Monday,10/1/00,9,9765
282,Tuesday,10/1/00,10,10351
283,Wednesday,10/1/00,11,9873
284,Thursday,10/1/00,12,9824
285,Friday,10/1/00,13,9755
286,Saturday,10/1/00,14,8554
287,Sunday,10/1/00,15,7873
288,Monday,10/1/00,16,9531
289,Tuesday,10/1/00,17,9938
