,Total96_num,Gore00_num,Bush00_num,Buchanan00_num,Nader00_num,Browne00_num,Hagelin00_num,Harris00_num,McReynolds00_num,Moorehead00_num,Phillips00_num,Total00_num,Clinton96_num,Dole96_num,Perot96_num
0,74484,47300,34062,262,3215,658,42,4,658,21,20,86242,40144,25303,8072
1,6634,2392,5610,73,53,17,3,0,0,3,3,8154,2273,3684,667
2,51566,18850,38637,248,828,171,18,5,3,37,18,58815,17020,28290,5922
3,8247,3072,5413,65,84,28,2,0,0,3,2,8669,3356,4038,819
4,195055,97318,115185,570,4470,643,39,11,11,76,72,218395,80416,87980,25249
5,505105,386518,177279,789,7099,1212,128,49,35,123,74,573306,320736,142834,38964
6,4158,2155,2873,90,39,10,1,0,1,3,2,5174,1794,1717,630
7,63014,29641,35419,182,1461,127,15,6,3,12,19,66885,27121,27836,7783
8,49585,25501,29744,270,1378,194,16,5,0,28,18,57154,22042,20114,7244
9,47035,14630,41745,186,562,204,14,1,3,9,6,57360,13246,30332,3281
10,72511,29905,60426,122,1400,185,34,7,4,29,10,92122,23182,42590,6320
11,16326,7047,10964,89,258,127,7,1,2,5,8,18508,6691,7588,1970
12,553491,328702,289456,561,5355,759,119,88,36,124,69,625269,317378,209634,24722
13,7485,3322,4256,36,157,23,0,0,3,2,8,7807,3219,3272,965
14,3795,1825,2698,29,75,32,2,0,0,2,3,4666,1731,1398,652
15,253943,107680,152082,650,2752,954,160,36,16,41,57,264428,112258,126857,13844
16,107687,40958,73029,504,1729,297,24,6,3,20,110,116680,37768,60839,8587
17,20075,13891,12608,83,435,60,4,1,3,12,3,27100,9583,8232,2185
18,4569,2042,2448,33,85,17,3,1,0,2,3,4634,2095,1563,878
19,14193,9565,4750,39,139,24,4,7,3,12,6,14549,9405,3813,938
20,4795,1910,3300,29,97,52,1,0,0,4,2,5395,1985,1939,841
21,3431,1420,1840,9,56,12,3,0,1,1,0,3342,1530,1361,521
22,5986,2389,3546,71,86,21,4,2,2,9,2,6132,2480,2424,1054
23,3670,1718,2153,24,39,11,2,6,9,4,7,3973,1734,1518,406
24,6204,2341,3764,30,75,17,2,0,0,3,2,6234,2417,2926,851
25,8896,3239,4743,22,103,11,1,3,2,2,7,8133,3882,3855,1135
26,58055,32644,30646,242,1501,116,26,8,4,22,10,65219,28520,22039,7272
27,33699,14152,20196,99,409,51,14,5,3,7,5,34941,14244,15608,3739
28,308190,166581,176967,836,7348,1104,215,35,29,150,66,353331,144223,136621,25154
29,6801,2154,4985,76,91,18,7,1,3,2,6,7343,2310,3248,1208
30,43963,19769,28627,105,950,123,13,4,2,10,13,49616,16373,22709,4635
31,15509,6868,9138,102,138,40,2,0,1,7,4,16300,6665,7187,1602
32,4808,3038,2481,29,76,14,1,2,1,0,0,5642,2543,1851,393
33,2322,788,1669,10,26,6,0,3,1,0,1,2504,829,1166,316
34,73911,36555,49963,289,1459,203,36,4,1,14,21,88545,25750,35089,8813
35,165923,73560,106141,305,3587,538,81,30,5,96,34,184377,65692,80882,18389
36,91685,61425,39053,282,1932,330,28,9,7,31,16,103113,50058,33914,6672
37,11065,5403,6860,67,284,92,1,1,1,11,10,12730,4938,4299,1774
38,2164,1011,1316,39,19,12,3,0,0,2,1,2403,868,913,376
39,5584,3011,3038,29,54,18,2,0,1,5,1,6159,2791,2195,578
40,96741,49169,57948,272,2489,243,35,5,3,26,19,110209,41835,44059,10360
41,90146,44648,55135,563,1810,361,26,14,6,49,22,102634,37033,41397,11340
42,54646,26619,33864,108,1075,105,29,13,8,12,19,61852,20851,28516,5005
43,32450,16483,16059,47,1090,162,26,1,0,7,3,33878,15219,12021,4817
44,21159,6952,16404,90,255,63,8,0,4,3,3,23782,7276,12134,1657
45,62963,16924,52043,267,984,313,15,4,2,20,33,70605,16434,40631,5432
46,9936,4588,5058,43,131,21,4,1,1,4,3,9854,4824,3415,1666
47,231061,140115,134476,446,3881,892,65,13,7,45,41,279981,105513,106026,18191
48,46484,28177,26216,145,732,309,21,10,5,33,10,55658,21870,18335,6091
49,397231,268945,152846,3407,5564,743,143,45,302,103,188,432286,230621,133762,30739
50,133457,69550,68581,570,3392,412,82,18,14,77,17,142713,66472,48346,18011
51,376218,199660,184312,1010,9986,1222,444,40,27,167,70,396938,184728,152125,36990
52,150140,74977,90101,538,2060,365,59,8,5,36,46,168195,66735,67943,14991
53,25145,12091,13439,147,379,114,7,2,4,12,10,26205,12008,9781,3272
54,42336,19482,39497,229,1214,210,11,4,2,13,12,60674,10923,26244,4957
55,148950,41559,34705,124,1368,165,12,4,10,29,13,77989,63648,69198,14939
56,114878,12795,36248,311,723,131,13,1,1,19,43,50285,45051,59778,9357
57,48539,72854,83100,305,4066,431,94,11,5,59,15,160940,16713,27311,4205
58,73897,58888,75293,194,1940,551,38,38,5,70,27,137044,36168,28892,8482
59,15397,9634,12126,114,307,53,2,2,0,17,3,22258,7014,5960,2375
60,12144,4084,8014,108,182,53,4,2,0,5,9,12461,4479,5742,1874
61,7997,2647,4051,27,59,4,3,0,1,1,8,6801,3583,3188,1140
62,3462,1399,2326,26,29,13,0,1,0,0,0,3794,1388,1636,425
63,160118,97063,82214,396,2436,3211,33,9888,3,59,2927,198230,78905,63067,17319
64,7165,3835,4511,46,149,30,3,2,1,6,0,8583,3054,2931,1091
65,15514,5637,12176,120,265,68,11,3,2,18,7,18307,5341,7706,2342
66,7859,2796,4983,88,93,32,20,0,0,5,9,8026,2992,3522,1287
