,Won.state.1996_cat,State_cat,Perjury.guilty_cat,Obstruction.guilty_cat,Total.guilty_cat,Party_cat,Conservatism_num,Clinton.vote.1996_num,Reelection.year_cat,First.term_cat
0,Dole,AL,Not_guilty,Guilty,1,Republican,92,43,2004,No
1,Dole,AL,Guilty,Guilty,2,Republican,100,43,2002,Yes
2,Dole,AK,Guilty,Guilty,2,Republican,68,34,2004,No
3,Dole,AK,Not_guilty,Guilty,1,Republican,58,34,2002,No
4,Clinton,AZ,Guilty,Guilty,2,Republican,96,47,2000,Yes
5,Clinton,AZ,Guilty,Guilty,2,Republican,80,47,2004,No
6,Clinton,AR,Guilty,Guilty,2,Republican,100,54,2002,Yes
7,Clinton,AR,Not_guilty,Not_guilty,0,Democrat,36,54,2004,Yes
8,Clinton,CA,Not_guilty,Not_guilty,0,Democrat,0,51,2004,No
9,Clinton,CA,Not_guilty,Not_guilty,0,Democrat,4,51,2000,Yes
10,Dole,CO,Guilty,Guilty,2,Republican,100,44,2002,Yes
11,Dole,CO,Guilty,Guilty,2,Republican,72,44,2004,No
12,Clinton,CT,Not_guilty,Not_guilty,0,Democrat,4,52,2004,No
13,Clinton,CT,Not_guilty,Not_guilty,0,Democrat,20,52,2000,No
14,Clinton,DE,Not_guilty,Not_guilty,0,Democrat,16,52,2002,No
15,Clinton,DE,Guilty,Guilty,2,Republican,64,52,2000,No
16,Clinton,FL,Not_guilty,Not_guilty,0,Democrat,8,48,2004,No
17,Clinton,FL,Guilty,Guilty,2,Republican,88,48,2000,No
18,Dole,GA,Not_guilty,Not_guilty,0,Democrat,8,46,2002,Yes
19,Dole,GA,Guilty,Guilty,2,Republican,92,46,2004,No
20,Clinton,HI,Not_guilty,Not_guilty,0,Democrat,4,57,2000,Yes
21,Clinton,HI,Not_guilty,Not_guilty,0,Democrat,4,57,2004,No
22,Dole,ID,Guilty,Guilty,2,Republican,84,34,2002,No
23,Dole,ID,Guilty,Guilty,2,Republican,92,34,2004,Yes
24,Clinton,IL,Not_guilty,Not_guilty,0,Democrat,4,54,2002,Yes
25,Clinton,IL,Guilty,Guilty,2,Republican,80,54,2004,Yes
26,Dole,IN,Not_guilty,Not_guilty,0,Democrat,40,42,2004,Yes
27,Dole,IN,Guilty,Guilty,2,Republican,64,42,2000,No
28,Clinton,IA,Guilty,Guilty,2,Republican,80,50,2004,No
29,Clinton,IA,Not_guilty,Not_guilty,0,Democrat,12,50,2002,No
30,Dole,KS,Guilty,Guilty,2,Republican,100,36,2004,Yes
31,Dole,KS,Guilty,Guilty,2,Republican,68,36,2002,Yes
32,Clinton,KY,Guilty,Guilty,2,Republican,92,46,2004,Yes
33,Clinton,KY,Guilty,Guilty,2,Republican,88,46,2002,No
34,Clinton,LA,Not_guilty,Not_guilty,0,Democrat,20,52,2004,No
35,Clinton,LA,Not_guilty,Not_guilty,0,Democrat,16,52,2002,Yes
36,Clinton,ME,Not_guilty,Not_guilty,0,Republican,48,52,2002,Yes
