,binaryClass_cat,Party_cat,Favorable_num
0,N,R,1.0
1,N,R,1.0
2,N,R,2.0
3,N,R,2.0
4,P,R,2.0
5,N,R,2.0
6,P,R,2.0
7,N,D,10.0
8,N,D,10.0
9,N,D,10.0
10,N,R,2.0
11,N,R,1.0
12,N,D,10.0
13,N,D,9.0
14,N,R,2.0
15,N,D,10.0
16,N,D,10.0
17,N,R,1.0
18,N,R,1.0
19,N,D,10.0
20,N,D,10.0
21,N,D,10.0
22,N,R,2.0
23,P,R,2.0
24,N,R,4.0
25,N,D,10.0
26,N,R,3.0
27,N,D,10.0
28,N,R,2.0
29,N,D,10.0
30,P,R,1.0
31,N,R,2.0
32,N,R,2.0
33,N,R,1.0
34,N,D,10.0
35,N,D,10.0
36,N,R,4.0
37,N,R,5.0
38,N,D,10.0
39,N,D,10.0
40,N,D,10.0
41,N,D,10.0
42,N,D,10.0
43,N,R,3.0
44,N,D,9.0
45,N,R,1.0
46,N,R,2.0
47,N,R,2.0
48,N,R,1.0
49,N,R,2.0
50,N,D,9.0
51,N,R,1.0
52,N,D,10.0
53,N,R,2.0
54,N,D,10.0
55,N,D,10.0
56,N,I,1.0
57,P,R,2.0
58,N,D,10.0
59,N,D,10.0
60,N,R,2.0
61,N,D,10.0
62,N,D,10.0
63,N,D,10.0
64,N,R,1.0
65,N,D,10.0
66,N,D,10.0
67,N,D,9.0
68,N,R,3.0
69,N,R,5.0
70,N,R,1.0
71,N,R,1.0
72,N,D,10.0
73,N,R,2.0
74,N,R,5.0
75,N,R,3.0
76,P,R,4.0
77,N,D,10.0
78,N,R,2.0
79,N,D,10.0
80,N,D,10.0
81,N,D,10.0
82,N,R,1.0
83,N,R,2.0
84,N,R,1.0
85,N,R,2.0
86,N,R,2.0
87,N,R,2.0
88,N,D,10.0
89,N,R,3.0
90,N,R,3.0
91,N,D,9.0
92,N,R,3.0
93,P,D,9.0
94,N,D,8.0
95,N,D,10.0
96,N,D,10.0
97,N,D,10.0
98,N,R,1.0
99,N,R,1.0
