,Daytime_Casey_cat,Period_Hudson_num,Bouts_Hudson_num,Lockons_Hudson_num,Daytime_Hudson_cat,Period_Casey_num,Bouts_Casey_num,Lockons_Casey_num
0,0,1,0,0,0,1.0,0.0,0.0
1,1,2,0,0,1,2.0,0.0,0.0
2,1,3,0,0,1,3.0,0.0,0.0
3,0,4,0,0,0,4.0,9.0,12.0
4,0,5,0,0,0,5.0,10.0,28.0
5,1,6,4,5,1,6.0,13.0,35.0
6,1,7,10,11,1,7.0,9.0,22.0
7,0,8,9,17,0,8.0,10.0,35.0
8,0,9,13,33,0,9.0,10.0,27.0
9,1,10,9,25,1,10.0,10.0,34.0
10,1,11,11,37,1,11.0,10.0,27.0
11,0,12,10,27,0,12.0,11.0,33.0
12,0,13,8,21,0,13.0,14.0,33.0
13,1,14,9,34,1,14.0,10.0,30.0
14,1,15,9,32,1,15.0,7.0,28.0
15,0,16,7,21,0,16.0,10.0,36.0
16,0,17,7,17,0,17.0,11.0,33.0
17,1,18,8,21,1,18.0,13.0,36.0
18,1,19,6,12,1,19.0,10.0,34.0
19,0,20,4,11,0,20.0,9.0,28.0
20,0,21,10,33,0,21.0,7.0,20.0
21,1,22,7,25,1,22.0,5.0,16.0
22,1,23,5,11,1,23.0,7.0,22.0
23,0,24,7,28,0,24.0,10.0,21.0
24,0,25,7,16,0,25.0,12.0,39.0
25,1,26,8,17,1,26.0,10.0,33.0
26,1,27,12,25,1,27.0,11.0,34.0
27,0,28,8,22,0,28.0,8.0,12.0
28,0,29,12,28,0,29.0,13.0,42.0
29,1,30,10,30,1,30.0,15.0,55.0
30,1,31,13,32,1,31.0,14.0,34.0
31,0,32,6,14,0,32.0,14.0,32.0
32,0,33,11,25,0,33.0,14.0,47.0
33,1,34,11,30,1,34.0,11.0,30.0
34,1,35,17,42,1,35.0,11.0,36.0
35,0,36,11,40,0,36.0,11.0,36.0
36,0,37,16,49,0,37.0,14.0,58.0
37,1,38,10,21,1,38.0,14.0,47.0
38,1,39,15,33,1,39.0,11.0,35.0
39,0,40,8,22,0,40.0,15.0,34.0
40,0,41,14,23,0,41.0,13.0,42.0
41,1,42,6,11,1,42.0,14.0,47.0
42,1,43,13,25,1,43.0,11.0,35.0
43,0,44,16,30,0,44.0,13.0,30.0
44,0,45,13,28,0,45.0,15.0,47.0
45,1,46,13,33,1,46.0,12.0,36.0
46,1,47,13,27,1,47.0,13.0,30.0
47,0,48,11,20,0,48.0,18.0,42.0
48,0,49,11,17,0,49.0,18.0,47.0
49,1,50,8,11,1,50.0,17.0,51.0
50,1,51,7,10,1,51.0,13.0,44.0
51,0,52,6,11,0,52.0,13.0,41.0
52,0,53,8,12,0,53.0,15.0,40.0
53,1,54,9,17,1,54.0,17.0,37.0
54,1,55,6,9,1,55.0,11.0,34.0
55,0,56,5,9,0,56.0,14.0,36.0
56,0,57,6,7,0,57.0,12.0,37.0
57,1,58,11,14,1,58.0,11.0,33.0
58,1,59,8,9,1,59.0,12.0,41.0
59,0,60,8,9,0,60.0,10.0,32.0
60,0,61,12,17,0,61.0,8.0,11.0
61,1,62,5,5,1,62.0,12.0,23.0
62,1,63,8,11,1,63.0,14.0,37.0
63,0,64,5,7,0,64.0,12.0,27.0
64,0,65,6,9,0,65.0,13.0,30.0
65,1,66,11,21,1,66.0,11.0,28.0
66,1,67,11,14,1,67.0,11.0,22.0
67,0,68,8,11,0,68.0,8.0,20.0
68,0,69,4,4,0,69.0,8.0,17.0
69,1,70,9,11,1,70.0,8.0,17.0
70,1,71,6,7,1,71.0,10.0,22.0
71,0,72,6,9,0,72.0,10.0,17.0
72,0,73,12,15,0,73.0,11.0,25.0
73,1,74,8,11,1,74.0,11.0,17.0
74,1,75,14,22,1,75.0,11.0,25.0
75,0,76,9,11,0,76.0,11.0,23.0
76,0,77,13,17,0,77.0,9.0,16.0
77,1,78,10,10,1,78.0,10.0,22.0
78,1,79,12,12,1,79.0,11.0,22.0
79,0,80,7,15,0,80.0,7.0,14.0
80,0,81,12,17,0,81.0,8.0,17.0
81,1,82,7,10,1,82.0,11.0,15.0
82,1,83,6,10,1,83.0,8.0,16.0
83,0,84,12,17,0,84.0,12.0,19.0
84,0,85,8,12,0,85.0,9.0,14.0
85,1,86,17,23,1,86.0,13.0,22.0
86,1,87,10,15,1,87.0,9.0,11.0
87,0,88,14,21,0,88.0,13.0,27.0
88,0,89,12,16,0,89.0,10.0,16.0
89,1,90,10,14,1,90.0,11.0,28.0
90,1,91,8,10,1,91.0,8.0,22.0
91,0,92,10,12,0,92.0,15.0,36.0
92,0,93,7,9,0,93.0,12.0,30.0
93,1,94,10,11,1,94.0,18.0,42.0
94,1,95,6,8,1,95.0,15.0,40.0
95,0,96,8,12,0,96.0,12.0,37.0
96,0,97,10,16,0,97.0,4.0,16.0
97,1,98,9,14,1,98.0,10.0,30.0
98,1,99,10,14,1,99.0,14.0,32.0
99,0,100,9,11,0,100.0,12.0,34.0
100,0,101,11,14,0,101.0,10.0,32.0
101,1,102,8,8,1,102.0,9.0,21.0
102,1,103,12,14,1,103.0,8.0,28.0
103,0,104,7,7,0,104.0,9.0,21.0
