,product-type_cat,s_cat,steel_cat,phos_cat,corr_cat,lustre_cat,cbond_cat,oil_cat,m_cat,ferro_cat,p_cat,bw%2Fme_cat,jurofm_cat,len_num,shape_cat,blue%2Fbright%2Fvarn%2Fclean_cat,carbon_num,bc_cat,non-ageing_cat,width_num
0,C,,A,,,,,,,,,,,0.0,COIL,,8.0,,,610.0
1,C,,R,,,Y,,,,,,,,0.0,COIL,,0.0,,,610.0
2,C,,R,,,,,,,,,B,,762.0,SHEET,,0.0,,,1300.0
3,C,,A,,,,,,,,,M,,0.0,COIL,,0.0,,,385.1
4,C,,A,,,,Y,,,,,B,,269.0,SHEET,,0.0,,,255.0
5,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,,610.0
6,C,,R,,,,,Y,,,,,,4880.0,SHEET,,0.0,,,610.0
7,C,,A,,,Y,,,,,,,,0.0,COIL,,0.0,,,152.0
8,C,,R,,,Y,,,,,,,,0.0,COIL,,0.0,,,1320.0
9,C,,A,,,,,,,,,,,762.0,SHEET,,0.0,,N,1320.0
10,C,,R,,,,,,,,,,,0.0,COIL,,0.0,,,610.0
11,C,,R,,,,,Y,,,,,,4880.0,SHEET,,0.0,,,1320.0
12,C,,R,,,,Y,,,,,B,,150.0,SHEET,,0.0,,,610.0
13,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,,609.9
14,C,,A,,,,,,,,,,,761.0,SHEET,,0.0,,,1220.0
15,C,,A,,,,,,,,,,,762.0,SHEET,,0.0,,,1320.0
16,C,,A,,,,,,,,,,,0.0,COIL,,10.0,,,600.0
17,C,,A,,,,,Y,,,,,,4170.0,SHEET,,0.0,,,610.0
18,C,,A,,,,,,,,,,,762.0,SHEET,,0.0,,,1320.1
19,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,,1200.1
20,C,,A,,,,,,,,,,,761.0,SHEET,,0.0,,,610.0
21,C,,K,,,,,,,,,,,0.0,COIL,,55.0,,,610.0
22,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,,50.0
23,C,,S,,,,,,,,,,,0.0,COIL,,70.0,,,609.9
24,C,,A,,,,,,,,,,,0.0,COIL,,3.0,,,610.0
25,C,,,,,,,,,,,,,0.0,COIL,,0.0,,,1320.0
26,C,,A,,,,Y,,,,,B,,4880.0,SHEET,,0.0,,,356.0
27,C,,R,,,,Y,,,,,,,4170.0,SHEET,,0.0,,,609.9
28,C,,K,,,,,,,,,,,0.0,COIL,,55.0,,,900.0
29,C,,W,,,,,,,,,,,0.0,COIL,,0.0,,,610.0
30,C,,A,,,,,,,Y,,B,,4880.0,SHEET,,0.0,,N,610.0
31,C,,,,,,Y,,,,,,,4170.0,SHEET,,0.0,,,1320.0
32,C,,A,,,,,,,,,B,,762.0,SHEET,,0.0,,,1320.0
33,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,,450.0
34,C,,A,,,,,,,,,,,4880.0,SHEET,,0.0,,N,1320.0
35,C,,A,,,,,,,,,B,,0.0,COIL,,0.0,,N,1220.0
36,C,,M,,,,,,,,,,,0.0,COIL,,0.0,,,1320.0
37,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,,1320.0
38,C,,R,,,,,,,,,,,0.0,COIL,,0.0,,,20.0
39,C,,R,,,,,,,,,,,4880.0,SHEET,,0.0,,,374.9
40,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,N,50.0
41,C,,R,,,,,Y,,,,,,4880.0,SHEET,,0.0,,,1320.0
42,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,,610.0
43,C,,R,,,,,,,,,,,762.0,SHEET,,0.0,,,610.0
44,C,,A,,,,,,,Y,,,,0.0,COIL,,0.0,,N,20.0
45,C,,A,,,,,,,,,,,301.0,SHEET,,0.0,,,610.0
46,C,,R,,,,,,,,,,,4880.0,SHEET,,0.0,,,610.0
47,C,,A,,,,,,,,,,,4880.0,SHEET,,0.0,,,1320.0
48,C,,W,,,,,,,,,B,,0.0,COIL,,0.0,,,1274.9
49,C,,A,,,,,N,,,,,,4880.0,SHEET,,0.0,,,1320.0
50,C,,A,,,,,,,,,B,,762.0,SHEET,,0.0,,,609.9
51,C,,,,,,,,,,,,,761.0,SHEET,,0.0,,,1320.0
52,C,,R,,,,,,,,,B,,762.0,SHEET,,0.0,,,1300.0
53,C,,A,,,,,,,,,,,4880.0,SHEET,,0.0,,,150.0
54,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,,1320.0
55,C,,R,,,,,,,,,,,4880.0,SHEET,,0.0,,,374.9
56,C,,,,,,,Y,,,,,,762.0,SHEET,,0.0,,,610.0
57,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,,1320.0
58,C,,A,,,,,,,,,,,762.0,SHEET,,0.0,,,1300.0
59,C,,A,,,,,,,,,,,762.0,SHEET,,0.0,,N,610.0
60,C,,A,,,,,,,,,,,4880.0,SHEET,,0.0,,N,610.0
61,C,,A,,,,Y,,,,,B,,762.0,SHEET,,0.0,,N,1220.0
62,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,,610.0
63,C,,A,,,,,,,,,,,762.0,SHEET,,0.0,,,610.0
64,C,,R,,,,,,,,,B,,762.0,SHEET,,0.0,,,500.0
65,C,,,,,,,Y,,,,B,,610.0,SHEET,,0.0,,,515.0
66,C,,A,,,,,,,,,,,611.0,SHEET,,0.0,,N,335.0
67,C,,R,,,,,,,,,,,762.0,SHEET,,0.0,,,1320.0
68,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,,20.0
69,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,N,250.0
70,C,,A,,,,,,,,,,,0.0,COIL,,0.0,,,610.0
71,C,,R,,,,,,,,,M,,0.0,COIL,,0.0,,,610.0
