,m_cat,strength_num,bc_cat,class_cat,product-type_cat,jurofm_cat,enamelability_cat,len_num,bw%2Fme_cat,s_cat,bore_cat,ferro_cat,marvi_cat,surface-quality_cat,bt_cat,family_cat,lustre_cat,oil_cat,exptl_cat,shape_cat
0,,0.0,,3,C,,,0.0,,,0,,,G,,,,,,COIL
1,,0.0,,3,C,,,0.0,,,0,,,E,,,Y,,,COIL
2,,0.0,,3,C,,,762.0,B,,0,,,E,,,,,,SHEET
3,,0.0,,3,C,,,0.0,M,,0,,,G,,,,,,COIL
4,,0.0,,3,C,,,269.0,B,,0,,,G,,,,,,SHEET
5,,0.0,,3,C,,,0.0,,,0,,,D,,,,,,COIL
6,,0.0,,3,C,,,4880.0,,,0,,,E,,,,Y,,SHEET
7,,0.0,,3,C,,,0.0,,,0,,,E,,,Y,,,COIL
8,,0.0,,3,C,,,0.0,,,0,,,E,,,Y,,,COIL
9,,0.0,,3,C,,,762.0,,,0,,,E,,,,,,SHEET
10,,0.0,,3,C,,,0.0,,,0,,,E,,,,,,COIL
11,,0.0,,3,C,,,4880.0,,,0,,,E,,,,Y,,SHEET
12,,0.0,,3,C,,,150.0,B,,0,,,E,,,,,,SHEET
13,,0.0,,3,C,,,0.0,,,0,,,D,,,,,,COIL
14,,0.0,,3,C,,,761.0,,,0,,,F,,,,,,SHEET
15,,0.0,,3,C,,,762.0,,,0,,,E,,,,,,SHEET
16,,0.0,,U,C,,,0.0,,,0,,,E,,,,,,COIL
17,,0.0,,U,C,,,4170.0,,,0,,,G,,,,Y,,SHEET
18,,0.0,,3,C,,,762.0,,,0,,,E,,,,,,SHEET
19,,0.0,,3,C,,,0.0,,,0,,,G,,,,,,COIL
20,,0.0,,3,C,,,761.0,,,0,,,F,,,,,,SHEET
21,,0.0,,3,C,,,0.0,,,0,,,,,,,,,COIL
22,,0.0,,U,C,,,0.0,,,0,,,G,,,,,,COIL
23,,0.0,,3,C,,,0.0,,,0,,,,,,,,,COIL
24,,0.0,,1,C,,,0.0,,,0,,,,,,,,,COIL
25,,0.0,,3,C,,,0.0,,,0,,,G,Y,,,,,COIL
26,,0.0,,3,C,,,4880.0,B,,0,,,G,,,,,,SHEET
27,,0.0,,3,C,,,4170.0,,,0,,,E,,,,,,SHEET
28,,0.0,,3,C,,,0.0,,,0,,,,,,,,,COIL
29,,310.0,,3,C,,,0.0,,,500,,,G,,,,,,COIL
30,,0.0,,5,C,,,4880.0,B,,0,Y,,,,TN,,,,SHEET
31,,0.0,,3,C,,,4170.0,,,0,,,E,,,,,,SHEET
32,,0.0,,3,C,,,762.0,B,,0,,,D,,,,,,SHEET
33,,0.0,,U,C,,,0.0,,,0,,,G,,,,,,COIL
34,,0.0,,3,C,,,4880.0,,,0,,,F,,,,,,SHEET
35,,0.0,,5,C,,,0.0,B,,0,,,,,TN,,,,COIL
36,,350.0,,3,C,,,0.0,,,0,,,G,Y,,,,,COIL
37,,0.0,,3,C,,,0.0,,,0,,,G,Y,,,,,COIL
38,,0.0,,3,C,,,0.0,,,0,,,E,,,,,,COIL
39,,0.0,,3,C,,,4880.0,,,0,,,E,,,,,,SHEET
40,,0.0,,3,C,,,0.0,,,0,,,E,,ZS,,,,COIL
41,,0.0,,3,C,,,4880.0,,,0,,,E,,,,Y,,SHEET
