,binaryClass_cat,symboling_num,normalized-losses_num,wheel-base_num,length_num,width_num,height_num,curb-weight_num,engine-size_num,bore_num,stroke_num,compression-ratio_num,horsepower_num,peak-rpm_num,city-mpg_num,highway-mpg_num
0,N,2.0,164.0,99.8,176.6,66.2,54.3,2337.0,109.0,3.19,3.4,10.0,102.0,5500.0,24.0,30.0
1,N,2.0,164.0,99.4,176.6,66.4,54.3,2824.0,136.0,3.19,3.4,8.0,115.0,5500.0,18.0,22.0
2,N,1.0,158.0,105.8,192.7,71.4,55.7,2844.0,136.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0
3,N,1.0,158.0,105.8,192.7,71.4,55.9,3086.0,131.0,3.13,3.4,8.3,140.0,5500.0,17.0,20.0
4,N,2.0,192.0,101.2,176.8,64.8,54.3,2395.0,108.0,3.5,2.8,8.8,101.0,5800.0,23.0,29.0
5,N,0.0,192.0,101.2,176.8,64.8,54.3,2395.0,108.0,3.5,2.8,8.8,101.0,5800.0,23.0,29.0
6,N,0.0,188.0,101.2,176.8,64.8,54.3,2710.0,164.0,3.31,3.19,9.0,121.0,4250.0,21.0,28.0
7,N,0.0,188.0,101.2,176.8,64.8,54.3,2765.0,164.0,3.31,3.19,9.0,121.0,4250.0,21.0,28.0
8,P,2.0,121.0,88.4,141.1,60.3,53.2,1488.0,61.0,2.91,3.03,9.5,48.0,5100.0,47.0,53.0
9,P,1.0,98.0,94.5,155.9,63.6,52.0,1874.0,90.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0
10,P,0.0,81.0,94.5,158.8,63.6,52.0,1909.0,90.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0
11,P,1.0,118.0,93.7,157.3,63.8,50.8,1876.0,90.0,2.97,3.23,9.41,68.0,5500.0,37.0,41.0
12,P,1.0,118.0,93.7,157.3,63.8,50.8,1876.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0
13,P,1.0,118.0,93.7,157.3,63.8,50.8,2128.0,98.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0
14,P,1.0,148.0,93.7,157.3,63.8,50.6,1967.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0
15,P,1.0,148.0,93.7,157.3,63.8,50.6,1989.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0
16,P,1.0,148.0,93.7,157.3,63.8,50.6,1989.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0
17,P,-1.0,110.0,103.3,174.6,64.6,59.8,2535.0,122.0,3.34,3.46,8.5,88.0,5000.0,24.0,30.0
18,N,3.0,145.0,95.9,173.2,66.3,50.2,2811.0,156.0,3.6,3.9,7.0,145.0,5000.0,19.0,24.0
19,P,2.0,137.0,86.6,144.6,63.9,50.8,1713.0,92.0,2.91,3.41,9.6,58.0,4800.0,49.0,54.0
20,P,2.0,137.0,86.6,144.6,63.9,50.8,1819.0,92.0,2.91,3.41,9.2,76.0,6000.0,31.0,38.0
21,P,1.0,101.0,93.7,150.0,64.0,52.6,1837.0,79.0,2.91,3.07,10.1,60.0,5500.0,38.0,42.0
22,P,1.0,101.0,93.7,150.0,64.0,52.6,1940.0,92.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0
23,P,1.0,101.0,93.7,150.0,64.0,52.6,1956.0,92.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0
24,P,0.0,110.0,96.5,163.4,64.0,54.5,2010.0,92.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0
25,P,0.0,78.0,96.5,157.1,63.9,58.3,2024.0,92.0,2.92,3.41,9.2,76.0,6000.0,30.0,34.0
26,P,0.0,106.0,96.5,167.5,65.2,53.3,2236.0,110.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0
27,P,0.0,106.0,96.5,167.5,65.2,53.3,2289.0,110.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0
28,P,0.0,85.0,96.5,175.4,65.2,54.1,2304.0,110.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0
29,P,0.0,85.0,96.5,175.4,62.5,54.1,2372.0,110.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0
30,N,0.0,85.0,96.5,175.4,65.2,54.1,2465.0,110.0,3.15,3.58,9.0,101.0,5800.0,24.0,28.0
31,P,1.0,107.0,96.5,169.1,66.0,51.0,2293.0,110.0,3.15,3.58,9.1,100.0,5500.0,25.0,31.0
32,N,0.0,145.0,113.0,199.6,69.6,52.8,4066.0,258.0,3.63,4.17,8.1,176.0,4750.0,15.0,19.0
33,P,1.0,104.0,93.1,159.1,64.2,54.1,1890.0,91.0,3.03,3.15,9.0,68.0,5000.0,30.0,31.0
34,P,1.0,104.0,93.1,159.1,64.2,54.1,1900.0,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0
35,P,1.0,104.0,93.1,159.1,64.2,54.1,1905.0,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0
36,P,1.0,113.0,93.1,166.8,64.2,54.1,1945.0,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0
37,P,1.0,113.0,93.1,166.8,64.2,54.1,1950.0,91.0,3.08,3.15,9.0,68.0,5000.0,31.0,38.0
38,P,1.0,129.0,98.8,177.8,66.5,53.7,2385.0,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0
39,P,0.0,115.0,98.8,177.8,66.5,55.5,2410.0,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0
40,P,1.0,129.0,98.8,177.8,66.5,53.7,2385.0,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0
41,P,0.0,115.0,98.8,177.8,66.5,55.5,2410.0,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0
42,P,0.0,115.0,98.8,177.8,66.5,55.5,2425.0,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0
43,N,0.0,118.0,104.9,175.0,66.1,54.4,2670.0,140.0,3.76,3.16,8.0,120.0,5000.0,19.0,27.0
44,N,-1.0,93.0,110.0,190.9,70.3,56.5,3515.0,183.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0
45,N,-1.0,93.0,110.0,190.9,70.3,58.7,3750.0,183.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0
46,N,0.0,93.0,106.7,187.5,70.3,54.9,3495.0,183.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0
47,N,-1.0,93.0,115.6,202.6,71.7,56.3,3770.0,183.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0
48,N,3.0,142.0,96.6,180.3,70.5,50.8,3685.0,234.0,3.46,3.1,8.3,155.0,4750.0,16.0,18.0
49,P,2.0,161.0,93.7,157.3,64.4,50.8,1918.0,92.0,2.97,3.23,9.4,68.0,5500.0,37.0,41.0
50,P,2.0,161.0,93.7,157.3,64.4,50.8,1944.0,92.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0
51,P,2.0,161.0,93.7,157.3,64.4,50.8,2004.0,92.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0
52,P,1.0,161.0,93.0,157.3,63.8,50.8,2145.0,98.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0
53,P,3.0,153.0,96.3,173.0,65.4,49.4,2370.0,110.0,3.17,3.46,7.5,116.0,5500.0,23.0,30.0
54,P,3.0,153.0,96.3,173.0,65.4,49.4,2328.0,122.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0
55,P,1.0,125.0,96.3,172.4,65.4,51.6,2365.0,122.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0
56,P,1.0,125.0,96.3,172.4,65.4,51.6,2405.0,122.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0
57,P,1.0,125.0,96.3,172.4,65.4,51.6,2403.0,110.0,3.17,3.46,7.5,116.0,5500.0,23.0,30.0
58,P,-1.0,137.0,96.3,172.4,65.4,51.6,2403.0,110.0,3.17,3.46,7.5,116.0,5500.0,23.0,30.0
59,P,1.0,128.0,94.5,165.3,63.8,54.5,1889.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0
60,P,1.0,128.0,94.5,165.3,63.8,54.5,2017.0,103.0,2.99,3.47,21.9,55.0,4800.0,45.0,50.0
61,P,1.0,128.0,94.5,165.3,63.8,54.5,1918.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0
62,P,1.0,122.0,94.5,165.3,63.8,54.5,1938.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0
63,P,1.0,103.0,94.5,170.2,63.8,53.5,2024.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0
64,P,1.0,128.0,94.5,165.3,63.8,54.5,1951.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0
65,P,1.0,128.0,94.5,165.6,63.8,53.3,2028.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0
66,P,1.0,122.0,94.5,165.3,63.8,54.5,1971.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0
67,P,1.0,103.0,94.5,170.2,63.8,53.5,2037.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0
68,P,2.0,168.0,95.1,162.4,63.8,53.3,2008.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0
69,P,0.0,106.0,97.2,173.4,65.2,54.7,2324.0,120.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0
70,P,0.0,106.0,97.2,173.4,65.2,54.7,2302.0,120.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0
71,N,0.0,128.0,100.4,181.7,66.5,55.1,3095.0,181.0,3.43,3.27,9.0,152.0,5200.0,17.0,22.0
72,N,0.0,108.0,100.4,184.6,66.5,56.1,3296.0,181.0,3.43,3.27,9.0,152.0,5200.0,17.0,22.0
73,N,0.0,108.0,100.4,184.6,66.5,55.1,3060.0,181.0,3.43,3.27,9.0,152.0,5200.0,19.0,25.0
74,N,3.0,194.0,91.3,170.7,67.9,49.7,3071.0,181.0,3.43,3.27,9.0,160.0,5200.0,19.0,25.0
75,N,3.0,194.0,91.3,170.7,67.9,49.7,3139.0,181.0,3.43,3.27,7.8,200.0,5200.0,17.0,23.0
76,N,1.0,231.0,99.2,178.5,67.9,49.7,3139.0,181.0,3.43,3.27,9.0,160.0,5200.0,19.0,25.0
77,N,0.0,161.0,107.9,186.7,68.4,56.7,3020.0,120.0,3.46,3.19,8.4,97.0,5000.0,19.0,24.0
78,N,0.0,161.0,107.9,186.7,68.4,56.7,3197.0,152.0,3.7,3.52,21.0,95.0,4150.0,28.0,33.0
79,N,0.0,161.0,107.9,186.7,68.4,56.7,3075.0,120.0,3.46,2.19,8.4,95.0,5000.0,19.0,24.0
80,N,0.0,161.0,107.9,186.7,68.4,56.7,3252.0,152.0,3.7,3.52,21.0,95.0,4150.0,28.0,33.0
81,N,0.0,161.0,107.9,186.7,68.4,56.7,3075.0,120.0,3.46,3.19,8.4,97.0,5000.0,19.0,24.0
82,N,0.0,161.0,107.9,186.7,68.4,56.7,3252.0,152.0,3.7,3.52,21.0,95.0,4150.0,28.0,33.0
83,N,0.0,161.0,108.0,186.7,68.3,56.0,3130.0,134.0,3.61,3.21,7.0,142.0,5600.0,18.0,24.0
84,P,1.0,119.0,93.7,157.3,63.8,50.8,1918.0,90.0,2.97,3.23,9.4,68.0,5500.0,37.0,41.0
85,P,1.0,119.0,93.7,157.3,63.8,50.8,2128.0,98.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0
86,P,1.0,154.0,93.7,157.3,63.8,50.6,1967.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0
87,P,1.0,154.0,93.7,167.3,63.8,50.8,1989.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0
88,P,1.0,154.0,93.7,167.3,63.8,50.8,2191.0,98.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0
89,P,-1.0,74.0,103.3,174.6,64.6,59.8,2535.0,122.0,3.35,3.46,8.5,88.0,5000.0,24.0,30.0
90,N,3.0,186.0,94.5,168.9,68.3,50.2,2778.0,151.0,3.94,3.11,9.5,143.0,5500.0,19.0,27.0
91,N,3.0,150.0,99.1,186.6,66.5,56.1,2658.0,121.0,3.54,3.07,9.31,110.0,5250.0,21.0,28.0
92,N,2.0,104.0,99.1,186.6,66.5,56.1,2695.0,121.0,3.54,3.07,9.3,110.0,5250.0,21.0,28.0
93,N,3.0,150.0,99.1,186.6,66.5,56.1,2707.0,121.0,2.54,2.07,9.3,110.0,5250.0,21.0,28.0
94,N,2.0,104.0,99.1,186.6,66.5,56.1,2758.0,121.0,3.54,3.07,9.3,110.0,5250.0,21.0,28.0
95,N,3.0,150.0,99.1,186.6,66.5,56.1,2808.0,121.0,3.54,3.07,9.0,160.0,5500.0,19.0,26.0
96,N,2.0,104.0,99.1,186.6,66.5,56.1,2847.0,121.0,3.54,3.07,9.0,160.0,5500.0,19.0,26.0
97,P,2.0,83.0,93.7,156.9,63.4,53.7,2050.0,97.0,3.62,2.36,9.0,69.0,4900.0,31.0,36.0
98,P,2.0,83.0,93.7,157.9,63.6,53.7,2120.0,108.0,3.62,2.64,8.7,73.0,4400.0,26.0,31.0
99,P,2.0,83.0,93.3,157.3,63.8,55.7,2240.0,108.0,3.62,2.64,8.7,73.0,4400.0,26.0,31.0
100,P,0.0,102.0,97.2,172.0,65.4,52.5,2145.0,108.0,3.62,2.64,9.5,82.0,4800.0,32.0,37.0
101,P,0.0,102.0,97.2,172.0,65.4,52.5,2190.0,108.0,3.62,2.64,9.5,82.0,4400.0,28.0,33.0
102,P,0.0,102.0,97.2,172.0,65.4,52.5,2340.0,108.0,3.62,2.64,9.0,94.0,5200.0,26.0,32.0
103,P,0.0,102.0,97.0,172.0,65.4,54.3,2385.0,108.0,3.62,2.64,9.0,82.0,4800.0,24.0,25.0
104,P,0.0,102.0,97.0,172.0,65.4,54.3,2510.0,108.0,3.62,2.64,7.7,111.0,4800.0,24.0,29.0
105,P,0.0,89.0,97.0,173.5,65.4,53.0,2290.0,108.0,3.62,2.64,9.0,82.0,4800.0,28.0,32.0
106,P,0.0,89.0,97.0,173.5,65.4,53.0,2455.0,108.0,3.62,2.64,9.0,94.0,5200.0,25.0,31.0
107,P,0.0,85.0,96.9,173.6,65.4,54.9,2420.0,108.0,3.62,2.64,9.0,82.0,4800.0,23.0,29.0
