,bore_num,curb-weight_num,fuel-system_cat,fuel-type_cat,peak-rpm_num,length_num,stroke_num,compression-ratio_num,aspiration_cat,make_cat,horsepower_num,body-style_cat,engine-type_cat
0,3.47,2548.0,mpfi,gas,5000.0,168.8,2.68,9.0,std,alfa-romero,111.0,convertible,dohc
1,3.47,2548.0,mpfi,gas,5000.0,168.8,2.68,9.0,std,alfa-romero,111.0,convertible,dohc
2,2.68,2823.0,mpfi,gas,5000.0,171.2,3.47,9.0,std,alfa-romero,154.0,hatchback,ohcv
3,3.19,2337.0,mpfi,gas,5500.0,176.6,3.4,10.0,std,audi,102.0,sedan,ohc
4,3.19,2824.0,mpfi,gas,5500.0,176.6,3.4,8.0,std,audi,115.0,sedan,ohc
5,3.19,2507.0,mpfi,gas,5500.0,177.3,3.4,8.5,std,audi,110.0,sedan,ohc
6,3.19,2844.0,mpfi,gas,5500.0,192.7,3.4,8.5,std,audi,110.0,sedan,ohc
7,3.19,2954.0,mpfi,gas,5500.0,192.7,3.4,8.5,std,audi,110.0,wagon,ohc
8,3.13,3086.0,mpfi,gas,5500.0,192.7,3.4,8.3,turbo,audi,140.0,sedan,ohc
9,3.13,3053.0,mpfi,gas,5500.0,178.2,3.4,7.0,turbo,audi,160.0,hatchback,ohc
10,3.5,2395.0,mpfi,gas,5800.0,176.8,2.8,8.8,std,bmw,101.0,sedan,ohc
11,3.5,2395.0,mpfi,gas,5800.0,176.8,2.8,8.8,std,bmw,101.0,sedan,ohc
12,3.31,2710.0,mpfi,gas,4250.0,176.8,3.19,9.0,std,bmw,121.0,sedan,ohc
13,3.31,2765.0,mpfi,gas,4250.0,176.8,3.19,9.0,std,bmw,121.0,sedan,ohc
14,3.31,3055.0,mpfi,gas,4250.0,189.0,3.19,9.0,std,bmw,121.0,sedan,ohc
15,3.62,3230.0,mpfi,gas,5400.0,189.0,3.39,8.0,std,bmw,182.0,sedan,ohc
16,3.62,3380.0,mpfi,gas,5400.0,193.8,3.39,8.0,std,bmw,182.0,sedan,ohc
17,3.62,3505.0,mpfi,gas,5400.0,197.0,3.39,8.0,std,bmw,182.0,sedan,ohc
18,2.91,1488.0,2bbl,gas,5100.0,141.1,3.03,9.5,std,chevrolet,48.0,hatchback,l
19,3.03,1874.0,2bbl,gas,5400.0,155.9,3.11,9.6,std,chevrolet,70.0,hatchback,ohc
20,3.03,1909.0,2bbl,gas,5400.0,158.8,3.11,9.6,std,chevrolet,70.0,sedan,ohc
21,2.97,1876.0,2bbl,gas,5500.0,157.3,3.23,9.41,std,dodge,68.0,hatchback,ohc
22,2.97,1876.0,2bbl,gas,5500.0,157.3,3.23,9.4,std,dodge,68.0,hatchback,ohc
23,3.03,2128.0,mpfi,gas,5500.0,157.3,3.39,7.6,turbo,dodge,102.0,hatchback,ohc
24,2.97,1967.0,2bbl,gas,5500.0,157.3,3.23,9.4,std,dodge,68.0,hatchback,ohc
25,2.97,1989.0,2bbl,gas,5500.0,157.3,3.23,9.4,std,dodge,68.0,sedan,ohc
26,2.97,1989.0,2bbl,gas,5500.0,157.3,3.23,9.4,std,dodge,68.0,sedan,ohc
27,3.03,2191.0,mpfi,gas,5500.0,157.3,3.39,7.6,turbo,dodge,102.0,sedan,ohc
28,3.34,2535.0,2bbl,gas,5000.0,174.6,3.46,8.5,std,dodge,88.0,wagon,ohc
29,3.6,2811.0,mfi,gas,5000.0,173.2,3.9,7.0,turbo,dodge,145.0,hatchback,ohc
30,2.91,1713.0,1bbl,gas,4800.0,144.6,3.41,9.6,std,honda,58.0,hatchback,ohc
31,2.91,1819.0,1bbl,gas,6000.0,144.6,3.41,9.2,std,honda,76.0,hatchback,ohc
32,2.91,1837.0,1bbl,gas,5500.0,150.0,3.07,10.1,std,honda,60.0,hatchback,ohc
33,2.91,1940.0,1bbl,gas,6000.0,150.0,3.41,9.2,std,honda,76.0,hatchback,ohc
34,2.91,1956.0,1bbl,gas,6000.0,150.0,3.41,9.2,std,honda,76.0,hatchback,ohc
35,2.91,2010.0,1bbl,gas,6000.0,163.4,3.41,9.2,std,honda,76.0,sedan,ohc
36,2.92,2024.0,1bbl,gas,6000.0,157.1,3.41,9.2,std,honda,76.0,wagon,ohc
37,3.15,2236.0,1bbl,gas,5800.0,167.5,3.58,9.0,std,honda,86.0,hatchback,ohc
38,3.15,2289.0,1bbl,gas,5800.0,167.5,3.58,9.0,std,honda,86.0,hatchback,ohc
39,3.15,2304.0,1bbl,gas,5800.0,175.4,3.58,9.0,std,honda,86.0,sedan,ohc
40,3.15,2372.0,1bbl,gas,5800.0,175.4,3.58,9.0,std,honda,86.0,sedan,ohc
41,3.15,2465.0,mpfi,gas,5800.0,175.4,3.58,9.0,std,honda,101.0,sedan,ohc
42,3.15,2293.0,2bbl,gas,5500.0,169.1,3.58,9.1,std,honda,100.0,sedan,ohc
43,3.31,2337.0,2bbl,gas,4800.0,170.7,3.23,8.5,std,isuzu,78.0,sedan,ohc
44,3.03,1874.0,2bbl,gas,5400.0,155.9,3.11,9.6,std,isuzu,70.0,sedan,ohc
45,3.03,1909.0,2bbl,gas,5400.0,155.9,3.11,9.6,std,isuzu,70.0,sedan,ohc
46,3.43,2734.0,spfi,gas,5000.0,172.6,3.23,9.2,std,isuzu,90.0,hatchback,ohc
47,3.63,4066.0,mpfi,gas,4750.0,199.6,4.17,8.1,std,jaguar,176.0,sedan,dohc
48,3.63,4066.0,mpfi,gas,4750.0,199.6,4.17,8.1,std,jaguar,176.0,sedan,dohc
49,3.54,3950.0,mpfi,gas,5000.0,191.7,2.76,11.5,std,jaguar,262.0,sedan,ohcv
50,3.03,1890.0,2bbl,gas,5000.0,159.1,3.15,9.0,std,mazda,68.0,hatchback,ohc
51,3.03,1900.0,2bbl,gas,5000.0,159.1,3.15,9.0,std,mazda,68.0,hatchback,ohc
52,3.03,1905.0,2bbl,gas,5000.0,159.1,3.15,9.0,std,mazda,68.0,hatchback,ohc
53,3.03,1945.0,2bbl,gas,5000.0,166.8,3.15,9.0,std,mazda,68.0,sedan,ohc
54,3.08,1950.0,2bbl,gas,5000.0,166.8,3.15,9.0,std,mazda,68.0,sedan,ohc
55,,2380.0,4bbl,gas,6000.0,169.0,,9.4,std,mazda,101.0,hatchback,rotor
56,,2380.0,4bbl,gas,6000.0,169.0,,9.4,std,mazda,101.0,hatchback,rotor
57,,2385.0,4bbl,gas,6000.0,169.0,,9.4,std,mazda,101.0,hatchback,rotor
58,,2500.0,mpfi,gas,6000.0,169.0,,9.4,std,mazda,135.0,hatchback,rotor
59,3.39,2385.0,2bbl,gas,4800.0,177.8,3.39,8.6,std,mazda,84.0,hatchback,ohc
60,3.39,2410.0,2bbl,gas,4800.0,177.8,3.39,8.6,std,mazda,84.0,sedan,ohc
61,3.39,2385.0,2bbl,gas,4800.0,177.8,3.39,8.6,std,mazda,84.0,hatchback,ohc
62,3.39,2410.0,2bbl,gas,4800.0,177.8,3.39,8.6,std,mazda,84.0,sedan,ohc
63,3.39,2443.0,idi,diesel,4650.0,177.8,3.39,22.7,std,mazda,64.0,sedan,ohc
64,3.39,2425.0,2bbl,gas,4800.0,177.8,3.39,8.6,std,mazda,84.0,hatchback,ohc
65,3.76,2670.0,mpfi,gas,5000.0,175.0,3.16,8.0,std,mazda,120.0,sedan,ohc
66,3.43,2700.0,idi,diesel,4200.0,175.0,3.64,22.0,std,mazda,72.0,sedan,ohc
67,3.58,3515.0,idi,diesel,4350.0,190.9,3.64,21.5,turbo,mercedes-benz,123.0,sedan,ohc
68,3.58,3750.0,idi,diesel,4350.0,190.9,3.64,21.5,turbo,mercedes-benz,123.0,wagon,ohc
69,3.58,3495.0,idi,diesel,4350.0,187.5,3.64,21.5,turbo,mercedes-benz,123.0,hardtop,ohc
70,3.58,3770.0,idi,diesel,4350.0,202.6,3.64,21.5,turbo,mercedes-benz,123.0,sedan,ohc
71,3.46,3740.0,mpfi,gas,4750.0,202.6,3.1,8.3,std,mercedes-benz,155.0,sedan,ohcv
72,3.46,3685.0,mpfi,gas,4750.0,180.3,3.1,8.3,std,mercedes-benz,155.0,convertible,ohcv
73,3.8,3900.0,mpfi,gas,4500.0,208.1,3.35,8.0,std,mercedes-benz,184.0,sedan,ohcv
74,3.8,3715.0,mpfi,gas,4500.0,199.2,3.35,8.0,std,mercedes-benz,184.0,hardtop,ohcv
75,3.78,2910.0,mpfi,gas,5000.0,178.4,3.12,8.0,turbo,mercury,175.0,hatchback,ohc
76,2.97,1918.0,2bbl,gas,5500.0,157.3,3.23,9.4,std,mitsubishi,68.0,hatchback,ohc
77,2.97,1944.0,2bbl,gas,5500.0,157.3,3.23,9.4,std,mitsubishi,68.0,hatchback,ohc
78,2.97,2004.0,2bbl,gas,5500.0,157.3,3.23,9.4,std,mitsubishi,68.0,hatchback,ohc
79,3.03,2145.0,spdi,gas,5500.0,157.3,3.39,7.6,turbo,mitsubishi,102.0,hatchback,ohc
80,3.17,2370.0,spdi,gas,5500.0,173.0,3.46,7.5,turbo,mitsubishi,116.0,hatchback,ohc
81,3.35,2328.0,2bbl,gas,5000.0,173.0,3.46,8.5,std,mitsubishi,88.0,hatchback,ohc
82,3.58,2833.0,spdi,gas,5000.0,173.2,3.86,7.0,turbo,mitsubishi,145.0,hatchback,ohc
83,3.59,2921.0,spdi,gas,5000.0,173.2,3.86,7.0,turbo,mitsubishi,145.0,hatchback,ohc
84,3.59,2926.0,spdi,gas,5000.0,173.2,3.86,7.0,turbo,mitsubishi,145.0,hatchback,ohc
85,3.35,2365.0,2bbl,gas,5000.0,172.4,3.46,8.5,std,mitsubishi,88.0,sedan,ohc
86,3.35,2405.0,2bbl,gas,5000.0,172.4,3.46,8.5,std,mitsubishi,88.0,sedan,ohc
87,3.17,2403.0,spdi,gas,5500.0,172.4,3.46,7.5,turbo,mitsubishi,116.0,sedan,ohc
88,3.17,2403.0,spdi,gas,5500.0,172.4,3.46,7.5,std,mitsubishi,116.0,sedan,ohc
89,3.15,1889.0,2bbl,gas,5200.0,165.3,3.29,9.4,std,nissan,69.0,sedan,ohc
90,2.99,2017.0,idi,diesel,4800.0,165.3,3.47,21.9,std,nissan,55.0,sedan,ohc
91,3.15,1918.0,2bbl,gas,5200.0,165.3,3.29,9.4,std,nissan,69.0,sedan,ohc
92,3.15,1938.0,2bbl,gas,5200.0,165.3,3.29,9.4,std,nissan,69.0,sedan,ohc
93,3.15,2024.0,2bbl,gas,5200.0,170.2,3.29,9.4,std,nissan,69.0,wagon,ohc
94,3.15,1951.0,2bbl,gas,5200.0,165.3,3.29,9.4,std,nissan,69.0,sedan,ohc
95,3.15,2028.0,2bbl,gas,5200.0,165.6,3.29,9.4,std,nissan,69.0,hatchback,ohc
96,3.15,1971.0,2bbl,gas,5200.0,165.3,3.29,9.4,std,nissan,69.0,sedan,ohc
97,3.15,2037.0,2bbl,gas,5200.0,170.2,3.29,9.4,std,nissan,69.0,wagon,ohc
98,3.15,2008.0,2bbl,gas,5200.0,162.4,3.29,9.4,std,nissan,69.0,hardtop,ohc
