,highway-mpg_num,symboling_cat,wheel-base_num,compression-ratio_num,engine-size_num,height_num,body-style_cat,fuel-type_cat,fuel-system_cat,city-mpg_num,engine-type_cat,aspiration_cat,length_num
0,27.0,3,88.6,9.0,130.0,48.8,convertible,gas,mpfi,21.0,dohc,std,168.8
1,27.0,3,88.6,9.0,130.0,48.8,convertible,gas,mpfi,21.0,dohc,std,168.8
2,26.0,1,94.5,9.0,152.0,52.4,hatchback,gas,mpfi,19.0,ohcv,std,171.2
3,30.0,2,99.8,10.0,109.0,54.3,sedan,gas,mpfi,24.0,ohc,std,176.6
4,22.0,2,99.4,8.0,136.0,54.3,sedan,gas,mpfi,18.0,ohc,std,176.6
5,25.0,2,99.8,8.5,136.0,53.1,sedan,gas,mpfi,19.0,ohc,std,177.3
6,25.0,1,105.8,8.5,136.0,55.7,sedan,gas,mpfi,19.0,ohc,std,192.7
7,25.0,1,105.8,8.5,136.0,55.7,wagon,gas,mpfi,19.0,ohc,std,192.7
8,20.0,1,105.8,8.3,131.0,55.9,sedan,gas,mpfi,17.0,ohc,turbo,192.7
9,22.0,0,99.5,7.0,131.0,52.0,hatchback,gas,mpfi,16.0,ohc,turbo,178.2
10,29.0,2,101.2,8.8,108.0,54.3,sedan,gas,mpfi,23.0,ohc,std,176.8
11,29.0,0,101.2,8.8,108.0,54.3,sedan,gas,mpfi,23.0,ohc,std,176.8
12,28.0,0,101.2,9.0,164.0,54.3,sedan,gas,mpfi,21.0,ohc,std,176.8
13,28.0,0,101.2,9.0,164.0,54.3,sedan,gas,mpfi,21.0,ohc,std,176.8
14,25.0,1,103.5,9.0,164.0,55.7,sedan,gas,mpfi,20.0,ohc,std,189.0
15,22.0,0,103.5,8.0,209.0,55.7,sedan,gas,mpfi,16.0,ohc,std,189.0
16,22.0,0,103.5,8.0,209.0,53.7,sedan,gas,mpfi,16.0,ohc,std,193.8
17,20.0,0,110.0,8.0,209.0,56.3,sedan,gas,mpfi,15.0,ohc,std,197.0
18,53.0,2,88.4,9.5,61.0,53.2,hatchback,gas,2bbl,47.0,l,std,141.1
19,43.0,1,94.5,9.6,90.0,52.0,hatchback,gas,2bbl,38.0,ohc,std,155.9
20,43.0,0,94.5,9.6,90.0,52.0,sedan,gas,2bbl,38.0,ohc,std,158.8
21,41.0,1,93.7,9.41,90.0,50.8,hatchback,gas,2bbl,37.0,ohc,std,157.3
22,38.0,1,93.7,9.4,90.0,50.8,hatchback,gas,2bbl,31.0,ohc,std,157.3
23,30.0,1,93.7,7.6,98.0,50.8,hatchback,gas,mpfi,24.0,ohc,turbo,157.3
24,38.0,1,93.7,9.4,90.0,50.6,hatchback,gas,2bbl,31.0,ohc,std,157.3
25,38.0,1,93.7,9.4,90.0,50.6,sedan,gas,2bbl,31.0,ohc,std,157.3
26,38.0,1,93.7,9.4,90.0,50.6,sedan,gas,2bbl,31.0,ohc,std,157.3
27,30.0,1,93.7,7.6,98.0,50.6,sedan,gas,mpfi,24.0,ohc,turbo,157.3
28,30.0,-1,103.3,8.5,122.0,59.8,wagon,gas,2bbl,24.0,ohc,std,174.6
29,24.0,3,95.9,7.0,156.0,50.2,hatchback,gas,mfi,19.0,ohc,turbo,173.2
30,54.0,2,86.6,9.6,92.0,50.8,hatchback,gas,1bbl,49.0,ohc,std,144.6
31,38.0,2,86.6,9.2,92.0,50.8,hatchback,gas,1bbl,31.0,ohc,std,144.6
32,42.0,1,93.7,10.1,79.0,52.6,hatchback,gas,1bbl,38.0,ohc,std,150.0
33,34.0,1,93.7,9.2,92.0,52.6,hatchback,gas,1bbl,30.0,ohc,std,150.0
34,34.0,1,93.7,9.2,92.0,52.6,hatchback,gas,1bbl,30.0,ohc,std,150.0
35,34.0,0,96.5,9.2,92.0,54.5,sedan,gas,1bbl,30.0,ohc,std,163.4
36,34.0,0,96.5,9.2,92.0,58.3,wagon,gas,1bbl,30.0,ohc,std,157.1
37,33.0,0,96.5,9.0,110.0,53.3,hatchback,gas,1bbl,27.0,ohc,std,167.5
38,33.0,0,96.5,9.0,110.0,53.3,hatchback,gas,1bbl,27.0,ohc,std,167.5
39,33.0,0,96.5,9.0,110.0,54.1,sedan,gas,1bbl,27.0,ohc,std,175.4
40,33.0,0,96.5,9.0,110.0,54.1,sedan,gas,1bbl,27.0,ohc,std,175.4
41,28.0,0,96.5,9.0,110.0,54.1,sedan,gas,mpfi,24.0,ohc,std,175.4
42,31.0,1,96.5,9.1,110.0,51.0,sedan,gas,2bbl,25.0,ohc,std,169.1
43,29.0,0,94.3,8.5,111.0,53.5,sedan,gas,2bbl,24.0,ohc,std,170.7
44,43.0,1,94.5,9.6,90.0,52.0,sedan,gas,2bbl,38.0,ohc,std,155.9
45,43.0,0,94.5,9.6,90.0,52.0,sedan,gas,2bbl,38.0,ohc,std,155.9
46,29.0,2,96.0,9.2,119.0,51.4,hatchback,gas,spfi,24.0,ohc,std,172.6
47,19.0,0,113.0,8.1,258.0,52.8,sedan,gas,mpfi,15.0,dohc,std,199.6
48,19.0,0,113.0,8.1,258.0,52.8,sedan,gas,mpfi,15.0,dohc,std,199.6
49,17.0,0,102.0,11.5,326.0,47.8,sedan,gas,mpfi,13.0,ohcv,std,191.7
50,31.0,1,93.1,9.0,91.0,54.1,hatchback,gas,2bbl,30.0,ohc,std,159.1
51,38.0,1,93.1,9.0,91.0,54.1,hatchback,gas,2bbl,31.0,ohc,std,159.1
52,38.0,1,93.1,9.0,91.0,54.1,hatchback,gas,2bbl,31.0,ohc,std,159.1
53,38.0,1,93.1,9.0,91.0,54.1,sedan,gas,2bbl,31.0,ohc,std,166.8
54,38.0,1,93.1,9.0,91.0,54.1,sedan,gas,2bbl,31.0,ohc,std,166.8
55,23.0,3,95.3,9.4,70.0,49.6,hatchback,gas,4bbl,17.0,rotor,std,169.0
56,23.0,3,95.3,9.4,70.0,49.6,hatchback,gas,4bbl,17.0,rotor,std,169.0
57,23.0,3,95.3,9.4,70.0,49.6,hatchback,gas,4bbl,17.0,rotor,std,169.0
58,23.0,3,95.3,9.4,80.0,49.6,hatchback,gas,mpfi,16.0,rotor,std,169.0
59,32.0,1,98.8,8.6,122.0,53.7,hatchback,gas,2bbl,26.0,ohc,std,177.8
60,32.0,0,98.8,8.6,122.0,55.5,sedan,gas,2bbl,26.0,ohc,std,177.8
61,32.0,1,98.8,8.6,122.0,53.7,hatchback,gas,2bbl,26.0,ohc,std,177.8
62,32.0,0,98.8,8.6,122.0,55.5,sedan,gas,2bbl,26.0,ohc,std,177.8
63,42.0,0,98.8,22.7,122.0,55.5,sedan,diesel,idi,36.0,ohc,std,177.8
64,32.0,0,98.8,8.6,122.0,55.5,hatchback,gas,2bbl,26.0,ohc,std,177.8
65,27.0,0,104.9,8.0,140.0,54.4,sedan,gas,mpfi,19.0,ohc,std,175.0
66,39.0,0,104.9,22.0,134.0,54.4,sedan,diesel,idi,31.0,ohc,std,175.0
67,25.0,-1,110.0,21.5,183.0,56.5,sedan,diesel,idi,22.0,ohc,turbo,190.9
68,25.0,-1,110.0,21.5,183.0,58.7,wagon,diesel,idi,22.0,ohc,turbo,190.9
69,25.0,0,106.7,21.5,183.0,54.9,hardtop,diesel,idi,22.0,ohc,turbo,187.5
70,25.0,-1,115.6,21.5,183.0,56.3,sedan,diesel,idi,22.0,ohc,turbo,202.6
71,18.0,-1,115.6,8.3,234.0,56.5,sedan,gas,mpfi,16.0,ohcv,std,202.6
72,18.0,3,96.6,8.3,234.0,50.8,convertible,gas,mpfi,16.0,ohcv,std,180.3
73,16.0,0,120.9,8.0,308.0,56.7,sedan,gas,mpfi,14.0,ohcv,std,208.1
74,16.0,1,112.0,8.0,304.0,55.4,hardtop,gas,mpfi,14.0,ohcv,std,199.2
75,24.0,1,102.7,8.0,140.0,54.8,hatchback,gas,mpfi,19.0,ohc,turbo,178.4
76,41.0,2,93.7,9.4,92.0,50.8,hatchback,gas,2bbl,37.0,ohc,std,157.3
77,38.0,2,93.7,9.4,92.0,50.8,hatchback,gas,2bbl,31.0,ohc,std,157.3
78,38.0,2,93.7,9.4,92.0,50.8,hatchback,gas,2bbl,31.0,ohc,std,157.3
79,30.0,1,93.0,7.6,98.0,50.8,hatchback,gas,spdi,24.0,ohc,turbo,157.3
80,30.0,3,96.3,7.5,110.0,49.4,hatchback,gas,spdi,23.0,ohc,turbo,173.0
81,32.0,3,96.3,8.5,122.0,49.4,hatchback,gas,2bbl,25.0,ohc,std,173.0
82,24.0,3,95.9,7.0,156.0,50.2,hatchback,gas,spdi,19.0,ohc,turbo,173.2
83,24.0,3,95.9,7.0,156.0,50.2,hatchback,gas,spdi,19.0,ohc,turbo,173.2
84,24.0,3,95.9,7.0,156.0,50.2,hatchback,gas,spdi,19.0,ohc,turbo,173.2
85,32.0,1,96.3,8.5,122.0,51.6,sedan,gas,2bbl,25.0,ohc,std,172.4
86,32.0,1,96.3,8.5,122.0,51.6,sedan,gas,2bbl,25.0,ohc,std,172.4
87,30.0,1,96.3,7.5,110.0,51.6,sedan,gas,spdi,23.0,ohc,turbo,172.4
88,30.0,-1,96.3,7.5,110.0,51.6,sedan,gas,spdi,23.0,ohc,std,172.4
89,37.0,1,94.5,9.4,97.0,54.5,sedan,gas,2bbl,31.0,ohc,std,165.3
90,50.0,1,94.5,21.9,103.0,54.5,sedan,diesel,idi,45.0,ohc,std,165.3
91,37.0,1,94.5,9.4,97.0,54.5,sedan,gas,2bbl,31.0,ohc,std,165.3
92,37.0,1,94.5,9.4,97.0,54.5,sedan,gas,2bbl,31.0,ohc,std,165.3
93,37.0,1,94.5,9.4,97.0,53.5,wagon,gas,2bbl,31.0,ohc,std,170.2
94,37.0,1,94.5,9.4,97.0,54.5,sedan,gas,2bbl,31.0,ohc,std,165.3
95,37.0,1,94.5,9.4,97.0,53.3,hatchback,gas,2bbl,31.0,ohc,std,165.6
96,37.0,1,94.5,9.4,97.0,54.5,sedan,gas,2bbl,31.0,ohc,std,165.3
97,37.0,1,94.5,9.4,97.0,53.5,wagon,gas,2bbl,31.0,ohc,std,170.2
98,37.0,2,95.1,9.4,97.0,53.3,hardtop,gas,2bbl,31.0,ohc,std,162.4
99,34.0,0,97.2,8.5,120.0,54.7,hatchback,gas,2bbl,27.0,ohc,std,173.4
100,34.0,0,97.2,8.5,120.0,54.7,sedan,gas,2bbl,27.0,ohc,std,173.4
101,22.0,0,100.4,9.0,181.0,55.1,sedan,gas,mpfi,17.0,ohcv,std,181.7
102,22.0,0,100.4,9.0,181.0,56.1,wagon,gas,mpfi,17.0,ohcv,std,184.6
103,25.0,0,100.4,9.0,181.0,55.1,sedan,gas,mpfi,19.0,ohcv,std,184.6
104,25.0,3,91.3,9.0,181.0,49.7,hatchback,gas,mpfi,19.0,ohcv,std,170.7
105,23.0,3,91.3,7.8,181.0,49.7,hatchback,gas,mpfi,17.0,ohcv,turbo,170.7
106,25.0,1,99.2,9.0,181.0,49.7,hatchback,gas,mpfi,19.0,ohcv,std,178.5
107,24.0,0,107.9,8.4,120.0,56.7,sedan,gas,mpfi,19.0,l,std,186.7
108,33.0,0,107.9,21.0,152.0,56.7,sedan,diesel,idi,28.0,l,turbo,186.7
109,24.0,0,114.2,8.4,120.0,58.7,wagon,gas,mpfi,19.0,l,std,198.9
110,25.0,0,114.2,21.0,152.0,58.7,wagon,diesel,idi,25.0,l,turbo,198.9
