,left-distance_num,right-distance_num
0,1.0,1.0
1,1.0,2.0
2,1.0,3.0
3,1.0,4.0
4,1.0,5.0
5,1.0,1.0
6,1.0,2.0
7,1.0,3.0
8,1.0,4.0
9,1.0,5.0
10,1.0,1.0
11,1.0,2.0
12,1.0,3.0
13,1.0,4.0
14,1.0,5.0
15,1.0,1.0
16,1.0,2.0
17,1.0,3.0
18,1.0,4.0
19,1.0,5.0
20,1.0,1.0
21,1.0,2.0
22,1.0,3.0
23,1.0,4.0
24,1.0,5.0
25,2.0,1.0
26,2.0,2.0
27,2.0,3.0
28,2.0,4.0
29,2.0,5.0
30,2.0,1.0
31,2.0,2.0
32,2.0,3.0
33,2.0,4.0
34,2.0,5.0
35,2.0,1.0
36,2.0,2.0
37,2.0,3.0
38,2.0,4.0
39,2.0,5.0
40,2.0,1.0
41,2.0,2.0
42,2.0,3.0
43,2.0,4.0
44,2.0,5.0
45,2.0,1.0
46,2.0,2.0
47,2.0,3.0
48,2.0,4.0
49,2.0,5.0
50,3.0,1.0
51,3.0,2.0
52,3.0,3.0
53,3.0,4.0
54,3.0,5.0
55,3.0,1.0
56,3.0,2.0
57,3.0,3.0
58,3.0,4.0
59,3.0,5.0
60,3.0,1.0
61,3.0,2.0
62,3.0,3.0
63,3.0,4.0
64,3.0,5.0
65,3.0,1.0
66,3.0,2.0
67,3.0,3.0
68,3.0,4.0
69,3.0,5.0
70,3.0,1.0
71,3.0,2.0
72,3.0,3.0
73,3.0,4.0
74,3.0,5.0
75,4.0,1.0
76,4.0,2.0
77,4.0,3.0
78,4.0,4.0
79,4.0,5.0
80,4.0,1.0
81,4.0,2.0
82,4.0,3.0
83,4.0,4.0
84,4.0,5.0
85,4.0,1.0
86,4.0,2.0
87,4.0,3.0
88,4.0,4.0
89,4.0,5.0
90,4.0,1.0
91,4.0,2.0
92,4.0,3.0
93,4.0,4.0
94,4.0,5.0
95,4.0,1.0
96,4.0,2.0
97,4.0,3.0
98,4.0,4.0
99,4.0,5.0
100,5.0,1.0
101,5.0,2.0
102,5.0,3.0
103,5.0,4.0
104,5.0,5.0
105,5.0,1.0
106,5.0,2.0
107,5.0,3.0
108,5.0,4.0
109,5.0,5.0
110,5.0,1.0
111,5.0,2.0
112,5.0,3.0
113,5.0,4.0
114,5.0,5.0
115,5.0,1.0
116,5.0,2.0
117,5.0,3.0
118,5.0,4.0
119,5.0,5.0
120,5.0,1.0
121,5.0,2.0
122,5.0,3.0
123,5.0,4.0
124,5.0,5.0
125,1.0,1.0
126,1.0,2.0
127,1.0,3.0
128,1.0,4.0
129,1.0,5.0
130,1.0,1.0
131,1.0,2.0
132,1.0,3.0
133,1.0,4.0
134,1.0,5.0
135,1.0,1.0
136,1.0,2.0
137,1.0,3.0
138,1.0,4.0
139,1.0,5.0
140,1.0,1.0
141,1.0,2.0
142,1.0,3.0
143,1.0,4.0
144,1.0,5.0
145,1.0,1.0
146,1.0,2.0
147,1.0,3.0
148,1.0,4.0
149,1.0,5.0
150,2.0,1.0
151,2.0,2.0
152,2.0,3.0
153,2.0,4.0
154,2.0,5.0
155,2.0,1.0
156,2.0,2.0
157,2.0,3.0
158,2.0,4.0
159,2.0,5.0
160,2.0,1.0
161,2.0,2.0
162,2.0,3.0
163,2.0,4.0
164,2.0,5.0
165,2.0,1.0
166,2.0,2.0
167,2.0,3.0
168,2.0,4.0
169,2.0,5.0
170,2.0,1.0
171,2.0,2.0
172,2.0,3.0
173,2.0,4.0
174,2.0,5.0
175,3.0,1.0
176,3.0,2.0
177,3.0,3.0
178,3.0,4.0
179,3.0,5.0
180,3.0,1.0
181,3.0,2.0
182,3.0,3.0
183,3.0,4.0
184,3.0,5.0
185,3.0,1.0
186,3.0,2.0
187,3.0,3.0
188,3.0,4.0
189,3.0,5.0
190,3.0,1.0
191,3.0,2.0
192,3.0,3.0
193,3.0,4.0
194,3.0,5.0
195,3.0,1.0
196,3.0,2.0
197,3.0,3.0
198,3.0,4.0
199,3.0,5.0
200,4.0,1.0
201,4.0,2.0
202,4.0,3.0
203,4.0,4.0
204,4.0,5.0
205,4.0,1.0
206,4.0,2.0
207,4.0,3.0
208,4.0,4.0
209,4.0,5.0
210,4.0,1.0
211,4.0,2.0
212,4.0,3.0
213,4.0,4.0
214,4.0,5.0
215,4.0,1.0
216,4.0,2.0
217,4.0,3.0
218,4.0,4.0
219,4.0,5.0
220,4.0,1.0
221,4.0,2.0
222,4.0,3.0
223,4.0,4.0
224,4.0,5.0
225,5.0,1.0
226,5.0,2.0
227,5.0,3.0
228,5.0,4.0
229,5.0,5.0
230,5.0,1.0
231,5.0,2.0
232,5.0,3.0
233,5.0,4.0
234,5.0,5.0
235,5.0,1.0
236,5.0,2.0
237,5.0,3.0
238,5.0,4.0
239,5.0,5.0
240,5.0,1.0
241,5.0,2.0
242,5.0,3.0
243,5.0,4.0
244,5.0,5.0
245,5.0,1.0
246,5.0,2.0
247,5.0,3.0
248,5.0,4.0
249,5.0,5.0
250,1.0,1.0
251,1.0,2.0
252,1.0,3.0
253,1.0,4.0
254,1.0,5.0
255,1.0,1.0
256,1.0,2.0
257,1.0,3.0
258,1.0,4.0
259,1.0,5.0
260,1.0,1.0
261,1.0,2.0
262,1.0,3.0
263,1.0,4.0
264,1.0,5.0
265,1.0,1.0
266,1.0,2.0
267,1.0,3.0
268,1.0,4.0
269,1.0,5.0
270,1.0,1.0
271,1.0,2.0
272,1.0,3.0
273,1.0,4.0
274,1.0,5.0
275,2.0,1.0
276,2.0,2.0
277,2.0,3.0
278,2.0,4.0
279,2.0,5.0
280,2.0,1.0
281,2.0,2.0
282,2.0,3.0
283,2.0,4.0
284,2.0,5.0
285,2.0,1.0
286,2.0,2.0
287,2.0,3.0
288,2.0,4.0
289,2.0,5.0
290,2.0,1.0
291,2.0,2.0
292,2.0,3.0
293,2.0,4.0
294,2.0,5.0
295,2.0,1.0
296,2.0,2.0
297,2.0,3.0
298,2.0,4.0
299,2.0,5.0
300,3.0,1.0
301,3.0,2.0
302,3.0,3.0
303,3.0,4.0
304,3.0,5.0
305,3.0,1.0
306,3.0,2.0
307,3.0,3.0
308,3.0,4.0
309,3.0,5.0
310,3.0,1.0
311,3.0,2.0
312,3.0,3.0
313,3.0,4.0
314,3.0,5.0
315,3.0,1.0
316,3.0,2.0
317,3.0,3.0
318,3.0,4.0
319,3.0,5.0
320,3.0,1.0
321,3.0,2.0
322,3.0,3.0
323,3.0,4.0
324,3.0,5.0
325,4.0,1.0
326,4.0,2.0
327,4.0,3.0
328,4.0,4.0
329,4.0,5.0
330,4.0,1.0
331,4.0,2.0
332,4.0,3.0
333,4.0,4.0
334,4.0,5.0
335,4.0,1.0
336,4.0,2.0
337,4.0,3.0
338,4.0,4.0
339,4.0,5.0
340,4.0,1.0
341,4.0,2.0
342,4.0,3.0
343,4.0,4.0
344,4.0,5.0
345,4.0,1.0
346,4.0,2.0
347,4.0,3.0
348,4.0,4.0
349,4.0,5.0
350,5.0,1.0
351,5.0,2.0
352,5.0,3.0
353,5.0,4.0
354,5.0,5.0
355,5.0,1.0
356,5.0,2.0
357,5.0,3.0
358,5.0,4.0
359,5.0,5.0
360,5.0,1.0
361,5.0,2.0
362,5.0,3.0
363,5.0,4.0
364,5.0,5.0
365,5.0,1.0
366,5.0,2.0
367,5.0,3.0
368,5.0,4.0
369,5.0,5.0
370,5.0,1.0
371,5.0,2.0
372,5.0,3.0
373,5.0,4.0
374,5.0,5.0
375,1.0,1.0
376,1.0,2.0
377,1.0,3.0
378,1.0,4.0
379,1.0,5.0
380,1.0,1.0
381,1.0,2.0
382,1.0,3.0
383,1.0,4.0
