,residual_num,raw_num
0,0.0,1.76
1,0.0,1.76
2,0.0,1.76
3,0.0,1.76
4,-0.02,1.74
5,-0.04,1.72
6,-0.082,1.68
7,-0.091,1.68
8,-0.019,1.76
9,0.055,1.84
10,0.049,1.84
11,0.063,1.86
12,0.058,1.86
13,0.072,1.88
14,0.066,1.88
15,0.021,1.84
16,-0.063,1.76
17,-0.167,1.66
18,-0.072,1.76
19,-0.017,1.82
20,-0.06,1.78
21,-0.003,1.84
22,0.033,1.88
23,0.09,1.94
24,0.087,1.94
25,0.045,1.9
26,0.042,1.9
27,0.06,1.92
28,0.058,1.92
29,0.056,1.92
30,0.073,1.94
31,0.071,1.94
32,0.049,1.92
33,0.087,1.96
34,-0.215,1.66
35,0.043,1.92
36,0.062,1.94
37,0.04,1.92
38,-0.022,1.86
39,-0.123,1.76
40,-0.084,1.8
41,-0.026,1.86
42,0.053,1.94
43,0.052,1.94
44,0.011,1.9
45,0.029,1.92
46,0.028,1.92
47,0.047,1.94
48,0.026,1.92
49,0.025,1.92
50,0.044,1.94
51,0.022,1.92
52,0.06,1.96
53,0.098,2.0
54,0.036,1.94
55,0.014,1.92
56,0.032,1.94
57,0.01,1.92
58,-0.112,1.8
59,-0.134,1.78
60,-0.136,1.78
61,-0.058,1.86
62,0.0,1.92
63,0.018,1.94
64,0.017,1.94
65,0.036,1.96
66,0.034,1.96
67,0.033,1.96
68,0.032,1.96
69,0.031,1.96
70,0.03,1.96
71,0.009,1.94
72,0.008,1.94
73,-0.013,1.92
74,-0.054,1.88
75,-0.075,1.86
76,-0.136,1.8
77,-0.137,1.8
78,-0.098,1.84
79,-0.258,1.68
80,-0.059,1.88
81,-0.02,1.92
82,0.02,1.96
83,0.019,1.96
84,-0.002,1.94
85,0.018,1.96
86,0.057,2.0
87,0.057,2.0
88,0.037,1.98
89,-0.944,1.0
90,-0.004,1.94
91,0.015,1.96
92,0.014,1.96
93,0.014,1.96
94,0.014,1.96
95,-0.007,1.94
96,-0.007,1.94
97,-0.008,1.94
98,-0.008,1.94
99,0.012,1.96
100,0.011,1.96
101,0.011,1.96
102,0.01,1.96
103,0.01,1.96
104,0.009,1.96
105,0.009,1.96
106,0.008,1.96
107,0.007,1.96
108,0.007,1.96
109,0.006,1.96
110,0.006,1.96
111,0.005,1.96
112,0.005,1.96
113,0.025,1.98
114,0.004,1.96
115,0.004,1.96
116,0.043,2.0
117,0.063,2.02
118,0.022,1.98
119,0.002,1.96
120,0.021,1.98
121,0.001,1.96
122,-0.04,1.92
123,-0.22,1.74
124,-0.161,1.8
125,-0.102,1.86
126,-0.062,1.9
127,-0.003,1.96
128,0.037,2.0
129,0.036,2.0
130,0.015,1.98
131,-0.025,1.94
132,-0.046,1.92
133,-0.026,1.94
134,0.013,1.98
135,-0.348,1.62
136,0.012,1.98
137,-0.009,1.96
138,-0.009,1.96
139,0.01,1.98
140,0.03,2.0
141,0.029,2.0
142,0.028,2.0
143,0.028,2.0
144,0.027,2.0
145,0.027,2.0
146,0.026,2.0
147,0.005,1.98
148,0.005,1.98
149,-0.395,1.58
150,0.024,2.0
151,0.024,2.0
152,0.043,2.02
153,0.063,2.04
154,0.063,2.04
155,0.022,2.0
156,0.002,1.98
157,0.021,2.0
158,0.021,2.0
159,-0.019,1.96
160,-0.08,1.9
161,-0.16,1.82
162,-0.081,1.9
163,0.019,2.0
164,0.019,2.0
165,-0.042,1.94
166,0.018,2.0
167,0.017,2.0
168,-0.003,1.98
169,0.017,2.0
170,0.016,2.0
171,-0.444,1.54
172,0.035,2.02
173,0.055,2.04
174,0.055,2.04
175,0.054,2.04
176,0.054,2.04
177,-0.047,1.94
178,-0.167,1.82
179,0.033,2.02
180,0.052,2.04
181,0.052,2.04
182,0.051,2.04
183,0.051,2.04
184,0.011,2.0
185,0.01,2.0
186,0.01,2.0
187,0.01,2.0
188,0.009,2.0
189,0.009,2.0
190,0.008,2.0
191,0.008,2.0
192,0.008,2.0
193,0.007,2.0
194,0.007,2.0
195,0.006,2.0
196,0.006,2.0
197,-0.274,1.72
198,-0.035,1.96
199,0.005,2.0
200,0.004,2.0
201,-0.036,1.96
202,-0.036,1.96
203,0.003,2.0
204,0.003,2.0
205,-0.037,1.96
206,-0.117,1.88
207,-0.357,1.64
208,0.002,2.0
209,0.042,2.04
210,0.002,2.0
211,0.062,2.06
212,0.002,2.0
213,0.001,2.0
214,0.001,2.0
215,0.001,2.0
216,-0.039,1.96
217,0.021,2.02
218,-0.08,1.92
219,-0.04,1.96
220,-0.14,1.86
221,0.0,2.0
222,0.0,2.0
223,-0.02,1.98
224,0.0,2.0
225,0.04,2.04
226,0.02,2.02
227,0.0,2.0
228,0.02,2.02
