,RIVER_cat,LOCATION_cat,ERECTED_cat,PURPOSE_cat,LENGTH_cat,LANES_cat,CLEAR-G_cat,T-OR-D_cat,MATERIAL_cat,SPAN_cat,REL-L_cat,TYPE_cat
0,M,3,CRAFTS,HIGHWAY,,2,N,THROUGH,WOOD,SHORT,S,WOOD
1,A,25,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,SHORT,S,WOOD
2,A,39,CRAFTS,AQUEDUCT,,1,N,THROUGH,WOOD,,S,WOOD
3,A,29,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,SHORT,S,WOOD
4,M,23,CRAFTS,HIGHWAY,,2,N,THROUGH,WOOD,,S,WOOD
5,A,27,CRAFTS,HIGHWAY,SHORT,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
6,A,28,CRAFTS,AQUEDUCT,MEDIUM,1,N,THROUGH,IRON,SHORT,S,SUSPEN
7,M,3,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,IRON,SHORT,S,SUSPEN
8,A,39,CRAFTS,AQUEDUCT,,1,N,DECK,WOOD,,S,WOOD
9,A,29,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
10,A,39,CRAFTS,RR,,2,N,DECK,WOOD,,S,WOOD
11,M,6,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
12,A,33,CRAFTS,HIGHWAY,,2,N,THROUGH,WOOD,,S,WOOD
13,A,28,CRAFTS,RR,,2,N,THROUGH,WOOD,,S,WOOD
14,A,25,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
15,M,4,CRAFTS,RR,MEDIUM,2,N,THROUGH,IRON,MEDIUM,,SIMPLE-T
16,A,28,CRAFTS,RR,MEDIUM,2,N,THROUGH,IRON,SHORT,S,SIMPLE-T
17,A,29,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
