,binaryClass_cat,col_1_num,col_2_num,col_3_num,col_4_num,col_5_num,col_6_num,col_7_num,col_8_num,col_9_num,col_10_num,col_11_num,col_12_num
0,N,1749.0,58.0,62.6,70.0,55.7,85.0,83.5,94.8,66.3,75.9,75.5,158.6
1,N,1750.0,73.3,75.9,89.2,88.3,90.0,100.0,85.4,103.0,91.2,65.7,63.3
2,P,1751.0,70.0,43.5,45.3,56.4,60.7,50.7,66.3,59.8,23.5,23.2,28.5
3,P,1752.0,35.0,50.0,71.0,59.3,59.7,39.6,78.4,29.3,27.1,46.6,37.6
4,P,1753.0,44.0,32.0,45.7,38.0,36.0,31.7,22.2,39.0,28.0,25.0,20.0
5,P,1754.0,0.0,3.0,1.7,13.7,20.7,26.7,18.8,12.3,8.2,24.1,13.2
6,P,1755.0,10.2,11.2,6.8,6.5,0.0,0.0,8.6,3.2,17.8,23.7,6.8
7,P,1756.0,12.5,7.1,5.4,9.4,12.5,12.9,3.6,6.4,11.8,14.3,17.0
8,P,1757.0,14.1,21.2,26.2,30.0,38.1,12.8,25.0,51.3,39.7,32.5,64.7
9,P,1758.0,37.6,52.0,49.0,72.3,46.4,45.0,44.0,38.7,62.5,37.7,43.0
10,N,1759.0,48.3,44.0,46.8,47.0,49.0,50.0,51.0,71.3,77.2,59.7,46.3
11,N,1760.0,67.3,59.5,74.7,58.3,72.0,48.3,66.0,75.6,61.3,50.6,59.7
12,P,1761.0,70.0,91.0,80.7,71.7,107.2,99.3,94.1,91.1,100.7,88.7,89.7
13,N,1762.0,43.8,72.8,45.7,60.2,39.9,77.1,33.8,67.7,68.5,69.3,77.8
14,N,1763.0,56.5,31.9,34.2,32.9,32.7,35.8,54.2,26.5,68.1,46.3,60.9
15,P,1764.0,59.7,59.7,40.2,34.4,44.3,30.0,30.0,30.0,28.2,28.0,26.0
16,P,1765.0,24.0,26.0,25.0,22.0,20.2,20.0,27.0,29.7,16.0,14.0,14.0
17,P,1766.0,12.0,11.0,36.6,6.0,26.8,3.0,3.3,4.0,4.3,5.0,5.7
18,N,1767.0,27.4,30.0,43.0,32.9,29.8,33.3,21.9,40.8,42.7,44.1,54.7
19,N,1768.0,53.5,66.1,46.3,42.7,77.7,77.4,52.6,66.8,74.8,77.8,90.6
20,N,1769.0,73.9,64.2,64.3,96.7,73.6,94.4,118.6,120.3,148.8,158.2,148.1
21,N,1770.0,104.0,142.5,80.1,51.0,70.1,83.3,109.8,126.3,104.4,103.6,132.2
22,N,1771.0,36.0,46.2,46.7,64.9,152.7,119.5,67.7,58.5,101.4,90.0,99.7
23,N,1772.0,100.9,90.8,31.1,92.2,38.0,57.0,77.3,56.2,50.5,78.6,61.3
24,P,1773.0,54.6,29.0,51.2,32.9,41.1,28.4,27.7,12.7,29.3,26.3,40.9
25,P,1774.0,46.8,65.4,55.7,43.8,51.3,28.5,17.5,6.6,7.9,14.0,17.7
26,P,1775.0,4.4,0.0,11.6,11.2,3.9,12.3,1.0,7.9,3.2,5.6,15.1
27,P,1776.0,21.7,11.6,6.3,21.8,11.2,19.0,1.0,24.2,16.0,30.0,35.0
28,N,1777.0,45.0,36.5,39.0,95.5,80.3,80.7,95.0,112.0,116.2,106.5,146.0
29,N,1778.0,177.3,109.3,134.0,145.0,238.9,171.6,153.0,140.0,171.7,156.3,150.3
30,N,1779.0,114.7,165.7,118.0,145.0,140.0,113.7,143.0,112.0,111.0,124.0,114.0
31,N,1780.0,70.0,98.0,98.0,95.0,107.2,88.0,86.0,86.0,93.7,77.0,60.0
32,P,1781.0,98.7,74.7,53.0,68.3,104.7,97.7,73.5,66.0,51.0,27.3,67.0
33,P,1782.0,54.0,37.5,37.0,41.0,54.3,38.0,37.0,44.0,34.0,23.2,31.5
34,P,1783.0,28.0,38.7,26.7,28.3,23.0,25.2,32.2,20.0,18.0,8.0,15.0
35,P,1784.0,13.0,8.0,11.0,10.0,6.0,9.0,6.0,10.0,10.0,8.0,17.0
36,P,1785.0,6.5,8.0,9.0,15.7,20.7,26.3,36.3,20.0,32.0,47.2,40.2
37,N,1786.0,37.2,47.6,47.7,85.4,92.3,59.0,83.0,89.7,111.5,112.3,116.0
38,N,1787.0,134.7,106.0,87.4,127.2,134.8,99.2,128.0,137.2,157.3,157.0,141.5
39,N,1788.0,138.0,129.2,143.3,108.5,113.0,154.2,141.5,136.0,141.0,142.0,94.7
40,N,1789.0,114.0,125.3,120.0,123.3,123.5,120.0,117.0,103.0,112.0,89.7,134.0
41,N,1790.0,103.0,127.5,96.3,94.0,93.0,91.0,69.3,87.0,77.3,84.3,82.0
42,N,1791.0,72.7,62.0,74.0,77.2,73.7,64.2,71.0,43.0,66.5,61.7,67.0
43,N,1792.0,58.0,64.0,63.0,75.7,62.0,61.0,45.8,60.0,59.0,59.0,57.0
44,P,1793.0,56.0,55.0,55.5,53.0,52.3,51.0,50.0,29.3,24.0,47.0,44.0
45,P,1794.0,45.0,44.0,38.0,28.4,55.7,41.5,41.0,40.0,11.1,28.5,67.4
46,P,1795.0,21.4,39.9,12.6,18.6,31.0,17.1,12.9,25.7,13.5,19.5,25.0
47,P,1796.0,22.0,23.8,15.7,31.7,21.0,6.7,26.9,1.5,18.4,11.0,8.4
48,P,1797.0,14.4,4.2,4.0,4.0,7.3,11.1,4.3,6.0,5.7,6.9,5.8
49,P,1798.0,2.0,4.0,12.4,1.1,0.0,0.0,0.0,3.0,2.4,1.5,12.5
50,P,1799.0,1.6,12.6,21.7,8.4,8.2,10.6,2.1,0.0,0.0,4.6,2.7
51,P,1800.0,6.9,9.3,13.9,0.0,5.0,23.7,21.0,19.5,11.5,12.3,10.5
52,P,1801.0,27.0,29.0,30.0,31.0,32.0,31.2,35.0,38.7,33.5,32.6,39.8
53,P,1802.0,47.8,47.0,40.8,42.0,44.0,46.0,48.0,50.0,51.8,38.5,34.5
54,P,1803.0,50.0,50.8,29.5,25.0,44.3,36.0,48.3,34.1,45.3,54.3,51.0
55,N,1804.0,45.3,48.3,48.0,50.6,33.4,34.8,29.8,43.1,53.0,62.3,61.0
56,P,1805.0,61.0,44.1,51.4,37.5,39.0,40.5,37.6,42.7,44.4,29.4,41.0
57,P,1806.0,39.0,29.6,32.7,27.7,26.4,25.6,30.0,26.3,24.0,27.0,25.0
