,col_10_num,col_1_num,col_2_num,col_3_num,col_4_num,col_5_num,col_6_num,col_7_num,col_8_num,col_9_num
0,9.5,1,5.0,5.0,2.0,4.5,1.5,1.5,1.0,5.0
1,17.5,2,10.0,5.0,5.0,9.0,4.0,4.0,3.0,8.0
2,18.0,3,11.0,11.0,4.0,9.0,6.0,6.0,3.0,11.0
3,20.0,4,11.25,10.0,5.0,9.5,7.0,5.0,3.0,9.0
4,20.5,5,11.0,7.0,4.0,10.0,7.0,6.0,5.0,9.5
5,20.0,6,11.0,13.0,3.0,7.0,10.0,5.0,3.5,10.0
6,19.0,7,9.0,10.5,2.5,7.5,7.0,5.0,3.0,12.0
7,21.0,8,9.0,10.0,2.0,7.0,7.0,6.0,4.5,10.0
8,19.0,9,9.0,13.0,2.0,8.0,10.0,8.0,5.0,11.5
9,26.0,10,9.0,12.0,2.0,7.0,7.0,5.0,5.0,10.0
10,20.0,11,6.0,10.0,3.0,7.0,6.0,8.0,6.0,11.0
11,23.0,12,7.0,9.0,2.5,5.0,7.0,7.0,5.0,10.0
12,22.0,13,5.0,11.0,2.0,5.0,9.0,10.0,4.0,10.5
13,20.0,14,7.0,7.0,3.0,4.0,9.0,9.0,6.0,10.0
14,20.0,15,10.0,8.0,3.0,3.0,8.0,9.0,5.0,11.0
15,24.0,16,13.0,10.5,3.0,4.0,12.0,9.0,6.5,11.0
16,23.0,17,5.5,10.0,4.0,4.0,13.0,7.0,4.0,11.5
17,23.0,18,10.5,11.5,5.0,4.0,15.0,7.0,6.0,12.0
18,20.0,19,9.0,9.0,6.0,4.5,17.0,7.0,3.0,12.5
19,21.0,20,6.0,11.0,8.0,3.5,20.0,7.0,6.0,13.0
20,23.0,21,8.0,13.0,7.0,6.0,16.0,8.0,5.0,11.0
21,23.0,22,15.0,15.0,11.0,5.0,17.0,9.0,8.0,11.0
22,22.0,23,13.0,14.0,9.0,6.0,15.0,7.0,4.5,11.0
23,22.0,24,14.0,17.0,10.0,6.0,12.0,8.0,4.0,13.0
24,21.0,25,15.0,16.0,10.0,5.0,13.0,8.0,4.0,11.0
25,20.0,26,14.5,14.0,11.0,7.0,13.0,8.0,6.5,13.0
26,18.0,27,14.0,11.0,14.0,6.0,18.0,8.0,4.0,12.0
27,21.0,28,14.0,16.0,15.0,5.0,20.0,8.0,5.0,14.0
28,16.0,29,15.0,12.0,12.0,3.0,16.0,7.0,3.0,10.0
29,16.0,30,16.0,11.5,10.0,5.0,16.0,7.0,5.5,13.0
30,15.0,31,13.0,11.0,12.0,4.0,16.0,10.0,3.0,8.0
31,16.0,32,12.0,13.0,13.0,4.5,16.0,8.0,2.0,7.5
32,15.0,33,9.0,12.0,9.5,4.0,15.0,7.0,2.0,8.0
33,15.0,34,11.5,12.0,8.0,4.0,11.0,7.0,2.0,8.0
34,17.0,35,9.5,13.0,8.0,4.0,11.0,11.0,2.0,7.0
35,17.0,36,12.0,9.0,9.0,4.0,11.0,11.0,3.0,10.0
36,21.0,37,13.0,15.0,11.0,6.0,8.5,12.0,2.0,7.0
37,17.0,38,13.5,12.0,13.0,6.0,10.0,10.0,2.0,10.0
38,20.0,39,15.0,7.0,16.0,4.0,6.0,11.0,2.0,8.0
39,16.0,40,15.5,7.0,18.0,3.0,10.0,11.0,2.0,10.0
40,20.0,41,14.0,10.0,12.0,3.5,8.0,11.0,2.0,9.0
41,15.0,42,14.0,5.0,15.0,8.0,8.0,8.5,1.5,10.0
42,17.0,43,10.0,3.5,14.0,6.0,6.0,10.0,1.5,8.0
43,17.0,44,13.0,5.0,20.0,4.5,8.0,9.0,1.5,11.0
44,20.0,45,11.0,14.0,14.0,6.0,6.0,11.0,1.0,10.0
45,15.0,46,8.5,13.0,7.0,4.5,6.0,7.0,1.0,7.0
46,14.0,47,7.5,19.0,7.5,4.0,7.0,5.0,1.0,5.0
47,12.0,48,6.0,11.5,4.0,3.0,3.0,3.0,1.0,7.0
48,11.0,49,5.0,10.0,5.0,3.0,3.0,3.0,0.5,8.0
49,11.0,50,4.0,6.0,3.0,2.0,2.0,1.5,0.5,6.0
50,8.5,51,3.0,6.5,1.5,1.0,2.0,1.0,0.0,7.5
51,2.5,52,2.0,5.0,0.5,0.5,2.0,0.0,0.0,2.5
