,binaryClass_cat,col_1_num,col_2_num,col_3_num,col_4_num,col_5_num,col_6_num,col_7_num,col_8_num,col_9_num
0,P,1.0,5.0,5.0,2.0,4.5,1.5,1.5,1.0,5.0
1,P,2.0,10.0,5.0,5.0,9.0,4.0,4.0,3.0,8.0
2,P,3.0,11.0,11.0,4.0,9.0,6.0,6.0,3.0,11.0
3,N,4.0,11.25,10.0,5.0,9.5,7.0,5.0,3.0,9.0
4,N,5.0,11.0,7.0,4.0,10.0,7.0,6.0,5.0,9.5
5,N,6.0,11.0,13.0,3.0,7.0,10.0,5.0,3.5,10.0
6,N,7.0,9.0,10.5,2.5,7.5,7.0,5.0,3.0,12.0
7,N,8.0,9.0,10.0,2.0,7.0,7.0,6.0,4.5,10.0
8,N,9.0,9.0,13.0,2.0,8.0,10.0,8.0,5.0,11.5
9,N,10.0,9.0,12.0,2.0,7.0,7.0,5.0,5.0,10.0
10,N,11.0,6.0,10.0,3.0,7.0,6.0,8.0,6.0,11.0
11,N,12.0,7.0,9.0,2.5,5.0,7.0,7.0,5.0,10.0
12,N,13.0,5.0,11.0,2.0,5.0,9.0,10.0,4.0,10.5
13,N,14.0,7.0,7.0,3.0,4.0,9.0,9.0,6.0,10.0
14,N,15.0,10.0,8.0,3.0,3.0,8.0,9.0,5.0,11.0
15,N,16.0,13.0,10.5,3.0,4.0,12.0,9.0,6.5,11.0
16,N,17.0,5.5,10.0,4.0,4.0,13.0,7.0,4.0,11.5
17,N,18.0,10.5,11.5,5.0,4.0,15.0,7.0,6.0,12.0
18,N,19.0,9.0,9.0,6.0,4.5,17.0,7.0,3.0,12.5
19,N,20.0,6.0,11.0,8.0,3.5,20.0,7.0,6.0,13.0
20,N,21.0,8.0,13.0,7.0,6.0,16.0,8.0,5.0,11.0
21,N,22.0,15.0,15.0,11.0,5.0,17.0,9.0,8.0,11.0
22,N,23.0,13.0,14.0,9.0,6.0,15.0,7.0,4.5,11.0
23,N,24.0,14.0,17.0,10.0,6.0,12.0,8.0,4.0,13.0
24,N,25.0,15.0,16.0,10.0,5.0,13.0,8.0,4.0,11.0
25,N,26.0,14.5,14.0,11.0,7.0,13.0,8.0,6.5,13.0
26,P,27.0,14.0,11.0,14.0,6.0,18.0,8.0,4.0,12.0
27,N,28.0,14.0,16.0,15.0,5.0,20.0,8.0,5.0,14.0
28,P,29.0,15.0,12.0,12.0,3.0,16.0,7.0,3.0,10.0
29,P,30.0,16.0,11.5,10.0,5.0,16.0,7.0,5.5,13.0
30,P,31.0,13.0,11.0,12.0,4.0,16.0,10.0,3.0,8.0
31,P,32.0,12.0,13.0,13.0,4.5,16.0,8.0,2.0,7.5
32,P,33.0,9.0,12.0,9.5,4.0,15.0,7.0,2.0,8.0
33,P,34.0,11.5,12.0,8.0,4.0,11.0,7.0,2.0,8.0
34,P,35.0,9.5,13.0,8.0,4.0,11.0,11.0,2.0,7.0
35,P,36.0,12.0,9.0,9.0,4.0,11.0,11.0,3.0,10.0
36,N,37.0,13.0,15.0,11.0,6.0,8.5,12.0,2.0,7.0
37,P,38.0,13.5,12.0,13.0,6.0,10.0,10.0,2.0,10.0
38,N,39.0,15.0,7.0,16.0,4.0,6.0,11.0,2.0,8.0
39,P,40.0,15.5,7.0,18.0,3.0,10.0,11.0,2.0,10.0
40,N,41.0,14.0,10.0,12.0,3.5,8.0,11.0,2.0,9.0
41,P,42.0,14.0,5.0,15.0,8.0,8.0,8.5,1.5,10.0
42,P,43.0,10.0,3.5,14.0,6.0,6.0,10.0,1.5,8.0
43,P,44.0,13.0,5.0,20.0,4.5,8.0,9.0,1.5,11.0
44,N,45.0,11.0,14.0,14.0,6.0,6.0,11.0,1.0,10.0
45,P,46.0,8.5,13.0,7.0,4.5,6.0,7.0,1.0,7.0
46,P,47.0,7.5,19.0,7.5,4.0,7.0,5.0,1.0,5.0
47,P,48.0,6.0,11.5,4.0,3.0,3.0,3.0,1.0,7.0
48,P,49.0,5.0,10.0,5.0,3.0,3.0,3.0,0.5,8.0
49,P,50.0,4.0,6.0,3.0,2.0,2.0,1.5,0.5,6.0
50,P,51.0,3.0,6.5,1.5,1.0,2.0,1.0,0.0,7.5
51,P,52.0,2.0,5.0,0.5,0.5,2.0,0.0,0.0,2.5
