,Contraceptive_method_used_cat,Wifes_age_num,Wifes_education_cat,Husbands_education_cat,Number_of_children_ever_born_num,Wifes_religion_cat,Wifes_now_working%3F_cat,Husbands_occupation_cat,Standard-of-living_index_cat,Media_exposure_cat
0,1,24,2,3,3,1,1,2,3,0
1,1,45,1,3,10,1,1,3,4,0
2,1,43,2,3,7,1,1,3,4,0
3,1,42,3,2,9,1,1,3,3,0
4,1,36,3,3,8,1,1,3,2,0
5,1,19,4,4,0,1,1,3,3,0
6,1,38,2,3,6,1,1,3,2,0
7,1,21,3,3,1,1,0,3,2,0
8,1,27,2,3,3,1,1,3,4,0
9,1,45,1,1,8,1,1,2,2,1
10,1,38,1,3,2,1,0,3,3,1
11,1,42,1,4,4,1,1,1,3,0
12,1,44,4,4,1,1,0,1,4,0
13,1,42,2,4,1,1,0,3,3,0
14,1,38,3,4,2,1,1,2,3,0
15,1,26,2,4,0,1,1,4,1,0
16,1,48,1,1,7,1,1,2,4,0
17,1,39,2,2,6,1,1,2,4,0
18,1,37,2,2,8,1,1,2,3,0
19,1,39,2,1,5,1,1,2,1,1
20,1,26,3,4,1,1,0,4,1,0
21,1,24,3,4,0,1,0,3,1,0
22,1,46,4,4,1,0,1,1,4,0
23,1,39,4,4,1,1,1,1,4,0
24,1,48,4,4,5,1,1,1,4,0
25,1,40,2,4,8,1,1,3,3,0
26,1,38,4,4,1,1,0,1,4,0
27,1,29,4,4,0,1,0,1,4,0
28,1,24,4,4,0,1,0,2,2,0
29,1,43,1,2,8,1,1,2,4,0
30,1,31,3,4,2,1,1,1,4,0
31,1,31,4,4,2,1,1,3,2,0
32,1,26,2,4,0,1,0,1,2,0
33,1,33,2,2,2,1,1,3,1,0
34,1,24,2,3,1,1,1,3,3,0
35,1,42,1,3,9,1,1,3,2,1
36,1,43,1,2,8,1,0,3,1,0
37,1,25,3,3,4,1,1,3,2,0
38,1,42,2,2,3,1,1,3,4,0
39,1,28,2,2,1,1,1,2,4,0
40,1,28,1,1,3,1,1,3,1,0
41,1,47,2,3,0,1,0,1,3,0
42,1,48,2,4,2,1,1,1,3,0
43,1,40,4,4,2,0,1,1,4,0
44,1,28,2,2,1,1,1,3,2,0
45,1,25,1,4,1,1,1,2,1,0
46,1,32,4,4,2,1,1,2,3,0
47,1,45,4,4,0,1,1,2,4,0
48,1,26,4,4,1,1,1,1,4,0
49,1,26,4,4,0,1,0,1,4,0
50,1,31,4,4,0,1,0,1,4,0
51,1,49,4,4,7,0,1,2,4,0
52,1,40,3,4,8,1,1,3,3,0
53,1,34,4,4,1,0,0,2,3,0
54,1,36,2,4,5,1,1,2,3,0
55,1,20,2,2,2,1,1,2,2,1
56,1,43,4,4,5,1,0,1,4,0
57,1,37,3,4,7,1,1,2,1,0
58,1,21,2,3,0,1,1,3,4,0
59,1,49,4,4,6,1,1,1,2,0
60,1,42,3,3,10,1,1,3,3,0
61,1,20,2,3,1,1,1,2,3,0
62,1,47,1,2,2,1,0,1,3,0
63,1,22,2,3,1,1,1,2,1,0
64,1,27,2,4,1,1,0,1,3,0
65,1,24,2,4,1,1,1,3,1,0
66,1,44,4,2,8,1,1,3,3,0
67,1,30,2,3,3,1,1,3,1,0
68,1,23,3,4,2,1,1,3,4,0
69,1,25,4,4,1,1,0,3,3,0
70,1,47,2,3,4,1,1,2,3,0
71,1,48,2,3,8,1,1,1,4,0
72,1,29,2,3,1,1,1,1,1,0
73,1,29,2,3,1,1,1,1,2,0
74,1,21,3,4,0,1,1,2,3,0
75,1,21,3,4,1,1,1,2,3,0
76,1,29,4,4,0,1,0,2,4,0
77,1,45,3,4,3,1,1,1,4,0
78,1,33,2,3,2,1,1,3,2,0
79,1,38,4,4,1,1,0,1,4,0
80,1,24,4,4,0,0,1,1,4,0
81,1,49,4,4,6,0,0,1,4,0
82,1,24,2,4,1,1,0,4,4,0
83,1,28,4,4,0,0,0,1,4,0
84,1,30,4,4,2,1,1,1,4,0
85,1,33,4,4,2,1,1,1,4,0
86,1,25,4,4,1,1,1,1,3,0
87,1,35,4,4,3,0,1,1,4,0
88,1,27,2,4,4,1,1,1,4,0
89,1,24,2,2,3,1,0,2,1,0
90,1,25,2,3,0,1,1,2,1,0
91,1,46,2,4,6,1,1,1,4,0
92,1,26,2,2,3,1,1,2,1,0
93,1,38,2,2,1,1,0,3,2,0
94,1,47,1,2,3,1,1,1,3,0
95,1,41,1,3,10,1,1,2,3,1
96,1,41,2,3,1,1,0,2,3,0
97,1,28,4,4,5,1,1,2,1,0
98,1,17,2,2,3,1,1,3,1,0
99,1,27,2,3,5,1,1,2,1,0
100,1,27,1,2,4,1,1,3,1,1
101,1,19,2,3,0,1,0,2,2,0
102,1,27,2,4,3,1,0,3,2,0
103,1,26,4,3,4,1,1,2,3,0
104,1,23,2,4,2,1,1,3,3,0
105,1,40,3,3,3,1,1,3,2,0
106,1,22,4,4,0,1,1,1,1,0
107,1,44,3,4,4,1,0,1,3,0
108,1,29,2,3,2,1,1,3,1,0
109,1,26,2,3,3,1,1,3,1,0
110,1,45,4,4,1,1,0,3,3,0
111,1,32,3,3,7,1,0,2,3,0
112,1,21,4,4,1,1,1,1,4,0
113,1,31,2,2,4,1,1,3,3,0
114,1,21,3,4,0,1,1,1,3,0
115,1,37,4,4,1,1,1,1,4,0
116,1,34,4,4,3,0,0,3,3,0
117,1,44,3,4,1,1,1,1,3,0
118,1,49,4,3,5,1,1,2,3,0
119,1,26,2,3,2,1,1,3,3,0
120,1,38,1,2,1,1,1,2,4,1
121,1,36,2,3,5,1,1,2,3,0
122,1,26,3,4,2,1,1,3,3,0
123,1,20,2,3,1,0,1,3,2,0
124,1,44,2,1,3,1,0,3,2,0
125,1,31,3,4,2,1,1,1,2,1
126,1,45,4,4,1,1,1,1,3,0
127,1,36,2,3,2,1,1,3,2,1
128,1,43,1,3,2,1,0,2,2,1
129,1,25,3,4,0,1,1,1,3,0
130,1,48,3,4,3,1,1,3,1,0
131,1,30,4,4,0,0,0,1,3,0
132,1,48,1,2,8,1,1,3,1,0
133,1,28,3,4,1,1,1,3,1,1
134,1,26,4,4,1,1,1,1,3,0
135,1,26,3,3,3,1,0,2,4,0
136,1,24,4,4,2,1,1,3,3,0
137,1,21,3,3,2,1,1,2,2,0
138,1,30,4,4,2,0,1,3,1,0
139,1,20,4,4,1,1,1,1,4,0
140,1,33,4,4,2,1,1,1,3,0
141,1,30,4,4,0,0,0,3,3,0
142,1,47,4,4,1,1,0,1,3,0
143,1,35,4,4,2,0,1,3,3,0
144,1,30,2,4,2,1,1,3,4,0
145,1,33,4,4,3,1,1,1,4,0
146,1,45,4,4,4,1,1,2,3,0
