,Wifes_education_cat,Media_exposure_cat,Wifes_now_working%3F_cat,Number_of_children_ever_born_num,Contraceptive_method_used_cat
0,2,0,1,3,1
1,1,0,1,10,1
2,2,0,1,7,1
3,3,0,1,9,1
4,3,0,1,8,1
5,4,0,1,0,1
6,2,0,1,6,1
7,3,0,0,1,1
8,2,0,1,3,1
9,1,1,1,8,1
10,1,1,0,2,1
11,1,0,1,4,1
12,4,0,0,1,1
13,2,0,0,1,1
14,3,0,1,2,1
15,2,0,1,0,1
16,1,0,1,7,1
17,2,0,1,6,1
18,2,0,1,8,1
19,2,1,1,5,1
20,3,0,0,1,1
21,3,0,0,0,1
22,4,0,1,1,1
23,4,0,1,1,1
24,4,0,1,5,1
25,2,0,1,8,1
26,4,0,0,1,1
27,4,0,0,0,1
28,4,0,0,0,1
29,1,0,1,8,1
30,3,0,1,2,1
31,4,0,1,2,1
32,2,0,0,0,1
33,2,0,1,2,1
34,2,0,1,1,1
35,1,1,1,9,1
36,1,0,0,8,1
37,3,0,1,4,1
38,2,0,1,3,1
39,2,0,1,1,1
40,1,0,1,3,1
41,2,0,0,0,1
42,2,0,1,2,1
43,4,0,1,2,1
44,2,0,1,1,1
45,1,0,1,1,1
46,4,0,1,2,1
47,4,0,1,0,1
48,4,0,1,1,1
49,4,0,0,0,1
50,4,0,0,0,1
51,4,0,1,7,1
52,3,0,1,8,1
53,4,0,0,1,1
54,2,0,1,5,1
55,2,1,1,2,1
56,4,0,0,5,1
57,3,0,1,7,1
58,2,0,1,0,1
59,4,0,1,6,1
60,3,0,1,10,1
61,2,0,1,1,1
62,1,0,0,2,1
63,2,0,1,1,1
64,2,0,0,1,1
65,2,0,1,1,1
66,4,0,1,8,1
67,2,0,1,3,1
68,3,0,1,2,1
69,4,0,0,1,1
70,2,0,1,4,1
71,2,0,1,8,1
72,2,0,1,1,1
73,2,0,1,1,1
74,3,0,1,0,1
75,3,0,1,1,1
76,4,0,0,0,1
77,3,0,1,3,1
78,2,0,1,2,1
79,4,0,0,1,1
80,4,0,1,0,1
81,4,0,0,6,1
82,2,0,0,1,1
83,4,0,0,0,1
