,Number_of_children_ever_born_num,Wifes_age_num,Wifes_religion_cat,Contraceptive_method_used_cat,Husbands_occupation_cat
0,3,24,1,1,2
1,10,45,1,1,3
2,7,43,1,1,3
3,9,42,1,1,3
4,8,36,1,1,3
5,0,19,1,1,3
6,6,38,1,1,3
7,1,21,1,1,3
8,3,27,1,1,3
9,8,45,1,1,2
10,2,38,1,1,3
11,4,42,1,1,1
12,1,44,1,1,1
13,1,42,1,1,3
14,2,38,1,1,2
15,0,26,1,1,4
16,7,48,1,1,2
17,6,39,1,1,2
18,8,37,1,1,2
19,5,39,1,1,2
20,1,26,1,1,4
21,0,24,1,1,3
22,1,46,0,1,1
23,1,39,1,1,1
24,5,48,1,1,1
25,8,40,1,1,3
26,1,38,1,1,1
27,0,29,1,1,1
28,0,24,1,1,2
29,8,43,1,1,2
30,2,31,1,1,1
31,2,31,1,1,3
32,0,26,1,1,1
33,2,33,1,1,3
34,1,24,1,1,3
35,9,42,1,1,3
36,8,43,1,1,3
37,4,25,1,1,3
38,3,42,1,1,3
39,1,28,1,1,2
40,3,28,1,1,3
41,0,47,1,1,1
42,2,48,1,1,1
43,2,40,0,1,1
44,1,28,1,1,3
45,1,25,1,1,2
46,2,32,1,1,2
47,0,45,1,1,2
48,1,26,1,1,1
49,0,26,1,1,1
50,0,31,1,1,1
51,7,49,0,1,2
52,8,40,1,1,3
53,1,34,0,1,2
54,5,36,1,1,2
55,2,20,1,1,2
56,5,43,1,1,1
57,7,37,1,1,2
58,0,21,1,1,3
59,6,49,1,1,1
60,10,42,1,1,3
61,1,20,1,1,2
62,2,47,1,1,1
63,1,22,1,1,2
64,1,27,1,1,1
65,1,24,1,1,3
66,8,44,1,1,3
67,3,30,1,1,3
68,2,23,1,1,3
69,1,25,1,1,3
70,4,47,1,1,2
71,8,48,1,1,1
72,1,29,1,1,1
73,1,29,1,1,1
74,0,21,1,1,2
75,1,21,1,1,2
76,0,29,1,1,2
77,3,45,1,1,1
78,2,33,1,1,3
79,1,38,1,1,1
80,0,24,0,1,1
81,6,49,0,1,1
82,1,24,1,1,4
83,0,28,0,1,1
84,2,30,1,1,1
85,2,33,1,1,1
86,1,25,1,1,1
87,3,35,0,1,1
88,4,27,1,1,1
89,3,24,1,1,2
90,0,25,1,1,2
91,6,46,1,1,1
92,3,26,1,1,2
93,1,38,1,1,3
94,3,47,1,1,1
95,10,41,1,1,2
96,1,41,1,1,2
97,5,28,1,1,2
98,3,17,1,1,3
99,5,27,1,1,2
100,4,27,1,1,3
101,0,19,1,1,2
102,3,27,1,1,3
103,4,26,1,1,2
104,2,23,1,1,3
105,3,40,1,1,3
106,0,22,1,1,1
107,4,44,1,1,1
108,2,29,1,1,3
109,3,26,1,1,3
110,1,45,1,1,3
111,7,32,1,1,2
112,1,21,1,1,1
113,4,31,1,1,3
114,0,21,1,1,1
115,1,37,1,1,1
116,3,34,0,1,3
117,1,44,1,1,1
118,5,49,1,1,2
119,2,26,1,1,3
120,1,38,1,1,2
121,5,36,1,1,2
122,2,26,1,1,3
123,1,20,0,1,3
124,3,44,1,1,3
125,2,31,1,1,1
126,1,45,1,1,1
127,2,36,1,1,3
128,2,43,1,1,2
129,0,25,1,1,1
130,3,48,1,1,3
131,0,30,0,1,1
132,8,48,1,1,3
133,1,28,1,1,3
134,1,26,1,1,1
135,3,26,1,1,2
136,2,24,1,1,3
137,2,21,1,1,2
138,2,30,0,1,3
139,1,20,1,1,1
140,2,33,1,1,1
141,0,30,0,1,3
142,1,47,1,1,1
143,2,35,0,1,3
144,2,30,1,1,3
145,3,33,1,1,1
146,4,45,1,1,2
147,2,41,1,1,1
148,1,32,1,1,1
149,5,43,1,1,1
150,3,44,1,1,2
151,4,21,1,1,3
152,2,44,1,1,1
153,2,23,1,1,2
154,4,47,1,1,2
155,7,47,1,1,2
156,2,35,1,1,2
157,4,32,1,1,3
158,5,45,1,1,1
159,2,22,1,1,3
160,3,23,1,1,2
161,0,30,1,1,1
162,0,44,1,1,2
163,1,40,1,1,3
164,4,34,1,1,2
165,1,37,1,1,2
166,5,49,1,1,1
167,1,26,1,1,1
168,0,22,1,1,2
169,0,20,1,1,2
170,4,47,1,1,1
171,8,49,1,1,3
172,1,22,1,1,2
173,2,22,1,1,3
174,2,25,1,1,3
175,0,32,1,1,3
176,0,28,0,1,1
177,4,30,1,1,1
178,2,45,1,1,2
179,10,49,1,1,2
180,2,34,1,1,1
181,1,25,1,1,2
182,12,42,1,1,3
183,3,48,1,1,4
184,5,35,1,1,2
185,1,33,1,1,3
186,0,20,1,1,3
187,4,36,1,1,3
188,2,19,1,1,3
189,3,27,1,1,3
190,4,30,1,1,4
191,3,31,1,1,3
192,11,44,1,1,4
193,2,24,1,1,3
194,0,18,1,1,3
195,6,45,1,1,3
196,3,25,1,1,3
197,6,36,1,1,2
198,5,30,1,1,2
199,2,32,1,1,3
200,11,42,0,1,2
201,0,22,1,1,3
202,2,36,1,1,2
203,2,27,1,1,3
204,1,40,1,1,1
205,2,22,1,1,3
206,0,26,1,1,3
207,0,31,1,1,2
208,1,32,1,1,1
209,3,34,1,1,3
210,1,40,0,1,3
211,1,45,1,1,3
212,3,26,1,1,3
213,5,48,1,1,3
214,8,43,1,1,3
215,2,27,1,1,2
216,1,42,1,1,3
217,8,34,1,1,2
218,4,32,1,1,2
219,2,31,1,1,2
220,1,22,1,1,3
221,0,27,1,1,3
222,2,37,1,1,2
223,0,22,1,1,2
224,4,47,1,1,1
225,4,32,1,1,1
226,2,37,1,1,1
227,1,45,1,1,2
228,8,47,1,1,3
229,0,28,1,1,3
230,4,48,1,1,3
231,1,26,1,1,1
232,0,21,1,1,3
233,1,20,1,1,2
234,5,39,1,1,3
235,1,27,1,1,3
236,5,37,1,1,3
237,1,24,1,1,3
238,6,39,1,1,3
239,1,20,1,1,2
240,1,19,1,1,2
241,4,40,1,1,2
242,4,41,1,1,3
243,2,22,1,1,1
244,4,32,1,1,1
245,2,34,0,1,1
246,2,34,1,1,1
247,2,23,1,1,1
248,1,27,1,1,1
249,11,46,1,1,2
250,3,34,0,1,1
251,5,33,1,1,3
252,1,25,1,1,3
253,1,26,1,1,1
254,4,48,1,1,3
255,2,36,1,1,3
256,2,38,0,1,2
257,7,44,1,1,3
258,1,44,1,1,3
259,1,39,0,1,3
260,7,47,1,1,3
261,5,43,1,1,3
262,3,29,1,1,2
263,0,22,1,1,2
264,5,31,1,1,3
265,0,22,1,1,1
266,6,45,1,1,2
267,10,42,1,1,3
268,7,38,1,1,3
269,6,47,1,1,3
270,2,30,1,1,1
271,1,28,1,1,3
272,1,25,1,1,2
273,6,49,0,1,2
274,2,23,1,1,2
275,1,35,0,1,2
276,5,47,0,1,2
277,0,35,1,1,2
278,6,44,1,1,3
279,3,48,1,1,2
280,6,43,1,1,3
281,2,21,1,1,3
282,0,22,1,1,1
283,5,41,1,1,3
284,2,29,1,1,4
285,5,44,0,1,2
286,0,22,1,1,1
287,4,23,1,1,3
288,0,22,1,1,3
289,0,35,1,1,2
290,1,24,1,1,2
291,4,36,1,1,1
292,2,47,1,1,2
293,3,40,1,1,3
294,1,29,1,1,1
295,6,49,1,1,1
296,9,49,1,1,1
297,2,47,1,1,1
298,3,28,0,1,1
299,1,26,1,1,1
300,7,29,1,1,2
301,0,29,1,1,2
302,1,25,1,1,3
303,2,24,1,1,3
304,1,23,1,1,2
305,2,23,1,1,3
306,2,44,1,1,2
307,6,39,1,1,1
308,0,21,1,1,2
309,2,22,1,1,2
310,3,47,1,1,2
311,2,36,1,1,2
312,2,25,1,1,3
313,2,40,1,1,3
314,0,36,0,1,3
315,5,37,0,1,2
316,2,28,1,1,2
317,5,30,1,1,3
318,1,16,1,1,3
319,4,32,0,1,2
320,3,40,0,1,3
321,2,40,1,1,3
322,2,45,0,1,1
323,0,21,1,1,3
324,1,28,0,1,1
325,1,25,0,1,2
326,4,44,1,1,3
327,2,35,0,1,3
328,4,49,1,1,3
329,1,39,0,1,3
330,1,32,0,1,2
331,0,35,1,1,4
332,1,21,1,1,3
333,1,47,0,1,1
334,1,27,0,1,3
335,8,31,1,1,2
336,0,34,0,1,3
337,3,30,1,1,2
338,0,25,1,1,2
339,3,28,1,1,2
340,4,30,1,1,3
341,8,42,1,1,4
342,0,23,0,1,2
343,3,45,0,1,3
344,1,21,1,1,3
345,1,28,0,1,2
346,1,33,0,1,3
347,4,32,1,1,3
348,3,25,1,1,3
349,1,25,1,1,3
350,2,19,1,1,3
351,6,40,1,1,3
352,2,24,1,1,3
353,1,32,1,1,2
354,8,35,1,1,3
355,1,27,1,1,3
356,2,23,1,1,1
357,4,22,1,1,3
358,0,49,1,1,1
359,0,25,1,1,2
360,1,18,1,1,3
361,4,43,1,1,2
362,0,37,1,1,3
363,2,30,1,1,2
364,0,29,1,1,2
365,3,20,1,1,3
366,3,42,1,1,2
367,1,23,1,1,2
368,7,34,1,1,3
369,6,23,1,1,3
370,5,38,1,1,1
371,4,37,1,1,2
372,1,17,1,1,3
373,3,39,1,1,1
374,0,49,1,1,3
375,2,23,1,1,2
376,3,40,1,1,2
377,5,32,1,1,2
378,1,18,1,1,2
379,8,46,1,1,3
380,6,37,1,1,2
381,5,38,0,1,2
382,2,37,0,1,3
383,1,25,1,1,2
384,5,38,1,1,3
385,2,39,1,1,1
386,3,44,1,1,1
387,0,19,0,1,3
388,1,28,1,1,3
389,1,20,1,1,3
390,0,33,1,1,3
391,5,33,1,1,3
392,6,47,1,1,1
393,0,25,1,1,3
394,0,29,1,1,2
395,2,37,0,1,1
396,6,49,1,1,2
397,8,48,1,1,2
398,0,19,1,1,2
399,3,46,1,1,2
400,2,39,1,1,3
401,5,30,1,1,1
402,8,40,1,1,2
403,1,43,1,1,3
404,4,29,1,1,1
405,2,23,1,1,3
406,3,24,1,1,2
407,2,47,1,1,2
408,2,35,1,1,2
409,1,19,1,1,2
410,4,45,1,1,2
411,2,42,1,1,3
412,1,47,1,1,3
413,2,25,1,1,3
414,3,20,1,1,3
415,6,33,1,2,3
416,5,46,1,2,1
417,4,35,1,2,1
418,2,26,1,2,1
419,5,36,1,2,1
