,MOSTYPE_num,MAANTHUI_num,MGEMOMV_num,MGEMLEEF_num,MOSHOOFD_num,MGODRK_num,MGODPR_num,MGODOV_num,MGODGE_num,MRELGE_num,MRELSA_num,MRELOV_num,MFALLEEN_num,MFGEKIND_num,MFWEKIND_num,MOPLHOOG_num,MOPLMIDD_num,MOPLLAAG_num,MBERHOOG_num,MBERZELF_num,MBERBOER_num,MBERMIDD_num,MBERARBG_num,MBERARBO_num,MSKA_num,MSKB1_num,MSKB2_num,MSKC_num,MSKD_num,MHHUUR_num,MHKOOP_num,MAUT1_num,MAUT2_num,MAUT0_num,MZFONDS_num,MZPART_num,MINKM30_num,MINK3045_num,MINK4575_num,MINK7512_num,MINK123M_num,MINKGEM_num,MKOOPKLA_num,PWAPART_num,PWABEDR_num,PWALAND_num,PPERSAUT_num,PBESAUT_num,PMOTSCO_num,PVRAAUT_num,PAANHANG_num,PTRACTOR_num,PWERKT_num,PBROM_num,PLEVEN_num,PPERSONG_num,PGEZONG_num,PWAOREG_num,PBRAND_num,PZEILPL_num,PPLEZIER_num,PFIETS_num,PINBOED_num,PBYSTAND_num,AWAPART_num,AWABEDR_num,AWALAND_num,APERSAUT_num,ABESAUT_num,AMOTSCO_num,AVRAAUT_num,AAANHANG_num,ATRACTOR_num,AWERKT_num,ABROM_num,ALEVEN_num,APERSONG_num,AGEZONG_num,AWAOREG_num,ABRAND_num,AZEILPL_num,APLEZIER_num,AFIETS_num,AINBOED_num,ABYSTAND_num,CARAVAN_num
0,33.0,1.0,3.0,2.0,8.0,0.0,5.0,1.0,3.0,7.0,0.0,2.0,1.0,2.0,6.0,1.0,2.0,7.0,1.0,0.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,8.0,8.0,0.0,1.0,8.0,1.0,0.0,4.0,5.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,37.0,1.0,2.0,2.0,8.0,1.0,4.0,1.0,4.0,6.0,2.0,2.0,0.0,4.0,5.0,0.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,2.0,3.0,5.0,0.0,2.0,7.0,7.0,1.0,2.0,6.0,3.0,2.0,0.0,5.0,2.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,37.0,1.0,2.0,2.0,8.0,0.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,7.0,2.0,7.0,0.0,2.0,9.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,0.0,0.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,0.0,5.0,4.0,9.0,0.0,0.0,7.0,2.0,1.0,5.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,40.0,1.0,4.0,2.0,10.0,1.0,4.0,1.0,4.0,7.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,2.0,1.0,5.0,4.0,0.0,0.0,9.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,23.0,1.0,2.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,6.0,3.0,3.0,5.0,2.0,0.0,5.0,4.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,9.0,0.0,5.0,3.0,3.0,9.0,0.0,5.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,39.0,2.0,3.0,2.0,9.0,2.0,2.0,0.0,5.0,7.0,2.0,0.0,0.0,3.0,6.0,0.0,4.0,5.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,1.0,4.0,5.0,0.0,6.0,3.0,8.0,0.0,1.0,9.0,0.0,4.0,3.0,3.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,33.0,1.0,2.0,3.0,8.0,0.0,7.0,0.0,2.0,7.0,2.0,0.0,0.0,5.0,4.0,0.0,3.0,6.0,2.0,0.0,0.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,2.0,0.0,9.0,4.0,4.0,2.0,6.0,3.0,2.0,5.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,33.0,1.0,2.0,4.0,8.0,0.0,1.0,3.0,6.0,6.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,8.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,0.0,8.0,1.0,9.0,0.0,5.0,2.0,3.0,7.0,2.0,7.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,11.0,2.0,3.0,3.0,3.0,3.0,5.0,0.0,2.0,7.0,0.0,2.0,2.0,2.0,6.0,0.0,4.0,5.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,0.0,9.0,6.0,1.0,2.0,6.0,3.0,2.0,3.0,3.0,1.0,0.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
