,surgery_cat,Age_cat,rectal_temperature_num,pulse_num,respiratory_rate_num,temp_extremities_cat,peripheral_pulse_cat,mucous_membranes_cat,capillary_refill_time_cat,pain_cat,peristalsis_cat,abdominal_distension_cat,nasogastric_tube_cat,nasogastric_reflux_cat,nasogastric_reflux_PH_num,rectal_examination_cat,abdomen_cat,packed_cell_volume_num,total_protein_num,abdominocentesis_appearance_cat,abdomcentesis_total_protein_num,outcome_cat,surgical_lesion_cat
0,no,adult,38.5,66.0,28.0,cool,reduced,,>=3,continuous severe pain,absent,severe,,,,decreased,distended large intestine,45.0,8.4,,,died,no
1,yes,adult,39.2,88.0,20.0,,,pale cyanotic,<3,intermittent mild pain,absent,slight,,,,absent,other,50.0,85.0,cloudy,2.0,euthanized,no
2,no,adult,38.3,40.0,24.0,normal,normal,pale pink,<3,intermittent mild pain,hypomotile,none,,,,normal,normal,33.0,6.7,,,lived,no
3,yes,young,39.1,164.0,84.0,cold,normal,dark cyanotic,>=3,depressed,absent,severe,none,>1l,5.0,decreased,,48.0,7.2,serosanguinous,5.3,died,yes
4,no,adult,37.3,104.0,35.0,,,dark cyanotic,>=3,,,,,,,,,74.0,7.4,,,died,no
5,no,adult,,,,warm,normal,pale pink,<3,depressed,hypomotile,slight,slight,none,,decreased,firm feces in large intestine,,,,,lived,no
6,yes,adult,37.9,48.0,16.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,none,none,,decreased,distended large intestine,37.0,7.0,,,lived,yes
7,yes,adult,,60.0,,cool,,,<3,,absent,slight,slight,none,,decreased,distended small intestine,44.0,8.3,,,died,yes
8,no,adult,,80.0,36.0,cool,absent,pale pink,<3,intermittent severe pain,absent,severe,slight,none,,decreased,distended large intestine,38.0,6.2,,,euthanized,yes
9,no,young,38.3,90.0,,normal,,normal pink,<3,continuous severe pain,hypomotile,none,slight,none,,decreased,,40.0,6.2,clear,2.2,lived,no
10,yes,adult,38.1,66.0,12.0,cool,reduced,bright red,<3,intermittent mild pain,hypomotile,none,slight,none,3.0,increased,distended large intestine,44.0,6.0,cloudy,3.6,lived,yes
11,no,adult,39.1,72.0,52.0,warm,,bright pink,<3,depressed,hypermotile,slight,none,none,,absent,distended small intestine,50.0,7.8,,,lived,yes
12,yes,adult,37.2,42.0,12.0,warm,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,significant,none,,absent,distended large intestine,,7.0,,,lived,no
13,no,young,38.0,92.0,28.0,normal,normal,bright pink,<3,alert no pain,hypomotile,slight,significant,,7.2,normal,normal,37.0,6.1,clear,,died,no
14,yes,adult,38.2,76.0,28.0,cool,normal,normal pink,<3,intermittent mild pain,absent,none,slight,>1l,,absent,distended small intestine,46.0,81.0,clear,2.0,lived,yes
15,yes,adult,37.6,96.0,48.0,cool,normal,pale cyanotic,<3,continuous severe pain,hypomotile,moderate,slight,<1l,4.5,absent,,45.0,6.8,,,died,yes
16,yes,young,,128.0,36.0,cool,reduced,pale cyanotic,>=3,intermittent severe pain,absent,moderate,significant,,,absent,distended large intestine,53.0,7.8,serosanguinous,4.7,died,no
17,no,adult,37.5,48.0,24.0,,,,,,,,,,,,,,,,,lived,no
18,yes,adult,37.6,64.0,21.0,normal,normal,bright pink,<3,depressed,hypomotile,none,none,none,,increased,distended large intestine,40.0,7.0,clear,,lived,yes
19,no,adult,39.4,110.0,35.0,cold,reduced,dark cyanotic,,,hypomotile,moderate,,,,,,55.0,8.7,,,lived,no
20,yes,adult,39.9,72.0,60.0,normal,normal,bright red,>=3,continuous severe pain,absent,severe,significant,none,,absent,distended small intestine,46.0,6.1,cloudy,,lived,yes
21,no,adult,38.4,48.0,16.0,normal,,normal pink,<3,alert no pain,hypomotile,none,slight,<1l,5.5,absent,firm feces in large intestine,49.0,6.8,,,lived,no
22,yes,adult,38.6,42.0,34.0,warm,normal,pale cyanotic,,depressed,hypomotile,none,,,,normal,,48.0,7.2,,,lived,yes
23,yes,young,38.3,130.0,60.0,,reduced,,<3,depressed,absent,,,,,,,50.0,70.0,,,lived,yes
