,abdominocentesis_appearance_cat,abdomen_cat,rectal_temperature_num,nasogastric_tube_cat,total_protein_num,rectal_examination_cat,pain_cat,pulse_num,Age_cat,packed_cell_volume_num,temp_extremities_cat,peripheral_pulse_cat
0,,distended large intestine,38.5,,8.4,decreased,continuous severe pain,66.0,adult,45.0,cool,reduced
1,cloudy,other,39.2,,85.0,absent,intermittent mild pain,88.0,adult,50.0,,
2,,normal,38.3,,6.7,normal,intermittent mild pain,40.0,adult,33.0,normal,normal
3,serosanguinous,,39.1,none,7.2,decreased,depressed,164.0,young,48.0,cold,normal
4,,,37.3,,7.4,,,104.0,adult,74.0,,
5,,firm feces in large intestine,,slight,,decreased,depressed,,adult,,warm,normal
6,,distended large intestine,37.9,none,7.0,decreased,intermittent mild pain,48.0,adult,37.0,normal,normal
7,,distended small intestine,,slight,8.3,decreased,,60.0,adult,44.0,cool,
8,,distended large intestine,,slight,6.2,decreased,intermittent severe pain,80.0,adult,38.0,cool,absent
9,clear,,38.3,slight,6.2,decreased,continuous severe pain,90.0,young,40.0,normal,
10,cloudy,distended large intestine,38.1,slight,6.0,increased,intermittent mild pain,66.0,adult,44.0,cool,reduced
11,,distended small intestine,39.1,none,7.8,absent,depressed,72.0,adult,50.0,warm,
12,,distended large intestine,37.2,significant,7.0,absent,intermittent mild pain,42.0,adult,,warm,normal
13,clear,normal,38.0,significant,6.1,normal,alert no pain,92.0,young,37.0,normal,normal
14,clear,distended small intestine,38.2,slight,81.0,absent,intermittent mild pain,76.0,adult,46.0,cool,normal
15,,,37.6,slight,6.8,absent,continuous severe pain,96.0,adult,45.0,cool,normal
16,serosanguinous,distended large intestine,,significant,7.8,absent,intermittent severe pain,128.0,young,53.0,cool,reduced
17,,,37.5,,,,,48.0,adult,,,
18,clear,distended large intestine,37.6,none,7.0,increased,depressed,64.0,adult,40.0,normal,normal
19,,,39.4,,8.7,,,110.0,adult,55.0,cold,reduced
20,cloudy,distended small intestine,39.9,significant,6.1,absent,continuous severe pain,72.0,adult,46.0,normal,normal
21,,firm feces in large intestine,38.4,slight,6.8,absent,alert no pain,48.0,adult,49.0,normal,
22,,,38.6,,7.2,normal,depressed,42.0,adult,48.0,warm,normal
23,,,38.3,,70.0,,depressed,130.0,young,50.0,,reduced
24,,,38.1,significant,65.0,,,60.0,adult,51.0,cool,reduced
25,,,37.8,,,,,60.0,adult,,,
26,cloudy,distended large intestine,38.3,slight,7.0,decreased,intermittent mild pain,72.0,adult,43.0,cold,reduced
27,cloudy,firm feces in large intestine,37.8,none,5.5,normal,,48.0,adult,37.0,cool,normal
28,,,,,,,,,adult,,,
29,,,37.7,none,76.0,,alert no pain,48.0,adult,45.0,warm,normal
30,,distended large intestine,37.7,significant,7.5,absent,continuous severe pain,96.0,adult,66.0,cool,reduced
31,serosanguinous,firm feces in large intestine,37.2,,8.2,decreased,depressed,108.0,adult,52.0,cool,reduced
32,,distended large intestine,37.2,slight,6.6,absent,intermittent mild pain,60.0,adult,43.0,warm,normal
33,cloudy,distended small intestine,38.2,,8.6,absent,intermittent mild pain,64.0,adult,49.0,normal,normal
34,,distended small intestine,,significant,6.6,absent,continuous severe pain,100.0,adult,52.0,cool,reduced
35,,other,,,8.4,,intermittent severe pain,104.0,adult,73.0,cold,reduced
36,cloudy,distended large intestine,38.3,none,6.0,,,112.0,adult,51.0,,reduced
37,clear,normal,37.8,,80.0,normal,continuous severe pain,72.0,adult,56.0,,reduced
38,clear,firm feces in large intestine,38.6,none,6.6,normal,intermittent mild pain,52.0,adult,32.0,normal,normal
39,,,39.2,,,,,146.0,young,,,
40,serosanguinous,distended large intestine,,none,6.5,absent,continuous severe pain,88.0,adult,63.0,cool,reduced
41,,,39.0,,8.5,,,150.0,young,47.0,,
42,,other,38.0,none,7.0,increased,intermittent mild pain,60.0,adult,47.0,cool,normal
43,cloudy,distended large intestine,,none,67.0,,intermittent severe pain,120.0,adult,52.0,cool,absent
44,serosanguinous,distended large intestine,35.4,slight,69.0,,intermittent severe pain,140.0,adult,57.0,cool,reduced
45,serosanguinous,distended large intestine,,none,6.5,absent,continuous severe pain,120.0,adult,60.0,cold,reduced
46,,distended large intestine,37.9,slight,7.5,absent,continuous severe pain,60.0,adult,65.0,cool,
