,abdominocentesis_appearance_cat,surgical_lesion_cat,abdomcentesis_total_protein_num,temp_extremities_cat,nasogastric_reflux_cat,rectal_examination_cat,rectal_temperature_num,abdominal_distension_cat,capillary_refill_time_cat,pulse_num,pain_cat,respiratory_rate_num
0,,no,,cool,,decreased,38.5,severe,>=3,66.0,continuous severe pain,28.0
1,cloudy,no,2.0,,,absent,39.2,slight,<3,88.0,intermittent mild pain,20.0
2,,no,,normal,,normal,38.3,none,<3,40.0,intermittent mild pain,24.0
3,serosanguinous,yes,5.3,cold,>1l,decreased,39.1,severe,>=3,164.0,depressed,84.0
4,,no,,,,,37.3,,>=3,104.0,,35.0
5,,no,,warm,none,decreased,,slight,<3,,depressed,
6,,yes,,normal,none,decreased,37.9,moderate,<3,48.0,intermittent mild pain,16.0
7,,yes,,cool,none,decreased,,slight,<3,60.0,,
8,,yes,,cool,none,decreased,,severe,<3,80.0,intermittent severe pain,36.0
9,clear,no,2.2,normal,none,decreased,38.3,none,<3,90.0,continuous severe pain,
10,cloudy,yes,3.6,cool,none,increased,38.1,none,<3,66.0,intermittent mild pain,12.0
11,,yes,,warm,none,absent,39.1,slight,<3,72.0,depressed,52.0
12,,no,,warm,none,absent,37.2,moderate,<3,42.0,intermittent mild pain,12.0
13,clear,no,,normal,,normal,38.0,slight,<3,92.0,alert no pain,28.0
14,clear,yes,2.0,cool,>1l,absent,38.2,none,<3,76.0,intermittent mild pain,28.0
15,,yes,,cool,<1l,absent,37.6,moderate,<3,96.0,continuous severe pain,48.0
16,serosanguinous,no,4.7,cool,,absent,,moderate,>=3,128.0,intermittent severe pain,36.0
17,,no,,,,,37.5,,,48.0,,24.0
18,clear,yes,,normal,none,increased,37.6,none,<3,64.0,depressed,21.0
19,,no,,cold,,,39.4,moderate,,110.0,,35.0
20,cloudy,yes,,normal,none,absent,39.9,severe,>=3,72.0,continuous severe pain,60.0
21,,no,,normal,<1l,absent,38.4,none,<3,48.0,alert no pain,16.0
22,,yes,,warm,,normal,38.6,none,,42.0,depressed,34.0
23,,yes,,,,,38.3,,<3,130.0,depressed,60.0
24,,yes,,cool,>1l,,38.1,moderate,<3,60.0,,12.0
25,,no,,,,,37.8,,<3,60.0,,42.0
26,cloudy,yes,3.9,cold,none,decreased,38.3,moderate,>=3,72.0,intermittent mild pain,30.0
27,cloudy,no,1.3,cool,none,normal,37.8,slight,<3,48.0,,12.0
28,,no,,,,,,,,,,
29,,no,,warm,none,,37.7,none,<3,48.0,alert no pain,
30,,yes,,cool,>1l,absent,37.7,severe,>=3,96.0,continuous severe pain,30.0
31,serosanguinous,yes,7.4,cool,<1l,decreased,37.2,slight,>=3,108.0,depressed,12.0
32,,yes,,warm,none,absent,37.2,moderate,<3,60.0,intermittent mild pain,
33,cloudy,yes,6.6,normal,,absent,38.2,,<3,64.0,intermittent mild pain,28.0
34,,yes,,cool,<1l,absent,,severe,>=3,100.0,continuous severe pain,30.0
35,,yes,,cold,<1l,,,moderate,>=3,104.0,intermittent severe pain,24.0
36,cloudy,no,1.0,,>1l,,38.3,none,>=3,112.0,,16.0
37,clear,yes,2.0,,none,normal,37.8,none,<3,72.0,continuous severe pain,
38,clear,no,5.0,normal,none,normal,38.6,slight,<3,52.0,intermittent mild pain,
39,,yes,,,,,39.2,,,146.0,,96.0
40,serosanguinous,yes,,cool,<1l,absent,,moderate,>=3,88.0,continuous severe pain,
41,,yes,0.1,,,,39.0,,,150.0,,72.0
42,,no,,cool,none,increased,38.0,none,<3,60.0,intermittent mild pain,12.0
43,cloudy,yes,2.0,cool,none,,,severe,<3,120.0,intermittent severe pain,
44,serosanguinous,yes,2.0,cool,none,,35.4,,>=3,140.0,intermittent severe pain,24.0
45,serosanguinous,yes,,cold,none,absent,,severe,>=3,120.0,continuous severe pain,
46,,yes,,cool,>1l,absent,37.9,severe,>=3,60.0,continuous severe pain,15.0
47,,no,,normal,none,normal,37.5,none,<3,48.0,alert no pain,16.0
48,serosanguinous,yes,,cool,>1l,decreased,38.9,moderate,>=3,80.0,depressed,44.0
49,cloudy,no,4.1,cool,>1l,increased,37.2,slight,>=3,84.0,intermittent severe pain,48.0
50,clear,no,1.6,normal,none,,38.6,slight,<3,46.0,alert no pain,
51,serosanguinous,yes,,normal,,absent,37.4,slight,>=3,84.0,intermittent mild pain,36.0
52,,no,,normal,,increased,,none,<3,,alert no pain,
53,,no,,,,,38.6,,<3,40.0,,20.0
54,serosanguinous,yes,4.5,cool,none,normal,40.3,moderate,>=3,114.0,depressed,36.0
55,cloudy,yes,,cool,,absent,38.6,severe,<3,160.0,intermittent mild pain,20.0
56,,yes,,,,,,,,,,
57,,yes,,warm,>1l,,,moderate,<3,64.0,continuous severe pain,36.0
58,serosanguinous,yes,,cold,,absent,,moderate,,,continuous severe pain,20.0
59,,yes,,cool,>1l,absent,,severe,>=3,96.0,continuous severe pain,
60,,no,,normal,none,absent,37.8,,<3,48.0,depressed,32.0
61,,no,,warm,none,normal,38.5,slight,<3,60.0,alert no pain,
62,clear,yes,6.0,warm,,absent,37.8,,<3,88.0,intermittent mild pain,22.0
