,O_num,ITEM_cat,P_num,N_num
0,641.2,BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,668.9,2100.4
1,502.6,JOBS_6_MONTHS_FROM_NOW,984.3,1920.2
2,658.5,FAMILY_INCOME_6_MONTHS_FROM_NOW,433.2,2329.1
3,147.9,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,132.6,219.3
4,45.9,JOBS_DURING_THE_COMING_12_MONTHS,290.7,168.3
5,270.3,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,91.8,142.8
6,647.7,BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,692.9,2110.1
7,511.9,JOBS_6_MONTHS_FROM_NOW,1051.6,1869.8
8,626.8,FAMILY_INCOME_6_MONTHS_FROM_NOW,497.9,2329.5
9,150.3,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,125.2,210.4
10,60.1,JOBS_DURING_THE_COMING_12_MONTHS,280.6,150.3
11,280.6,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,85.2,135.3
12,836.1,BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,563.4,2206.4
13,617.9,JOBS_6_MONTHS_FROM_NOW,952.4,2039.2
14,643.4,FAMILY_INCOME_6_MONTHS_FROM_NOW,428.9,2537.2
15,172.4,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,96.3,228.1
16,71.0,JOBS_DURING_THE_COMING_12_MONTHS,218.0,212.9
17,268.7,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,86.2,147.0
18,879.7,BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,394.5,2181.9
19,642.3,JOBS_6_MONTHS_FROM_NOW,733.1,2073.6
20,638.9,FAMILY_INCOME_6_MONTHS_FROM_NOW,422.4,2398.3
21,165.3,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,90.2,230.5
22,80.2,JOBS_DURING_THE_COMING_12_MONTHS,210.4,200.4
23,305.6,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,70.1,120.2
24,896.9,BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,339.0,2256.3
25,646.2,JOBS_6_MONTHS_FROM_NOW,663.8,2182.2
26,589.7,FAMILY_INCOME_6_MONTHS_FROM_NOW,349.6,2567.0
27,190.0,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,80.0,220.0
28,90.0,JOBS_DURING_THE_COMING_12_MONTHS,180.0,225.0
29,285.0,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,80.0,125.0
30,792.1,BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,329.2,2283.7
31,603.5,JOBS_6_MONTHS_FROM_NOW,678.9,2119.1
32,692.7,FAMILY_INCOME_6_MONTHS_FROM_NOW,370.3,2338.6
33,140.0,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,80.0,265.0
34,70.0,JOBS_DURING_THE_COMING_12_MONTHS,185.0,240.0
35,295.0,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,65.0,130.0
36,580.9,BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,418.2,2167.4
37,395.8,JOBS_6_MONTHS_FROM_NOW,740.5,2017.3
38,587.3,FAMILY_INCOME_6_MONTHS_FROM_NOW,383.0,2183.3
39,147.0,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,81.1,263.6
40,65.9,JOBS_DURING_THE_COMING_12_MONTHS,228.1,202.8
41,273.8,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,76.1,147.0
42,601.5,BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,494.4,2333.5
43,446.0,JOBS_6_MONTHS_FROM_NOW,847.0,2126.1
