,class_num,vendor_cat,MYCT_num,MMIN_num,MMAX_num,CACH_num,CHMIN_num,CHMAX_num
0,199.0,adviser,125.0,256.0,6000.0,256.0,16.0,128.0
1,253.0,amdahl,29.0,8000.0,32000.0,32.0,8.0,32.0
2,253.0,amdahl,29.0,8000.0,32000.0,32.0,8.0,32.0
3,253.0,amdahl,29.0,8000.0,32000.0,32.0,8.0,32.0
4,132.0,amdahl,29.0,8000.0,16000.0,32.0,8.0,16.0
5,290.0,amdahl,26.0,8000.0,32000.0,64.0,8.0,32.0
6,381.0,amdahl,23.0,16000.0,32000.0,64.0,16.0,32.0
7,381.0,amdahl,23.0,16000.0,32000.0,64.0,16.0,32.0
8,749.0,amdahl,23.0,16000.0,64000.0,64.0,16.0,32.0
9,1238.0,amdahl,23.0,32000.0,64000.0,128.0,32.0,64.0
10,23.0,apollo,400.0,1000.0,3000.0,0.0,1.0,2.0
11,24.0,apollo,400.0,512.0,3500.0,4.0,1.0,6.0
12,70.0,basf,60.0,2000.0,8000.0,65.0,1.0,8.0
13,117.0,basf,50.0,4000.0,16000.0,65.0,1.0,8.0
14,15.0,bti,350.0,64.0,64.0,0.0,1.0,4.0
15,64.0,bti,200.0,512.0,16000.0,0.0,4.0,32.0
16,23.0,burroughs,167.0,524.0,2000.0,8.0,4.0,15.0
17,29.0,burroughs,143.0,512.0,5000.0,0.0,7.0,32.0
18,22.0,burroughs,143.0,1000.0,2000.0,0.0,5.0,16.0
19,124.0,burroughs,110.0,5000.0,5000.0,142.0,8.0,64.0
20,35.0,burroughs,143.0,1500.0,6300.0,0.0,5.0,32.0
21,39.0,burroughs,143.0,3100.0,6200.0,0.0,5.0,20.0
22,40.0,burroughs,143.0,2300.0,6200.0,0.0,6.0,64.0
23,45.0,burroughs,110.0,3100.0,6200.0,0.0,6.0,64.0
24,28.0,c.r.d,320.0,128.0,6000.0,0.0,1.0,12.0
25,21.0,c.r.d,320.0,512.0,2000.0,4.0,1.0,3.0
26,28.0,c.r.d,320.0,256.0,6000.0,0.0,1.0,6.0
27,22.0,c.r.d,320.0,256.0,3000.0,4.0,1.0,3.0
28,28.0,c.r.d,320.0,512.0,5000.0,4.0,1.0,5.0
29,27.0,c.r.d,320.0,256.0,5000.0,4.0,1.0,6.0
30,102.0,cdc,25.0,1310.0,2620.0,131.0,12.0,24.0
31,102.0,cdc,25.0,1310.0,2620.0,131.0,12.0,24.0
32,74.0,cdc,50.0,2620.0,10480.0,30.0,12.0,24.0
33,74.0,cdc,50.0,2620.0,10480.0,30.0,12.0,24.0
34,138.0,cdc,56.0,5240.0,20970.0,30.0,12.0,24.0
35,136.0,cdc,64.0,5240.0,20970.0,30.0,12.0,24.0
36,23.0,cdc,50.0,500.0,2000.0,8.0,1.0,4.0
37,29.0,cdc,50.0,1000.0,4000.0,8.0,1.0,5.0
38,44.0,cdc,50.0,2000.0,8000.0,8.0,1.0,5.0
39,30.0,cambex,50.0,1000.0,4000.0,8.0,3.0,5.0
40,41.0,cambex,50.0,1000.0,8000.0,8.0,3.0,5.0
41,74.0,cambex,50.0,2000.0,16000.0,8.0,3.0,5.0
42,74.0,cambex,50.0,2000.0,16000.0,8.0,3.0,6.0
43,74.0,cambex,50.0,2000.0,16000.0,8.0,3.0,6.0
