,other_parties_cat,savings_status_cat,class_cat,other_payment_plans_cat,credit_history_cat,personal_status_cat,property_magnitude_cat,num_dependents_num,purpose_cat,credit_amount_num
0,none,no known savings,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,1169.0
1,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,5951.0
2,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,education,2096.0
3,guarantor,<100,good,none,existing paid,male single,life insurance,2.0,furniture/equipment,7882.0
4,none,<100,bad,none,delayed previously,male single,no known property,2.0,new car,4870.0
5,none,no known savings,good,none,existing paid,male single,no known property,2.0,education,9055.0
6,none,500<=X<1000,good,none,existing paid,male single,life insurance,1.0,furniture/equipment,2835.0
7,none,<100,good,none,existing paid,male single,car,1.0,used car,6948.0
8,none,>=1000,good,none,existing paid,male div/sep,real estate,1.0,radio/tv,3059.0
9,none,<100,bad,none,critical/other existing credit,male mar/wid,car,1.0,new car,5234.0
10,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,new car,1295.0
11,none,<100,bad,none,existing paid,female div/dep/mar,life insurance,1.0,business,4308.0
12,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,radio/tv,1567.0
13,none,<100,bad,none,critical/other existing credit,male single,car,1.0,new car,1199.0
14,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,new car,1403.0
15,none,100<=X<500,bad,none,existing paid,female div/dep/mar,car,1.0,radio/tv,1282.0
16,none,no known savings,good,none,critical/other existing credit,male single,life insurance,1.0,radio/tv,2424.0
17,none,no known savings,good,bank,no credits/all paid,male single,car,1.0,business,8072.0
18,none,<100,bad,none,existing paid,female div/dep/mar,no known property,1.0,used car,12579.0
19,none,500<=X<1000,good,none,existing paid,male single,car,2.0,radio/tv,3430.0
20,none,<100,good,none,critical/other existing credit,male single,car,1.0,new car,2134.0
21,none,500<=X<1000,good,none,existing paid,male single,real estate,2.0,radio/tv,2647.0
22,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,2241.0
23,none,100<=X<500,good,none,critical/other existing credit,male single,life insurance,1.0,used car,1804.0
24,none,no known savings,good,none,critical/other existing credit,male mar/wid,car,1.0,furniture/equipment,2069.0
25,none,<100,good,bank,existing paid,male single,real estate,1.0,furniture/equipment,1374.0
26,none,<100,good,none,no credits/all paid,male mar/wid,car,1.0,radio/tv,426.0
27,none,>=1000,good,none,all paid,female div/dep/mar,real estate,1.0,radio/tv,409.0
28,guarantor,<100,good,none,existing paid,male single,real estate,1.0,radio/tv,2415.0
29,none,<100,bad,none,delayed previously,male single,no known property,1.0,business,6836.0
30,none,>=1000,good,bank,existing paid,male mar/wid,real estate,1.0,business,1913.0
31,none,<100,good,stores,existing paid,male single,car,1.0,furniture/equipment,4020.0
32,none,100<=X<500,good,none,existing paid,male single,car,1.0,new car,5866.0
33,none,no known savings,good,none,critical/other existing credit,male single,no known property,1.0,business,1264.0
34,none,<100,good,bank,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,1474.0
35,none,<100,bad,none,critical/other existing credit,male single,life insurance,1.0,radio/tv,4746.0
36,none,<100,good,bank,critical/other existing credit,male single,no known property,1.0,education,6110.0
37,co applicant,<100,bad,stores,existing paid,male single,real estate,1.0,radio/tv,2100.0
38,none,<100,good,none,existing paid,male single,car,1.0,domestic appliance,1225.0
39,none,<100,good,none,existing paid,male single,real estate,1.0,radio/tv,458.0
40,none,500<=X<1000,good,bank,existing paid,male single,car,1.0,radio/tv,2333.0
41,none,500<=X<1000,good,none,existing paid,male div/sep,car,1.0,radio/tv,1158.0
42,none,<100,good,none,delayed previously,male single,real estate,2.0,repairs,6204.0
43,none,100<=X<500,good,none,critical/other existing credit,male mar/wid,car,1.0,used car,6187.0
44,none,<100,bad,stores,critical/other existing credit,female div/dep/mar,no known property,1.0,used car,6143.0
45,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,new car,1393.0
46,none,500<=X<1000,good,none,existing paid,male single,car,1.0,radio/tv,2299.0
47,none,500<=X<1000,good,none,existing paid,female div/dep/mar,life insurance,1.0,used car,1352.0
48,none,<100,good,none,critical/other existing credit,male single,life insurance,1.0,new car,7228.0
49,co applicant,100<=X<500,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,2073.0
50,none,no known savings,good,bank,delayed previously,male single,life insurance,1.0,furniture/equipment,2333.0
51,none,<100,good,none,delayed previously,male single,car,1.0,used car,5965.0
52,none,<100,good,none,existing paid,male single,car,1.0,radio/tv,1262.0
53,none,no known savings,good,none,existing paid,male single,life insurance,1.0,used car,3378.0
54,none,<100,bad,bank,delayed previously,male single,no known property,1.0,new car,2225.0
55,guarantor,no known savings,good,stores,all paid,male single,real estate,2.0,new car,783.0
56,none,no known savings,bad,none,existing paid,male single,no known property,1.0,radio/tv,6468.0
57,none,<100,good,stores,critical/other existing credit,female div/dep/mar,car,1.0,radio/tv,9566.0
58,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,new car,1961.0
59,co applicant,<100,bad,none,critical/other existing credit,female div/dep/mar,no known property,1.0,furniture/equipment,6229.0
60,none,<100,good,bank,existing paid,male mar/wid,real estate,1.0,business,1391.0
61,guarantor,no known savings,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,1537.0
62,none,<100,bad,none,no credits/all paid,male single,no known property,1.0,business,1953.0
63,none,<100,bad,none,no credits/all paid,male single,car,1.0,business,14421.0
64,none,<100,good,none,existing paid,female div/dep/mar,life insurance,1.0,radio/tv,3181.0
65,none,no known savings,good,none,existing paid,male single,life insurance,2.0,repairs,5190.0
66,none,<100,good,bank,existing paid,female div/dep/mar,car,1.0,radio/tv,2171.0
67,none,>=1000,good,none,existing paid,male mar/wid,real estate,1.0,new car,1007.0
68,none,<100,bad,stores,existing paid,male single,no known property,1.0,education,1819.0
69,none,no known savings,good,none,existing paid,female div/dep/mar,car,1.0,radio/tv,2394.0
70,none,<100,good,bank,existing paid,female div/dep/mar,life insurance,1.0,used car,8133.0
71,none,no known savings,good,none,critical/other existing credit,male single,life insurance,1.0,radio/tv,730.0
72,none,<100,good,bank,critical/other existing credit,male single,no known property,2.0,other,1164.0
73,none,<100,good,bank,critical/other existing credit,female div/dep/mar,real estate,1.0,business,5954.0
74,none,no known savings,bad,none,existing paid,male single,no known property,1.0,education,1977.0
75,none,<100,good,none,critical/other existing credit,male single,no known property,1.0,used car,1526.0
76,none,<100,bad,none,existing paid,male single,car,1.0,radio/tv,3965.0
77,none,<100,good,none,delayed previously,male single,life insurance,1.0,radio/tv,4771.0
78,none,no known savings,good,none,no credits/all paid,male single,life insurance,2.0,used car,9436.0
79,none,<100,good,none,existing paid,male mar/wid,life insurance,1.0,furniture/equipment,3832.0
80,none,no known savings,bad,none,existing paid,female div/dep/mar,car,1.0,radio/tv,5943.0
81,none,500<=X<1000,good,stores,existing paid,male single,life insurance,1.0,radio/tv,1213.0
82,none,100<=X<500,good,none,existing paid,female div/dep/mar,life insurance,1.0,business,1568.0
83,guarantor,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,other,1755.0
84,none,<100,good,none,existing paid,male single,real estate,1.0,radio/tv,2315.0
85,guarantor,<100,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,business,1412.0
86,none,<100,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,furniture/equipment,1295.0
87,none,100<=X<500,bad,none,existing paid,male single,no known property,2.0,education,12612.0
88,none,100<=X<500,good,none,existing paid,male single,car,2.0,new car,2249.0
89,none,<100,bad,none,no credits/all paid,male single,real estate,1.0,repairs,1108.0
90,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,618.0
91,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,used car,1409.0
92,none,no known savings,bad,bank,critical/other existing credit,female div/dep/mar,life insurance,2.0,radio/tv,797.0
93,co applicant,no known savings,good,none,critical/other existing credit,male single,no known property,1.0,furniture/equipment,3617.0
94,none,>=1000,good,none,existing paid,male single,real estate,1.0,new car,1318.0
95,none,<100,bad,none,no credits/all paid,male single,no known property,1.0,business,15945.0
96,none,no known savings,good,none,critical/other existing credit,female div/dep/mar,car,1.0,education,2012.0
97,none,100<=X<500,good,none,existing paid,male single,car,1.0,business,2622.0
98,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,2337.0
99,none,no known savings,good,bank,delayed previously,male single,life insurance,2.0,used car,7057.0
100,none,100<=X<500,good,none,existing paid,male mar/wid,real estate,1.0,new car,1469.0
101,none,<100,good,none,existing paid,male single,car,1.0,radio/tv,2323.0
102,none,<100,good,none,delayed previously,female div/dep/mar,real estate,1.0,radio/tv,932.0
103,none,<100,good,none,critical/other existing credit,male single,car,1.0,furniture/equipment,1919.0
104,none,no known savings,good,none,existing paid,male mar/wid,car,1.0,used car,2445.0
105,co applicant,<100,bad,none,critical/other existing credit,male single,car,2.0,other,11938.0
106,none,<100,bad,bank,all paid,male single,no known property,2.0,new car,6458.0
107,none,<100,good,none,existing paid,male single,car,1.0,new car,6078.0
108,none,no known savings,good,none,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,7721.0
109,none,500<=X<1000,good,none,existing paid,male mar/wid,real estate,1.0,business,1410.0
110,none,100<=X<500,good,bank,delayed previously,male div/sep,car,2.0,business,1449.0
111,none,<100,good,none,existing paid,female div/dep/mar,life insurance,1.0,education,392.0
112,none,<100,good,none,existing paid,male single,real estate,1.0,new car,6260.0
113,none,<100,bad,stores,critical/other existing credit,female div/dep/mar,real estate,1.0,new car,7855.0
