,binaryClass_cat,col_1_num,col_2_num,col_3_num,col_4_num
0,P,1.0,2.2,5.5,2.4
1,P,2.0,2.2,4.5,2.4
2,P,3.0,2.3,5.1,2.4
3,P,4.0,2.0,5.5,2.2
4,P,5.0,1.6,5.7,2.1
5,N,6.0,1.4,5.1,1.5
6,N,7.0,1.8,4.3,2.3
7,P,8.0,2.2,4.8,2.3
8,P,9.0,2.9,5.6,2.5
9,N,10.0,2.6,5.9,2.0
10,N,11.0,2.4,6.0,1.9
11,P,12.0,2.1,5.1,1.7
12,P,13.0,3.0,5.2,2.2
13,P,14.0,2.5,4.4,1.8
14,N,15.0,2.7,5.5,3.2
15,N,16.0,2.2,5.4,3.2
16,P,17.0,2.4,4.1,2.7
17,P,18.0,2.7,4.4,2.2
18,P,19.0,3.1,4.7,2.2
19,P,20.0,2.5,4.6,1.9
20,P,21.0,2.4,6.0,1.9
21,N,22.0,2.3,5.6,1.8
22,N,23.0,2.4,5.1,2.7
23,N,24.0,1.9,4.7,3.0
24,P,25.0,3.3,4.8,2.3
25,P,26.0,3.8,5.5,2.0
26,N,27.0,3.7,5.1,2.0
27,N,28.0,3.5,5.2,2.9
28,N,29.0,3.1,5.0,2.9
29,P,30.0,2.7,4.0,2.7
30,P,31.0,4.1,3.7,2.7
31,N,32.0,4.0,4.8,2.3
32,N,33.0,3.4,5.9,2.6
33,N,34.0,3.2,5.5,2.4
34,N,35.0,3.7,4.9,1.8
35,P,36.0,3.6,4.4,1.7
36,P,37.0,4.1,4.7,1.5
37,N,38.0,2.0,4.2,1.4
38,N,39.0,4.6,5.5,2.1
39,N,40.0,4.1,4.9,3.3
40,P,41.0,3.2,4.8,3.5
41,N,42.0,2.9,4.5,3.5
42,N,43.0,2.7,4.9,3.1
43,N,44.0,3.0,4.9,2.6
44,P,45.0,0.0,4.5,2.1
45,N,46.0,0.0,4.2,3.4
46,N,47.0,0.0,4.9,3.0
47,N,48.0,0.0,5.9,2.9
