,class_cat,mcg_num,gvh_num,lip_num,chg_num,aac_num,alm1_num,alm2_num
0,cp,0.49,0.29,0.48,0.5,0.56,0.24,0.35
1,cp,0.07,0.4,0.48,0.5,0.54,0.35,0.44
2,cp,0.56,0.4,0.48,0.5,0.49,0.37,0.46
3,cp,0.59,0.49,0.48,0.5,0.52,0.45,0.36
4,cp,0.23,0.32,0.48,0.5,0.55,0.25,0.35
5,cp,0.67,0.39,0.48,0.5,0.36,0.38,0.46
6,cp,0.29,0.28,0.48,0.5,0.44,0.23,0.34
7,cp,0.21,0.34,0.48,0.5,0.51,0.28,0.39
8,cp,0.2,0.44,0.48,0.5,0.46,0.51,0.57
9,cp,0.42,0.4,0.48,0.5,0.56,0.18,0.3
10,cp,0.42,0.24,0.48,0.5,0.57,0.27,0.37
11,cp,0.25,0.48,0.48,0.5,0.44,0.17,0.29
12,cp,0.39,0.32,0.48,0.5,0.46,0.24,0.35
13,cp,0.51,0.5,0.48,0.5,0.46,0.32,0.35
14,cp,0.22,0.43,0.48,0.5,0.48,0.16,0.28
15,cp,0.25,0.4,0.48,0.5,0.46,0.44,0.52
16,cp,0.34,0.45,0.48,0.5,0.38,0.24,0.35
17,cp,0.44,0.27,0.48,0.5,0.55,0.52,0.58
18,cp,0.23,0.4,0.48,0.5,0.39,0.28,0.38
19,cp,0.41,0.57,0.48,0.5,0.39,0.21,0.32
20,cp,0.4,0.45,0.48,0.5,0.38,0.22,0.0
21,cp,0.31,0.23,0.48,0.5,0.73,0.05,0.14
22,cp,0.51,0.54,0.48,0.5,0.41,0.34,0.43
23,cp,0.3,0.16,0.48,0.5,0.56,0.11,0.23
24,cp,0.36,0.39,0.48,0.5,0.48,0.22,0.23
25,cp,0.29,0.37,0.48,0.5,0.48,0.44,0.52
26,cp,0.25,0.4,0.48,0.5,0.47,0.33,0.42
27,cp,0.21,0.51,0.48,0.5,0.5,0.32,0.41
28,cp,0.43,0.37,0.48,0.5,0.53,0.35,0.44
29,cp,0.43,0.39,0.48,0.5,0.47,0.31,0.41
30,cp,0.53,0.38,0.48,0.5,0.44,0.26,0.36
31,cp,0.34,0.33,0.48,0.5,0.38,0.35,0.44
32,cp,0.56,0.51,0.48,0.5,0.34,0.37,0.46
33,cp,0.4,0.29,0.48,0.5,0.42,0.35,0.44
34,cp,0.24,0.35,0.48,0.5,0.31,0.19,0.31
35,cp,0.36,0.54,0.48,0.5,0.41,0.38,0.46
36,cp,0.29,0.52,0.48,0.5,0.42,0.29,0.39
37,cp,0.65,0.47,0.48,0.5,0.59,0.3,0.4
38,cp,0.32,0.42,0.48,0.5,0.35,0.28,0.38
39,cp,0.38,0.46,0.48,0.5,0.48,0.22,0.29
40,cp,0.33,0.45,0.48,0.5,0.52,0.32,0.41
41,cp,0.3,0.37,0.48,0.5,0.59,0.41,0.49
42,cp,0.4,0.5,0.48,0.5,0.45,0.39,0.47
43,cp,0.28,0.38,0.48,0.5,0.5,0.33,0.42
44,cp,0.61,0.45,0.48,0.5,0.48,0.35,0.41
45,cp,0.17,0.38,0.48,0.5,0.45,0.42,0.5
46,cp,0.44,0.35,0.48,0.5,0.55,0.55,0.61
47,cp,0.43,0.4,0.48,0.5,0.39,0.28,0.39
48,cp,0.42,0.35,0.48,0.5,0.58,0.15,0.27
49,cp,0.23,0.33,0.48,0.5,0.43,0.33,0.43
50,cp,0.37,0.52,0.48,0.5,0.42,0.42,0.36
51,cp,0.29,0.3,0.48,0.5,0.45,0.03,0.17
52,cp,0.22,0.36,0.48,0.5,0.35,0.39,0.47
53,cp,0.23,0.58,0.48,0.5,0.37,0.53,0.59
54,cp,0.47,0.47,0.48,0.5,0.22,0.16,0.26
55,cp,0.54,0.47,0.48,0.5,0.28,0.33,0.42
56,cp,0.51,0.37,0.48,0.5,0.35,0.36,0.45
57,cp,0.4,0.35,0.48,0.5,0.45,0.33,0.42
58,cp,0.44,0.34,0.48,0.5,0.3,0.33,0.43
59,cp,0.42,0.38,0.48,0.5,0.54,0.34,0.43
60,cp,0.44,0.56,0.48,0.5,0.5,0.46,0.54
61,cp,0.52,0.36,0.48,0.5,0.41,0.28,0.38
62,cp,0.36,0.41,0.48,0.5,0.48,0.47,0.54
63,cp,0.18,0.3,0.48,0.5,0.46,0.24,0.35
64,cp,0.47,0.29,0.48,0.5,0.51,0.33,0.43
65,cp,0.24,0.43,0.48,0.5,0.54,0.52,0.59
66,cp,0.25,0.37,0.48,0.5,0.41,0.33,0.42
67,cp,0.52,0.57,0.48,0.5,0.42,0.47,0.54
68,cp,0.25,0.37,0.48,0.5,0.43,0.26,0.36
69,cp,0.35,0.48,0.48,0.5,0.56,0.4,0.48
70,cp,0.26,0.26,0.48,0.5,0.34,0.25,0.35
71,cp,0.44,0.51,0.48,0.5,0.47,0.26,0.36
72,cp,0.37,0.5,0.48,0.5,0.42,0.36,0.45
73,cp,0.44,0.42,0.48,0.5,0.42,0.25,0.2
74,cp,0.24,0.43,0.48,0.5,0.37,0.28,0.38
