,chg_num,mcg_num,alm1_num,gvh_num
0,0.5,0.49,0.24,0.29
1,0.5,0.07,0.35,0.4
2,0.5,0.56,0.37,0.4
3,0.5,0.59,0.45,0.49
4,0.5,0.23,0.25,0.32
5,0.5,0.67,0.38,0.39
6,0.5,0.29,0.23,0.28
7,0.5,0.21,0.28,0.34
8,0.5,0.2,0.51,0.44
9,0.5,0.42,0.18,0.4
10,0.5,0.42,0.27,0.24
11,0.5,0.25,0.17,0.48
12,0.5,0.39,0.24,0.32
13,0.5,0.51,0.32,0.5
14,0.5,0.22,0.16,0.43
15,0.5,0.25,0.44,0.4
16,0.5,0.34,0.24,0.45
17,0.5,0.44,0.52,0.27
18,0.5,0.23,0.28,0.4
19,0.5,0.41,0.21,0.57
20,0.5,0.4,0.22,0.45
21,0.5,0.31,0.05,0.23
22,0.5,0.51,0.34,0.54
23,0.5,0.3,0.11,0.16
24,0.5,0.36,0.22,0.39
25,0.5,0.29,0.44,0.37
26,0.5,0.25,0.33,0.4
27,0.5,0.21,0.32,0.51
28,0.5,0.43,0.35,0.37
29,0.5,0.43,0.31,0.39
30,0.5,0.53,0.26,0.38
31,0.5,0.34,0.35,0.33
32,0.5,0.56,0.37,0.51
33,0.5,0.4,0.35,0.29
34,0.5,0.24,0.19,0.35
35,0.5,0.36,0.38,0.54
36,0.5,0.29,0.29,0.52
37,0.5,0.65,0.3,0.47
38,0.5,0.32,0.28,0.42
39,0.5,0.38,0.22,0.46
40,0.5,0.33,0.32,0.45
41,0.5,0.3,0.41,0.37
42,0.5,0.4,0.39,0.5
43,0.5,0.28,0.33,0.38
44,0.5,0.61,0.35,0.45
45,0.5,0.17,0.42,0.38
46,0.5,0.44,0.55,0.35
47,0.5,0.43,0.28,0.4
48,0.5,0.42,0.15,0.35
49,0.5,0.23,0.33,0.33
50,0.5,0.37,0.42,0.52
51,0.5,0.29,0.03,0.3
52,0.5,0.22,0.39,0.36
53,0.5,0.23,0.53,0.58
54,0.5,0.47,0.16,0.47
55,0.5,0.54,0.33,0.47
56,0.5,0.51,0.36,0.37
57,0.5,0.4,0.33,0.35
58,0.5,0.44,0.33,0.34
59,0.5,0.42,0.34,0.38
60,0.5,0.44,0.46,0.56
61,0.5,0.52,0.28,0.36
62,0.5,0.36,0.47,0.41
63,0.5,0.18,0.24,0.3
64,0.5,0.47,0.33,0.29
65,0.5,0.24,0.52,0.43
66,0.5,0.25,0.33,0.37
67,0.5,0.52,0.47,0.57
68,0.5,0.25,0.26,0.37
69,0.5,0.35,0.4,0.48
70,0.5,0.26,0.25,0.26
71,0.5,0.44,0.26,0.51
72,0.5,0.37,0.36,0.5
73,0.5,0.44,0.25,0.42
74,0.5,0.24,0.28,0.43
75,0.5,0.42,0.26,0.3
76,0.5,0.48,0.25,0.42
77,0.5,0.41,0.44,0.48
78,0.5,0.44,0.27,0.28
79,0.5,0.29,0.38,0.41
80,0.5,0.34,0.35,0.28
81,0.5,0.41,0.31,0.43
82,0.5,0.29,0.23,0.47
83,0.5,0.34,0.31,0.55
84,0.5,0.36,0.45,0.56
85,0.5,0.4,0.49,0.46
86,0.5,0.5,0.46,0.49
87,0.5,0.52,0.36,0.44
88,0.5,0.5,0.23,0.51
89,0.5,0.53,0.29,0.42
90,0.5,0.34,0.35,0.46
91,0.5,0.4,0.27,0.42
92,0.5,0.41,0.24,0.43
93,0.5,0.3,0.21,0.45
94,0.5,0.31,0.28,0.47
95,0.5,0.64,0.35,0.76
96,0.5,0.35,0.34,0.37
97,0.5,0.57,0.28,0.54
98,0.5,0.65,0.37,0.55
99,0.5,0.51,0.31,0.46
100,0.5,0.38,0.25,0.4
101,0.5,0.24,0.34,0.57
102,0.5,0.38,0.16,0.26
103,0.5,0.33,0.18,0.47
104,0.5,0.24,0.3,0.34
105,0.5,0.26,0.32,0.5
106,0.5,0.44,0.38,0.49
107,0.5,0.43,0.45,0.32
108,0.5,0.49,0.3,0.43
109,0.5,0.47,0.2,0.28
110,0.5,0.32,0.06,0.33
111,0.5,0.34,0.49,0.35
112,0.5,0.35,0.3,0.34
113,0.5,0.38,0.29,0.3
114,0.5,0.38,0.2,0.44
115,0.5,0.41,0.2,0.51
116,0.5,0.34,0.34,0.42
117,0.5,0.51,0.14,0.49
118,0.5,0.25,0.42,0.51
119,0.5,0.29,0.42,0.28
120,0.5,0.25,0.32,0.26
121,0.5,0.24,0.23,0.41
122,0.5,0.17,0.3,0.39
123,0.5,0.04,0.29,0.31
124,0.5,0.61,0.35,0.36
125,0.5,0.34,0.37,0.51
126,0.5,0.28,0.22,0.33
127,0.5,0.4,0.35,0.46
128,0.5,0.23,0.26,0.34
129,0.5,0.37,0.39,0.44
130,0.5,0.0,0.48,0.38
131,0.5,0.39,0.34,0.31
132,0.5,0.3,0.22,0.44
133,0.5,0.27,0.28,0.3
134,0.5,0.17,0.37,0.52
135,0.5,0.36,0.32,0.42
136,0.5,0.3,0.18,0.37
137,0.5,0.26,0.26,0.4
138,0.5,0.4,0.22,0.41
139,0.5,0.22,0.29,0.34
140,0.5,0.44,0.52,0.35
141,0.5,0.27,0.38,0.42
142,0.5,0.16,0.27,0.43
143,0.5,0.06,0.92,0.61
144,0.5,0.44,0.47,0.52
145,0.5,0.63,0.82,0.47
146,0.5,0.23,0.88,0.48
147,0.5,0.34,0.85,0.49
148,0.5,0.43,0.75,0.4
149,0.5,0.46,0.86,0.61
150,0.5,0.27,0.77,0.35
151,0.5,0.52,0.71,0.39
152,0.5,0.29,0.65,0.47
153,0.5,0.55,0.78,0.47
154,0.5,0.12,0.58,0.67
155,0.5,0.4,0.82,0.5
156,0.5,0.73,0.91,0.36
157,0.5,0.84,0.71,0.44
158,0.5,0.48,0.78,0.45
159,0.5,0.54,0.87,0.49
160,0.5,0.48,0.9,0.41
161,0.5,0.5,0.92,0.66
162,0.5,0.72,0.66,0.46
163,0.5,0.47,0.71,0.55
164,0.5,0.33,0.78,0.56
165,0.5,0.64,0.78,0.58
166,0.5,0.54,0.81,0.57
167,0.5,0.47,0.76,0.59
168,0.5,0.63,0.85,0.5
169,0.5,0.49,0.79,0.42
170,0.5,0.31,0.84,0.5
171,0.5,0.74,0.88,0.44
172,0.5,0.33,0.88,0.45
173,0.5,0.45,0.74,0.4
174,0.5,0.71,0.7,0.4
175,0.5,0.5,0.64,0.37
176,0.5,0.66,0.66,0.53
177,0.5,0.6,0.67,0.61
178,0.5,0.83,0.71,0.37
179,0.5,0.34,0.9,0.51
180,0.5,0.63,0.79,0.54
181,0.5,0.7,0.86,0.4
182,0.5,0.6,0.77,0.5
183,0.5,0.16,0.39,0.51
184,0.5,0.74,0.65,0.7
185,0.5,0.2,0.78,0.46
186,0.5,0.89,0.72,0.55
187,0.5,0.7,0.78,0.46
188,0.5,0.12,0.7,0.43
189,0.5,0.61,0.67,0.52
190,0.5,0.33,0.65,0.37
191,0.5,0.63,0.67,0.65
192,0.5,0.41,0.75,0.51
193,0.5,0.34,0.76,0.67
194,0.5,0.58,0.87,0.34
195,0.5,0.59,0.8,0.56
196,0.5,0.51,0.62,0.4
197,0.5,0.5,0.61,0.57
198,0.5,0.6,0.81,0.46
199,0.5,0.37,0.76,0.47
200,0.5,0.58,0.7,0.55
201,0.5,0.36,0.69,0.47
202,0.5,0.39,0.72,0.41
203,0.5,0.35,0.71,0.51
204,0.5,0.31,0.79,0.44
205,0.5,0.61,0.87,0.66
206,0.5,0.48,0.77,0.49
207,0.5,0.11,0.72,0.5
208,0.5,0.31,0.94,0.36
209,0.5,0.68,0.75,0.51
210,0.5,0.69,0.76,0.39
211,0.5,0.52,0.76,0.54
212,0.5,0.46,0.76,0.59
213,0.5,0.36,0.79,0.45
214,0.5,0.0,0.67,0.51
215,0.5,0.1,0.67,0.49
216,0.5,0.3,0.61,0.51
217,0.5,0.61,0.8,0.47
218,0.5,0.63,0.73,0.75
219,0.5,0.71,1.0,0.52
220,0.5,0.85,0.52,0.53
221,0.5,0.63,0.76,0.49
222,1.0,0.75,0.47,0.55
223,0.5,0.7,0.82,0.39
224,0.5,0.72,0.77,0.42
225,0.5,0.79,0.81,0.41
226,0.5,0.83,0.76,0.48
