,binaryClass_cat,oz1_num,oz2_num,oz3_num,oz4_num,oz5_num
0,P,-0.884043,0.751601,0.756124,-1.521581,0.203984
1,P,-1.516162,-0.778852,-0.935525,0.36152,-1.306545
2,N,1.27635,0.022499,-0.374163,1.50267,-0.609227
3,P,1.282011,1.030213,-0.326553,-1.53895,0.474845
4,N,-0.619048,1.560539,1.435116,-0.297633,-0.120658
5,N,-0.153774,1.572473,-0.23376,-0.900302,-1.11176
6,P,-1.293173,0.109598,-0.112372,0.747509,0.687816
7,P,0.054722,-0.863815,-0.363693,-0.32626,-1.386199
8,P,-1.676754,0.04053,0.808883,-0.835051,-0.674255
9,P,-1.426821,1.270393,0.799673,-0.068821,0.312008
10,N,1.74585,-0.553605,-0.964796,-0.136435,-0.746316
11,N,0.131736,-0.101714,1.022229,1.376968,-0.493995
12,N,0.192045,-0.775708,1.090409,1.229322,-1.296844
13,N,0.489108,0.338736,0.917609,1.305394,0.899885
14,N,-0.979415,0.446631,-1.123443,0.968353,-0.010337
15,P,-0.316495,-1.101566,-0.950522,0.18836,-0.58663
16,N,-0.178472,0.150181,1.622958,0.160336,-0.912728
17,P,-1.005958,0.640319,0.420007,-0.346208,0.111105
18,N,-1.031721,0.545954,1.362422,1.126351,0.953809
19,N,-0.855662,-1.608802,-1.116384,0.775191,1.658906
20,P,1.577325,-1.206964,0.265069,-0.126223,-1.769938
21,P,-0.995317,-1.315656,-1.202117,-1.472372,0.216051
22,P,1.157608,1.569282,1.001338,-1.744589,-1.637426
23,P,-1.328535,-0.94341,-1.752354,-1.75563,1.1682
24,P,-1.726751,0.393606,-0.648761,1.681138,0.356434
25,N,-0.380315,0.87758,0.173002,-0.136482,0.292349
26,P,0.502816,-1.242305,0.174289,-0.006254,-1.635362
27,N,-0.575807,1.36393,0.165853,-0.77536,0.995514
28,N,-0.487284,-0.528155,-0.290823,1.57437,-0.993772
29,P,-0.67338,-1.767539,-1.333013,-0.691411,-0.240097
30,N,0.0276,1.170788,0.177387,0.216283,1.239736
31,N,0.387064,-0.350311,-1.008958,-0.697425,-0.210718
32,P,1.197152,-1.181682,0.142546,-1.34217,0.466077
33,N,1.740437,-0.060265,0.962861,-0.360281,1.197587
34,N,0.035102,0.719075,-1.368525,0.527346,1.38466
35,P,-1.527904,-0.427949,-1.467797,0.120622,-0.850055
36,P,1.031126,-1.695045,0.679991,-0.112483,0.876755
