,Al_num,RI_num,Si_num,Type_cat,Ca_num
0,1.12,1.51793,73.03,build wind float,8.77
1,1.35,1.51643,72.89,vehic wind float,8.53
2,1.41,1.51793,72.64,build wind float,8.43
3,1.54,1.51299,74.55,tableware,7.59
4,1.0,1.53393,70.16,build wind non-float,16.19
5,1.44,1.51655,73.27,build wind non-float,8.79
6,0.65,1.51779,73.0,vehic wind float,8.93
7,1.28,1.51837,72.85,build wind float,9.07
8,2.68,1.51545,73.39,headlamps,9.07
9,1.3,1.51789,72.33,build wind non-float,8.44
10,1.49,1.51625,72.72,build wind non-float,8.21
11,1.16,1.51743,73.55,build wind non-float,8.9
12,0.79,1.52223,71.99,build wind float,10.02
13,0.58,1.52121,71.79,vehic wind float,9.65
14,1.76,1.51665,72.48,vehic wind float,8.38
15,1.71,1.51707,72.52,build wind non-float,7.99
16,2.0,1.51719,73.02,headlamps,8.53
17,1.49,1.51629,73.28,build wind non-float,8.24
18,1.76,1.51994,73.03,containers,11.32
19,1.43,1.51811,72.92,build wind non-float,8.79
20,0.87,1.52152,72.22,build wind float,9.85
21,1.88,1.52475,72.19,build wind non-float,13.24
22,1.11,1.51841,72.28,build wind non-float,8.96
23,1.19,1.51754,72.79,build wind float,8.27
24,2.17,1.52058,72.18,containers,9.7
25,1.47,1.51569,73.25,build wind non-float,8.03
26,1.9,1.5159,72.86,build wind non-float,7.97
27,1.98,1.51683,73.29,headlamps,8.52
28,1.48,1.51687,72.84,build wind non-float,8.1
29,1.34,1.5161,72.67,vehic wind float,8.33
30,1.64,1.51674,73.14,build wind non-float,7.99
31,1.54,1.51832,72.14,vehic wind float,8.99
32,0.34,1.51115,75.41,tableware,6.65
33,1.54,1.51645,72.39,build wind non-float,8.03
34,1.36,1.51755,72.99,build wind float,8.4
35,1.56,1.51571,73.2,build wind float,8.09
36,1.62,1.51596,72.97,build wind float,8.07
37,1.63,1.5173,72.87,build wind non-float,9.23
38,1.44,1.51662,73.01,build wind non-float,8.23
39,2.08,1.51409,72.28,build wind non-float,7.08
40,1.35,1.51797,72.96,build wind float,8.68
41,1.08,1.51806,73.07,build wind non-float,8.38
