,a14_num,a19_num,a03_num,a29_num,a33_num,a28_num,a22_num,a27_num,a26_num,a32_num,a17_num,a24_num,a04_num,a02_num,a23_num,a25_num,a10_num,a31_num
0,-0.44945,0.58212,0.99539,0.21266,0.18641,-0.46168,-0.29674,0.41078,-0.51171,-0.54487,0.84356,-0.47357,-0.05889,0.0,0.36946,0.56811,0.0376,0.42267
1,-0.69707,0.33109,1.0,-0.1904,-0.13738,-0.18401,-0.453,-0.20468,-0.26569,-0.06288,0.05499,-0.35734,-0.18829,0.0,-0.18056,-0.20332,-0.04549,-0.16626
2,0.00827,0.75535,1.0,0.431,0.56045,-0.22145,-0.27502,0.58984,-0.4022,-0.2418,0.83775,-0.12062,-0.03365,0.0,0.43385,0.57528,0.01198,0.60436
3,0.0,-1.0,1.0,1.0,-0.32382,1.0,1.0,0.51613,0.90695,1.0,0.54094,0.0,-0.45161,0.0,0.0,1.0,0.0,0.25682
4,-0.00712,0.45107,1.0,0.02431,-0.04608,-0.53206,-0.35575,0.1329,-0.65158,-0.59573,0.5294,-0.52879,-0.02401,0.0,0.02309,0.03286,-0.16399,-0.05707
5,0.0,-0.11575,0.02337,-0.07859,-0.00039,0.09223,0.03669,-0.0324,-0.01535,0.0,-0.00343,0.00888,-0.00592,0.0,0.01519,0.03513,0.06637,0.0
6,-0.50764,0.37852,0.97588,0.04606,-0.13832,-0.8251,-0.76562,0.13659,-0.81634,-0.81318,0.57945,-0.79753,-0.10602,0.0,0.31898,0.22792,-0.27342,-0.04262
7,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,-0.40668,0.84537,0.96355,0.25435,0.38895,-0.69712,-0.60589,0.57577,-0.6544,-0.72779,0.98305,-0.64225,-0.07198,0.0,0.69637,0.85106,-0.36174,0.45114
9,0.0,0.63728,-0.01864,0.0,-0.08208,-0.02294,0.0,0.20645,-0.01326,0.24086,-0.37133,0.0,-0.08459,0.0,0.0,-0.14803,-0.2681,0.16595
10,-0.51874,0.69876,1.0,0.40303,0.22995,-0.865,-0.7632,0.47211,-0.89128,-0.89093,0.8923,-0.80544,0.06655,0.0,0.63081,0.55867,-0.43107,0.30996
11,1.0,1.0,1.0,1.0,1.0,-0.62745,1.0,1.0,-0.40888,-1.0,1.0,1.0,-0.5421,0.0,1.0,1.0,0.36217,1.0
12,-0.29785,0.90137,1.0,0.65723,0.64727,-0.5837,-0.47308,0.76224,-0.47137,-0.64537,0.94486,-0.5122,-0.16316,0.0,0.82987,0.8408,-0.19277,0.68714
13,0.07772,1.0,1.0,1.0,1.0,0.35924,0.15803,1.0,-0.17012,0.88428,1.0,0.62349,-0.86701,0.0,1.0,1.0,-0.1209,1.0
14,0.20328,1.0,1.0,0.95603,1.0,0.36743,0.44758,1.0,0.20033,0.32492,1.0,0.4175,0.0738,0.0,1.0,1.0,0.08764,1.0
15,0.0,1.0,0.50932,0.0,0.0,0.26501,0.0,0.39752,0.92236,0.23188,-0.37681,0.0,-0.93996,0.0,0.0,-0.16253,-1.0,1.0
16,0.10346,0.86104,0.99645,0.7911,0.70941,0.13638,0.1183,0.79476,0.13412,0.1593,0.88809,0.14442,0.06468,0.0,0.83668,0.81329,0.02312,0.77122
17,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0
18,0.14285,0.14395,0.67065,0.43433,1.0,0.24618,0.21326,0.46167,0.23724,0.25792,0.58373,0.22625,0.02528,0.0,0.5142,0.48838,0.34081,0.40663
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.5625,-1.0,0.0,1.0,-1.0,1.0,1.0
20,-0.39489,0.86473,1.0,0.75784,0.74354,-0.42231,-0.44072,0.82681,-0.40372,-0.40575,0.92124,-0.46866,-0.00612,0.0,0.9606,0.81874,-0.10605,0.80448
21,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0
22,-0.06142,0.75206,0.96071,0.49664,0.52099,-0.02205,-0.07905,0.58051,-0.07705,-0.00015,0.76544,-0.05929,0.07088,0.0,0.64158,0.55677,-0.05144,0.5131
23,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,-1.0
24,-0.05202,0.65731,1.0,0.73094,0.64207,-0.29174,-0.31558,0.72529,-0.34838,-0.26284,0.6917,-0.31654,-0.06182,0.0,0.80852,0.84932,-0.01707,0.54356
25,-1.0,1.0,1.0,1.0,1.0,-1.0,-0.62796,1.0,-1.0,-1.0,1.0,-1.0,0.5782,0.0,1.0,1.0,-1.0,1.0
26,-0.31736,0.12245,1.0,0.4065,-0.13341,-0.86583,0.11053,0.48136,-0.82868,-0.92128,0.81051,-0.78547,-0.08714,0.0,0.62357,0.55389,0.61053,0.32984
27,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,-0.375,0.0
28,0.59113,1.0,1.0,0.74822,0.52479,1.0,1.0,0.83899,1.0,1.0,1.0,1.0,0.0838,0.0,0.98042,0.91624,0.6452,0.64358
29,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,-1.0
30,-0.26161,1.0,1.0,1.0,1.0,-0.49687,-0.35519,0.9882,-0.47643,-0.75761,1.0,-0.59661,-0.14236,0.0,1.0,1.0,-0.07514,1.0
31,-0.0184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,1.0
32,-0.31463,0.75243,0.88208,0.50179,0.42189,-0.54629,-0.47153,0.56804,-0.48086,-0.57377,0.80681,-0.50085,-0.14639,0.0,0.6615,0.61297,-0.17036,0.47075
33,1.0,0.8076,0.71253,0.63811,-0.23186,-0.41307,0.9273,0.93124,-0.20392,-0.87354,0.8227,0.05456,-0.02595,0.0,0.51933,0.65493,-0.10236,0.86136
34,-0.12527,1.0,1.0,1.0,1.0,-0.11582,-0.01891,1.0,0.14803,0.53372,1.0,-0.91338,-0.15899,0.0,0.92599,1.0,-0.28207,1.0
35,-0.89375,1.0,0.66161,0.95982,1.0,-0.08571,0.85268,1.0,0.85357,0.65268,0.17589,-1.0,-1.0,0.0,1.0,1.0,-0.40446,1.0
36,-0.06544,0.94184,1.0,0.85644,0.83867,-0.17909,-0.14248,0.89067,-0.20851,-0.20101,0.92561,-0.13565,0.00433,0.0,0.94815,0.89469,-0.07014,0.83777
37,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0
38,0.12067,0.83744,0.91241,0.66387,0.65258,0.13282,0.11849,0.7355,0.11299,0.10754,0.88899,0.14222,0.04347,0.0,0.77041,0.75755,0.01321,0.70925
39,0.5364,1.0,1.0,0.43481,1.0,0.16019,0.16371,0.48867,0.1639,0.14677,0.76929,0.16516,0.02461,0.0,0.60138,0.54446,-1.0,0.38352
40,0.50082,0.57619,1.0,0.19296,0.0699,0.72386,0.67135,0.27712,0.72082,0.72688,0.65954,0.6884,0.06538,0.0,0.40553,0.34384,0.32213,0.11372
41,1.0,0.0875,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,1.0
42,0.42739,0.31639,0.90932,0.12635,0.12137,0.56605,0.54462,0.18626,0.56527,0.55061,0.51067,0.55826,0.08791,0.0,0.31274,0.24856,0.68154,0.06927
43,-0.37679,1.0,-0.64286,1.0,1.0,1.0,-0.03393,1.0,0.85714,-1.0,1.0,1.0,-1.0,0.0,-0.84286,0.5375,-0.23393,1.0
44,-0.37965,0.87433,0.99025,0.6101,0.49195,-0.73174,-0.59839,0.65247,-0.68479,-0.80278,0.84922,-0.64615,-0.05785,0.0,0.74725,0.68282,-0.25843,0.54752
45,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-0.375,0.0,0.0,0.0,0.0,-1.0,1.0,1.0
46,-0.21695,0.90581,1.0,0.81433,0.75115,-0.43122,-0.34691,0.83172,-0.4299,-0.47977,0.91236,-0.37643,-0.0373,0.0,0.87874,0.86213,-0.09931,0.77919
47,-0.0055,1.0,0.94598,1.0,-0.06117,-0.5813,-0.31454,0.52208,-0.46734,0.20477,0.91921,0.37361,-0.02685,0.0,-0.73864,0.83872,-0.63427,-0.09634
48,-0.11102,0.79682,0.98166,0.78546,0.74323,-0.21136,-0.17387,0.81813,-0.19689,-0.23095,0.94217,-0.18739,0.00874,0.0,0.86257,0.88487,-0.06971,0.76911
49,0.0,0.7694,0.0,-1.0,0.0,-1.0,0.0,1.0,0.44828,0.0,-0.55711,0.35668,0.0,0.0,0.53448,-0.90302,-1.0,0.0
50,0.54991,0.86676,0.84134,0.61582,0.93323,-0.01158,1.0,0.93358,-0.02778,-0.25706,0.75,-0.1629,-0.18362,0.0,0.4661,0.90066,0.13795,0.84463
51,1.0,-1.0,1.0,-1.0,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0
52,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.34686,-1.0,-1.0,1.0,0.0,-0.52838,0.90014,1.0,1.0
53,1.0,0.8384,-0.67935,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.18856,-1.0,-1.0
54,-0.16795,0.90343,0.95659,0.92059,0.82166,-0.34586,-0.27316,0.87244,-0.40747,-0.39061,0.9963,-0.29807,0.08143,0.0,0.9014,0.99899,-0.06561,0.83951
55,-1.0,-0.42113,0.08333,-1.0,-1.0,-1.0,-1.0,1.0,0.2381,-1.0,-0.02753,-0.46801,-0.20685,0.0,-1.0,-1.0,0.47173,-1.0
56,-0.12738,1.0,1.0,0.8292,0.73992,-0.21793,-0.18949,0.8728,-0.92284,-0.22765,1.0,-0.20081,-0.02259,0.0,0.95601,1.0,-0.08799,0.78479
57,-0.1875,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
58,0.14644,0.96741,1.0,0.88568,0.83574,0.23571,0.14258,0.88423,0.22431,0.29576,0.90896,0.1641,0.05812,0.0,0.90784,0.91667,-0.01911,0.78324
59,0.0,0.51979,0.17188,-1.0,0.0,1.0,0.0,1.0,0.9625,0.0,0.80521,-0.27083,-1.0,0.0,-1.0,-0.84792,0.0,0.0
60,0.24288,0.83656,1.0,0.62764,0.54252,0.42746,0.31698,0.68452,0.34658,0.47033,0.85529,0.39597,0.09771,0.0,0.74829,0.76193,0.09237,0.56791
61,0.0,1.0,0.01667,-1.0,1.0,-0.76667,0.0,1.0,-0.16667,0.0,0.22813,-1.0,-0.35625,0.0,0.08333,-0.10625,0.0,0.0
62,0.46899,0.65091,1.0,0.35684,0.22101,0.69129,0.58071,0.43317,0.55236,0.66844,0.78473,0.6472,0.16801,0.0,0.55586,0.48311,0.2261,0.33921
63,0.58772,0.14254,0.63816,1.0,1.0,-0.0614,-0.4386,1.0,-1.0,-1.0,-0.51535,1.0,1.0,0.0,-1.0,0.80921,0.30921,0.20614
64,-0.1608,0.80025,1.0,1.0,0.51382,-0.07249,-0.19095,0.9289,0.10678,0.19849,0.97613,-0.12312,-0.41457,0.0,1.0,0.93593,-0.09925,0.4397
65,0.60598,0.58424,0.84783,0.37681,1.0,0.15942,0.63496,1.0,-0.33333,0.22464,1.0,0.26585,0.10598,0.0,0.8913,0.91033,0.08424,1.0
66,0.05489,0.84371,1.0,0.86747,0.80355,-0.02174,0.0415,0.96414,-0.39056,-0.22021,0.9575,0.27376,0.28046,0.0,0.99933,1.0,0.04317,0.94578
67,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0
68,0.77092,-0.97907,1.0,0.25773,0.98816,-0.93296,-0.76339,0.41778,-1.0,-0.35222,-0.39046,-0.97491,0.67784,0.0,-0.37671,0.41366,0.80541,0.9357
69,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
70,0.38643,1.0,1.0,0.85611,0.71493,0.71374,0.61267,0.89502,0.68326,0.85611,1.0,0.59457,0.03529,0.0,1.0,0.89593,0.25068,0.74389
71,0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0
72,0.52517,0.69003,0.96087,0.24944,0.09048,0.83796,0.6882,0.33401,0.74689,0.86835,0.73242,0.76197,0.0862,0.0,0.48339,0.40615,0.35052,0.13756
73,0.0,0.46429,0.69444,0.0,0.0,0.63492,0.0,0.7619,0.27381,0.0,0.21032,0.0,0.38889,0.0,0.0,0.73413,0.0,0.0
74,0.38261,0.75906,1.0,0.49538,0.33381,0.69435,0.59962,0.59417,0.63942,0.71689,0.89126,0.62758,0.0507,0.0,0.79578,0.66643,0.28453,0.47027
75,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,0.0
76,0.37639,0.78619,1.0,0.53952,0.40442,0.6099,0.56282,0.58903,0.59723,0.63636,0.81939,0.58129,0.04078,0.0,0.70331,0.67077,0.27921,0.45312
77,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,-1.0
78,1.0,1.0,1.0,0.10819,-0.81383,1.0,1.0,0.38255,1.0,1.0,1.0,1.0,0.24168,0.0,0.89647,0.64628,1.0,-0.1737
79,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
80,-0.40559,1.0,1.0,1.0,1.0,-0.81372,-0.26573,1.0,-0.58042,-0.78555,1.0,-1.0,-0.06604,0.0,1.0,1.0,0.2028,1.0
81,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0
82,0.46983,0.51247,0.92277,0.09694,-0.04023,0.73885,0.66975,0.18765,0.76146,0.77072,0.60459,0.68343,0.07804,0.0,0.34232,0.23693,0.35197,0.02735
83,0.44523,0.10567,0.68198,-0.04779,-0.04013,0.14481,0.30745,-0.04314,0.19405,0.07064,0.18681,0.24936,-0.17314,0.0,-0.00083,-0.02862,0.58304,-0.04585
84,0.0784,0.65976,0.74852,0.5355,0.56361,-0.06637,0.06953,0.61009,0.02811,-0.14053,0.7855,-0.18639,-0.02811,0.0,0.34615,0.65385,0.02515,0.59024
85,-0.8209,0.46642,0.39179,0.32463,0.34411,0.1463,0.14792,0.49309,0.16418,0.13521,0.66791,0.45522,-0.06343,0.0,0.83209,0.47015,0.15299,0.39118
86,-0.13962,0.61887,0.67547,0.66792,0.73208,-0.05801,-0.23774,0.73886,-0.15094,0.03774,0.76981,-0.14717,0.04528,0.0,0.73962,0.84906,-0.04528,0.86415
87,0.09559,0.66818,0.72727,0.42273,1.0,0.14673,-0.3,0.56982,0.32727,0.14643,0.50455,-1.0,-0.05,0.0,0.98636,0.57273,-0.05909,0.48927
88,0.08235,0.50196,0.57647,0.46275,0.43137,0.10039,0.06667,0.48601,0.00392,0.23529,0.58039,0.08235,-0.01569,0.0,0.58039,0.49804,-0.05882,0.45098
89,0.33636,-0.34773,0.41932,-1.0,-0.00526,-0.07114,0.05078,-0.09971,-0.04802,-0.07464,0.02727,0.36364,0.12482,0.0,-0.18636,-0.14003,0.44318,-0.02916
90,0.25,0.7103,0.88305,0.80901,0.52361,0.53235,0.27575,0.69811,0.52039,0.70923,0.69206,0.34871,-0.21996,0.0,1.0,0.5676,0.05901,0.43026
91,0.63966,0.77979,0.84557,0.77884,-0.18494,-0.25288,0.5081,0.70882,-0.03718,-0.7817,0.85701,0.80934,-0.0858,0.0,-0.34128,0.78932,0.04576,-0.21354
92,-0.23043,0.36087,0.7087,0.48348,0.50435,-0.04264,0.11739,0.4993,-0.12174,-0.25217,0.38696,-0.03845,-0.24783,0.0,0.53246,0.31304,0.18261,0.64348
93,0.08978,0.33746,-0.5418,-0.1517,0.52632,-0.40116,0.07121,0.41348,0.65635,0.5582,0.16409,-0.6161,0.14861,0.0,-0.63777,1.0,-0.06811,0.02399
94,-0.04754,0.42445,0.29202,0.34635,0.39559,-0.03351,0.06621,0.50369,-0.03176,-0.01868,0.81664,-0.20883,0.13582,0.0,0.28183,0.51731,0.20883,0.70798
95,0.53215,-0.50998,0.79157,-1.0,0.0,0.88248,0.38803,-0.34146,0.8071,0.1286,-0.02661,0.23725,0.16851,0.0,-0.42572,-0.91574,1.0,-1.0
96,0.87493,-0.28739,0.90116,-0.72369,-0.67699,0.25835,0.65924,-0.71844,0.39951,-0.05525,-0.12611,0.53805,0.16607,0.0,-0.57135,-0.68159,0.72997,-0.71475
97,0.93945,-0.52145,0.97714,-0.82366,-0.59943,-0.01358,0.49508,-0.83314,0.17849,-0.33662,-0.3202,0.33537,0.19049,0.0,-0.77408,-0.85376,0.84278,-0.67289
98,0.0,0.36482,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.59609,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,0.32899,1.0
99,0.07348,0.63613,0.74084,0.65707,0.57455,0.13608,0.11355,0.64158,0.15445,0.14697,0.70681,0.12185,0.04974,0.0,0.68183,0.67016,0.09948,0.59759
100,0.0,0.73529,1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.72059,-1.0,-1.0,0.0,0.18382,-1.0,0.55147,1.0
101,-0.09002,0.9831,1.0,0.94599,0.87011,-0.20243,-0.18519,0.9649,-0.22083,-0.22561,1.0,-0.19272,0.01709,0.0,1.0,0.98971,-0.05071,0.96436
102,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,-0.24719,0.98678,0.95704,0.81428,0.69531,-0.31565,-0.27165,0.88793,-0.19233,-0.31857,0.99273,-0.39458,-0.12095,0.0,0.93126,1.0,0.0846,0.89095
104,-0.84848,0.45076,0.28409,0.06061,0.0,-0.23864,0.0,1.0,0.17803,-0.70076,0.59091,0.0,-0.31818,0.0,0.0,0.24242,0.95833,0.16288
105,-0.12493,1.0,0.9449,1.0,1.0,-0.33304,-0.23452,1.0,-0.29852,-0.4074,1.0,-0.26571,-0.49311,0.0,1.0,1.0,0.66942,1.0
106,0.0,0.56098,0.0,0.0,0.0,0.10976,0.0,1.0,0.0,0.0,0.36585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.02966,0.98298,0.99449,0.94294,0.76586,-0.17806,0.00075,0.87579,-0.19872,-0.25741,0.93881,-0.05882,0.00526,0.0,0.87836,0.93368,-0.06257,0.80253
