,a13_num,a14_num,a26_num,a09_num,a28_num,a32_num,class_cat,a19_num,a12_num,a01_num,a16_num,a30_num,a25_num,a24_num,a10_num,a04_num,a06_num,a03_num
0,0.59755,-0.44945,-0.51171,1.0,-0.46168,-0.54487,g,0.58212,-0.17755,1.0,-0.38223,-0.3409,0.56811,-0.47357,0.0376,-0.05889,0.02306,0.99539
1,0.34432,-0.69707,-0.26569,1.0,-0.18401,-0.06288,b,0.33109,-0.67743,1.0,-0.97515,-0.11593,-0.20332,-0.35734,-0.04549,-0.18829,-0.36156,1.0
2,0.85443,0.00827,-0.4022,0.88965,-0.22145,-0.2418,g,0.75535,0.05346,1.0,0.00299,-0.17365,0.57528,-0.12062,0.01198,-0.03365,0.00485,1.0
3,0.0,0.0,0.90695,0.0,1.0,1.0,b,-1.0,0.0,1.0,0.14516,-0.20099,1.0,0.0,0.0,-0.45161,1.0,1.0
4,0.56409,-0.00712,-0.65158,0.77152,-0.53206,-0.59573,g,0.45107,-0.20275,1.0,-0.27457,-0.62197,0.03286,-0.52879,-0.16399,-0.02401,0.06531,1.0
5,0.0,0.0,-0.01535,0.14706,0.09223,0.0,b,-0.11575,-0.06302,1.0,-0.1554,0.00732,0.03513,0.00888,0.06637,-0.00592,-0.11949,0.02337
6,0.78225,-0.50764,-0.81634,0.85996,-0.8251,-0.81318,g,0.37852,-0.47929,1.0,-0.61436,-0.82395,0.22792,-0.79753,-0.27342,-0.10602,-0.208,0.97588
7,0.0,0.0,1.0,0.0,1.0,1.0,b,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0.9451,-0.40668,-0.6544,1.0,-0.69712,-0.72779,g,0.84537,-0.43569,1.0,-0.46381,-0.63919,0.85106,-0.64225,-0.36174,-0.07198,-0.14333,0.96355
9,0.0,0.0,-0.01326,0.1147,-0.02294,0.24086,b,0.63728,-0.38172,1.0,0.38602,0.0,-0.14803,0.0,-0.2681,-0.08459,0.0,-0.01864
10,0.96232,-0.51874,-0.89128,1.0,-0.865,-0.89093,g,0.69876,-0.41349,1.0,-0.59017,-0.83675,0.55867,-0.80544,-0.43107,0.06655,-0.18388,1.0
11,1.0,1.0,-0.40888,1.0,-0.62745,-1.0,b,1.0,-0.41119,1.0,-1.0,-1.0,1.0,1.0,0.36217,-0.5421,-1.0,1.0
12,0.95735,-0.29785,-0.47137,1.0,-0.5837,-0.64537,g,0.90137,-0.35151,1.0,-0.34412,-0.68794,0.8408,-0.5122,-0.19277,-0.16316,-0.10169,1.0
13,1.0,0.07772,-0.17012,1.0,0.35924,0.88428,b,1.0,0.35147,1.0,-0.14767,-0.66494,1.0,0.62349,-0.1209,-0.86701,0.2228,1.0
