,sepalwidth_num,sepallength_num
0,3.5,5.1
1,3.0,4.9
2,3.2,4.7
3,3.1,4.6
4,3.6,5.0
5,3.9,5.4
6,3.4,4.6
7,3.4,5.0
8,2.9,4.4
9,3.1,4.9
10,3.7,5.4
11,3.4,4.8
12,3.0,4.8
13,3.0,4.3
14,4.0,5.8
15,4.4,5.7
16,3.9,5.4
17,3.5,5.1
18,3.8,5.7
19,3.8,5.1
20,3.4,5.4
21,3.7,5.1
22,3.6,4.6
23,3.3,5.1
24,3.4,4.8
25,3.0,5.0
26,3.4,5.0
27,3.5,5.2
28,3.4,5.2
29,3.2,4.7
30,3.1,4.8
31,3.4,5.4
32,4.1,5.2
33,4.2,5.5
34,3.1,4.9
35,3.2,5.0
36,3.5,5.5
37,3.1,4.9
38,3.0,4.4
39,3.4,5.1
40,3.5,5.0
41,2.3,4.5
42,3.2,4.4
43,3.5,5.0
44,3.8,5.1
45,3.0,4.8
46,3.8,5.1
47,3.2,4.6
48,3.7,5.3
49,3.3,5.0
50,3.2,7.0
51,3.2,6.4
52,3.1,6.9
53,2.3,5.5
54,2.8,6.5
55,2.8,5.7
56,3.3,6.3
57,2.4,4.9
58,2.9,6.6
59,2.7,5.2
60,2.0,5.0
61,3.0,5.9
62,2.2,6.0
63,2.9,6.1
64,2.9,5.6
65,3.1,6.7
66,3.0,5.6
67,2.7,5.8
68,2.2,6.2
69,2.5,5.6
70,3.2,5.9
71,2.8,6.1
72,2.5,6.3
73,2.8,6.1
74,2.9,6.4
75,3.0,6.6
76,2.8,6.8
77,3.0,6.7
78,2.9,6.0
79,2.6,5.7
80,2.4,5.5
81,2.4,5.5
82,2.7,5.8
83,2.7,6.0
84,3.0,5.4
85,3.4,6.0
86,3.1,6.7
87,2.3,6.3
88,3.0,5.6
89,2.5,5.5
90,2.6,5.5
91,3.0,6.1
92,2.6,5.8
93,2.3,5.0
94,2.7,5.6
95,3.0,5.7
96,2.9,5.7
97,2.9,6.2
98,2.5,5.1
99,2.8,5.7
100,3.3,6.3
101,2.7,5.8
102,3.0,7.1
103,2.9,6.3
104,3.0,6.5
105,3.0,7.6
106,2.5,4.9
107,2.9,7.3
108,2.5,6.7
109,3.6,7.2
110,3.2,6.5
111,2.7,6.4
112,3.0,6.8
113,2.5,5.7
114,2.8,5.8
115,3.2,6.4
116,3.0,6.5
117,3.8,7.7
118,2.6,7.7
119,2.2,6.0
120,3.2,6.9
121,2.8,5.6
122,2.8,7.7
123,2.7,6.3
124,3.3,6.7
125,3.2,7.2
126,2.8,6.2
127,3.0,6.1
128,2.8,6.4
129,3.0,7.2
130,2.8,7.4
131,3.8,7.9
132,2.8,6.4
133,2.8,6.3
134,2.6,6.1
135,3.0,7.7
136,3.4,6.3
137,3.1,6.4
138,3.0,6.0
139,3.1,6.9
140,3.1,6.7
141,3.1,6.9
142,2.7,5.8
143,3.2,6.8
144,3.3,6.7
145,3.0,6.7
146,2.5,6.3
147,3.0,6.5
148,3.4,6.2
149,3.0,5.9
