,binaryClass_cat,DS_Name_cat,T_num,N_num,p_num,k_num,Bin_num,Cost_num,SDratio_num,correl_num,cancor1_num,cancor2_num,fract1_num,fract2_num,skewness_num,kurtosis_num,Hc_num,Hx_num,MCx_num,EnAtr_num,NSRatio_num,Alg_Name_cat
0,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Ac2
1,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Alloc80
2,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,BackProp
3,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Bayes
4,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,BayesTree
5,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,C4_5
6,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,CART
7,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cal5
8,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cascade
9,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Castle
10,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cn2
11,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Default
12,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Dipol92
13,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Discrim
14,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,ITrule
15,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,IndCART
16,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,KNN
17,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Kohonen
18,P,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,LVQ
