,att29_num,att27_num,att54_num,att50_num,att71_num,att23_num,att76_num,att1_num,att70_num,att53_num,att52_num,att65_num,att13_num,att36_num,att57_num,att68_num,att30_num,att58_num,att21_num,att10_num,att41_num,att35_num,att18_num,att44_num,att11_num,class_cat,att45_num,att56_num,att28_num,att14_num,att32_num,att25_num,att9_num,att73_num,att17_num,att64_num,att55_num,att8_num
0,0.12052641,0.03251728,0.07717036,0.04157573,0.0677952,0.0730332,0.34487096,0.06588172,0.2816663,0.08296503,0.04237858,0.09067476,0.07790313,0.08377258,0.10948465,0.11337439,0.01661452,0.01642286,0.10262683,0.03706516,0.09901323,0.07900934,0.12775213,0.05234493,0.07594178,1,0.09049952,0.03476068,0.12883987,0.37200891,0.1016249,0.13219889,0.36777339,0.03896293,0.10890633,0.12578294,0.11673209,0.08970119
1,0.14486721,0.05119187,0.11741854,0.03024146,0.04544675,0.04432878,0.35409193,0.04914215,0.25426447,0.08293348,0.10180785,0.01413473,0.01290434,0.09720924,0.0157208,0.06933745,0.02389516,0.08124583,0.01963094,0.05966093,0.02492869,0.08867811,0.00754989,0.01198566,0.01718438,1,0.09217746,0.12295817,0.03022129,0.4531075,0.12118056,0.13041485,0.32673867,0.02171864,0.08133398,0.19320029,0.03004015,0.09680073
2,0.07460746,0.05856481,0.11788467,0.04647604,0.04715371,0.07354646,0.2614646,0.03417192,0.36046421,0.07364814,0.10162405,0.03668751,0.06046838,0.09145005,0.02946103,0.21884189,0.02153262,0.04095022,0.01667626,0.04456917,0.03847526,0.07213971,0.04114768,0.03947392,0.01701238,1,0.0861379,0.05799682,0.00776378,0.36442046,0.0902226,0.12732293,0.32426675,0.05209868,0.10079751,0.18089624,0.03252854,0.041903
3,0.03427041,0.11305006,0.01705523,0.06994006,0.07595038,0.07627465,0.40137574,0.06233634,0.15187976,0.08515453,0.01051252,0.01168655,0.0514254,0.08856824,0.0208773,0.08547904,0.08854398,0.10568698,0.01770276,0.11905231,0.03587386,0.01852276,0.03758477,0.08777712,0.03693055,1,0.07671094,0.08327879,0.03881685,0.33796612,0.04329489,0.05998692,0.33145396,0.0226749,0.16230301,0.15856417,0.07365318,0.02284102
4,0.11709698,0.06762978,0.1074421,0.05233161,0.0156737,0.05988541,0.40540344,0.06196956,0.24856505,0.04812463,0.08441428,0.05064647,0.05180936,0.05843574,0.07284424,0.1069604,0.05025857,0.07120772,0.10294857,0.04914196,0.06776753,0.07686287,0.15687325,0.07077744,0.09329785,1,0.04783511,0.10858039,0.1483368,0.38867408,0.08528853,0.12553763,0.30931014,0.03948148,0.04923336,0.18555242,0.05739412,0.09186634
5,0.07142152,0.0914768,0.06960034,0.08933427,0.02805878,0.0683033,0.35354483,0.06815893,0.18289342,0.09306785,0.02998556,0.08406109,0.05761224,0.09031893,0.09832089,0.04272158,0.09653755,0.12604533,0.10116423,0.17747613,0.07343326,0.07062131,0.08042472,0.02253228,0.0647591,1,0.12102819,0.09064673,0.08974098,0.35089199,0.07893038,0.10743358,0.33359468,0.02757505,0.17574473,0.1326926,0.06385186,0.08818921
6,0.05348072,0.09713349,0.11022933,0.11607747,0.05332711,0.06888911,0.40443893,0.08870737,0.24257356,0.06682776,0.07208099,0.08020488,0.12207071,0.04984378,0.08116518,0.07661738,0.11615154,0.09932677,0.10761262,0.08366929,0.07462139,0.08283934,0.15965061,0.08955788,0.11693792,1,0.04909994,0.06265518,0.12733952,0.2889876,0.07405852,0.12927586,0.40126869,0.03340171,0.11149297,0.14998443,0.07182039,0.10934063
7,0.10386943,0.02019712,0.04517646,0.04093508,0.02683332,0.10531662,0.30157086,0.07497266,0.3477453,0.06443459,0.01951238,0.10947869,0.1386637,0.05504403,0.10734236,0.24576891,0.03587044,0.03817155,0.0829926,0.0282975,0.07822736,0.04870989,0.12493607,0.06777001,0.08337227,1,0.04090698,0.06885241,0.05905108,0.36989524,0.07399086,0.08433177,0.31731614,0.03510731,0.02365969,0.07462599,0.13325404,0.10097024
8,0.1028782,0.04581986,0.06705288,0.02066112,0.01299651,0.02668255,0.44568487,0.05910842,0.19791854,0.01529354,0.01327528,0.07761686,0.05445415,0.05265772,0.10919856,0.07171269,0.02750589,0.06724877,0.13034598,0.09641373,0.13008321,0.06162552,0.10127106,0.0253571,0.08792342,1,0.03832658,0.08596331,0.14591401,0.3019761,0.10464107,0.12928538,0.35948351,0.02115852,0.11415783,0.15566733,0.08997811,0.08291118
9,0.08695371,0.10800742,0.0733138,0.07059201,0.05120327,0.03497552,0.37009931,0.01223665,0.12322217,0.01796906,0.11721032,0.01728423,0.03327992,0.00739835,0.0131093,0.10371516,0.09634654,0.11807802,0.00243648,0.18230127,0.01481186,0.07622194,0.00304677,0.0259911,0.00698615,1,0.01643127,0.0773058,0.00777179,0.31464425,0.08101417,0.02785252,0.43682493,0.00875482,0.17306721,0.14667006,0.02116023,0.0620802
10,0.18751636,0.02760486,0.10242577,0.07444713,0.02572261,0.0518856,0.43010445,0.0315063,0.17987122,0.03617511,0.04451744,0.01314322,0.02182228,0.02719031,0.01486833,0.03934906,0.02645071,0.10077246,0.02471345,0.05446406,0.01899065,0.11745448,0.07085019,0.0147495,0.03583786,1,0.03730349,0.14117476,0.06797825,0.37707141,0.134363,0.15093647,0.33323841,0.00789501,0.05606792,0.17390763,0.0361106,0.05275478
11,0.03449563,0.12643627,0.0275104,0.11147572,0.078153,0.03480474,0.3529797,0.05998737,0.20911773,0.02275007,0.01406366,0.02984597,0.08669889,0.01259255,0.02375324,0.0475108,0.11746544,0.12880457,0.00517189,0.13308798,0.01502844,0.01829817,0.04932528,0.09763638,0.01263959,1,0.02237432,0.11392117,0.03228729,0.34898988,0.02147662,0.06412889,0.3528352,0.04569986,0.15971195,0.16672532,0.05592925,0.12131108
12,0.07271025,0.10851194,0.03040733,0.06797035,0.06215544,0.06615305,0.38128321,0.04390058,0.12943896,0.10841337,0.05414401,0.06832255,0.01419329,0.08273134,0.10006772,0.09264943,0.07654765,0.1107078,0.07473948,0.18652886,0.08769611,0.04880769,0.06986684,0.03040257,0.03276881,1,0.07500129,0.08840969,0.07903916,0.2524219,0.03273344,0.03934571,0.41224408,0.019552,0.18002892,0.13734682,0.08712429,0.03546322
13,0.03198899,0.12215274,0.03055584,0.08237113,0.05101484,0.03780149,0.4144852,0.01571548,0.14598696,0.03825019,0.06695946,0.04816346,0.06700832,0.04676205,0.05049203,0.05177994,0.09785709,0.12388798,0.04073709,0.14541699,0.02275037,0.02338891,0.00519764,0.07843578,0.03481579,1,0.05636907,0.0944536,0.03288443,0.37310953,0.01168778,0.02737885,0.39965246,0.06058007,0.17219797,0.1764938,0.03154209,0.05527353
14,0.00260557,0.11404745,0.02434747,0.06925242,0.06248089,0.06807353,0.39411308,0.0526077,0.1814327,0.07988628,0.00993224,0.03306405,0.06643602,0.07138585,0.0332522,0.02629802,0.08018516,0.11160834,0.02184828,0.12315355,0.05493747,0.00620318,0.05016311,0.05376328,0.02989193,1,0.0662566,0.09909362,0.04896217,0.36284122,0.01559439,0.04585941,0.41302191,0.02209377,0.15721414,0.18434671,0.062114,0.03278481
