,att67_cat,att240_cat,att205_cat,att122_cat,att89_cat,att215_cat,att58_cat,att185_cat,att176_cat,att4_cat,att217_cat,att223_cat,att116_cat,att107_cat,att169_cat,att238_cat,att180_cat,att51_cat,att27_cat,att237_cat,att216_cat,att34_cat,att93_cat,att182_cat,att118_cat,att117_cat,att106_cat,att73_cat,att38_cat,att209_cat,att201_cat,att44_cat,att62_cat,att202_cat,att85_cat,att211_cat,att39_cat,att31_cat,att18_cat,att132_cat,att119_cat,att19_cat,att91_cat,att69_cat,att33_cat,att90_cat,att35_cat,att11_cat,att29_cat,class_cat,att154_cat,att164_cat,att110_cat,att222_cat,att194_cat,att183_cat,att184_cat,att28_cat,att16_cat,att148_cat,att234_cat,att233_cat,att168_cat,att78_cat,att47_cat,att193_cat,att40_cat,att171_cat,att163_cat,att158_cat,att99_cat,att172_cat,att199_cat,att95_cat,att59_cat,att102_cat,att147_cat,att220_cat,att88_cat,att14_cat,att218_cat,att21_cat,att56_cat,att208_cat,att55_cat,att114_cat,att84_cat,att53_cat,att130_cat,att173_cat,att225_cat,att120_cat,att42_cat,att17_cat,att5_cat,att181_cat,att174_cat,att48_cat,att196_cat,att66_cat,att70_cat,att213_cat,att112_cat,att195_cat,att54_cat,att230_cat,att98_cat,att177_cat,att127_cat,att108_cat,att145_cat,att97_cat,att82_cat,att123_cat,att105_cat,att239_cat,att94_cat,att152_cat,att12_cat,att162_cat
0,0,0,6,6,6,6,6,0,6,4,6,1,5,6,6,0,0,0,6,0,6,6,6,6,6,6,6,6,0,0,1,3,6,0,2,1,5,3,6,6,6,6,4,0,6,0,3,3,0,1,6,6,0,5,5,6,6,2,1,6,4,4,6,6,6,6,6,0,6,0,0,0,6,0,6,6,6,6,6,0,6,5,6,6,4,0,0,0,0,0,0,3,6,6,6,6,0,6,5,0,3,6,0,0,0,4,0,6,0,6,0,0,0,6,3,0,6,6,1,6
1,0,0,6,6,6,6,6,0,6,0,6,0,6,6,0,0,0,4,6,0,6,3,6,6,6,6,2,6,1,0,2,6,3,4,2,0,1,0,0,6,6,0,0,0,0,3,6,4,5,1,5,3,0,3,2,6,0,6,0,6,4,4,6,6,2,6,5,0,6,0,0,0,5,0,6,6,6,6,6,1,6,4,6,4,3,0,0,0,3,0,0,2,6,0,0,3,3,6,2,1,3,5,0,0,0,4,0,6,0,6,4,0,0,6,3,0,6,6,4,6
2,0,0,6,6,6,5,5,6,6,4,6,6,3,6,6,2,2,1,2,4,6,4,6,2,6,6,3,6,2,4,6,0,6,6,3,0,5,0,1,6,6,5,3,0,0,3,6,0,0,1,6,6,3,6,6,5,6,0,0,6,4,4,6,6,4,6,6,6,6,0,0,0,4,6,3,6,6,6,6,0,6,6,6,6,4,0,0,0,0,0,0,3,4,0,4,0,0,5,0,2,5,0,0,0,0,0,0,6,0,6,0,0,0,6,3,1,6,5,0,6
3,0,0,6,3,6,6,6,6,6,3,6,0,6,6,6,0,0,0,6,0,6,6,6,0,6,6,1,6,1,0,5,0,6,2,6,0,5,0,6,6,6,6,1,2,6,0,6,6,0,1,6,5,1,3,0,6,6,4,0,6,4,4,6,6,6,6,6,2,6,0,0,0,6,3,1,6,6,6,6,0,6,6,6,4,6,0,2,0,3,0,0,4,6,3,2,0,2,6,0,0,6,5,0,0,0,4,0,6,0,6,3,0,0,6,0,0,6,6,3,6
4,2,0,6,6,6,6,6,0,6,0,6,1,0,4,6,0,0,6,6,0,6,3,6,6,6,6,0,6,5,1,1,5,0,3,0,0,5,0,0,6,6,0,0,0,0,0,6,4,1,1,6,6,6,5,5,6,6,5,0,6,4,4,6,6,0,6,6,0,6,0,0,0,6,6,6,6,6,6,6,0,6,5,5,6,3,0,0,0,0,0,0,4,6,0,0,0,0,1,0,6,0,6,0,0,0,4,0,6,0,6,0,0,0,6,0,0,6,6,3,6
5,6,0,1,0,6,6,6,6,6,0,6,0,3,0,6,0,0,1,6,0,6,0,1,6,6,6,0,6,4,0,6,6,0,6,0,6,6,0,0,6,6,0,0,3,0,3,0,6,6,1,6,6,6,0,0,6,6,6,0,6,0,2,6,0,0,1,6,2,6,0,1,0,6,6,6,6,6,0,6,6,6,0,6,0,6,0,2,6,3,3,0,6,6,0,0,2,6,0,6,6,0,6,1,0,6,4,4,6,0,3,6,6,6,3,4,0,4,6,6,6
6,0,0,4,6,6,6,6,1,0,4,6,6,0,6,6,3,3,0,6,4,6,6,6,6,6,6,0,6,1,6,2,1,6,2,0,0,0,6,6,4,6,6,0,0,6,3,3,6,0,1,6,6,6,6,6,6,6,6,4,6,4,4,6,6,6,6,3,0,6,0,0,0,6,6,5,4,3,6,6,0,6,6,1,6,0,0,0,0,0,0,0,6,6,6,6,0,0,6,0,0,0,6,0,1,0,4,0,6,0,6,0,0,0,6,5,0,6,6,4,5
7,0,0,6,6,6,6,6,1,5,3,6,0,0,6,6,0,0,4,6,0,6,6,6,6,6,0,3,6,2,0,4,1,4,2,0,0,2,0,4,4,6,6,0,0,6,6,6,5,0,1,4,6,0,3,3,6,6,5,0,6,4,4,6,6,3,6,5,0,6,0,0,0,6,0,5,4,6,6,6,0,6,6,6,4,2,0,0,0,0,0,0,6,6,0,6,6,0,6,5,3,0,6,0,0,0,4,0,6,0,6,0,0,0,6,6,0,6,6,1,6
8,0,0,0,6,6,6,6,0,0,4,6,6,0,6,6,4,4,0,6,4,6,6,6,6,6,6,1,6,0,6,0,6,6,0,0,3,0,0,6,6,6,6,3,0,6,1,5,6,6,1,6,6,0,6,6,6,6,6,0,6,4,4,6,6,6,6,1,0,6,0,0,0,6,0,6,6,6,6,6,3,6,6,3,6,0,0,0,0,0,0,0,6,6,1,6,6,0,6,3,0,0,6,0,3,0,4,0,6,0,6,0,0,0,6,5,1,6,6,6,6
9,0,0,5,3,3,6,6,6,1,4,6,6,6,3,6,2,3,0,6,2,6,6,6,2,6,6,0,6,0,6,6,0,6,6,2,0,1,0,6,6,3,6,0,0,6,0,3,4,0,1,6,6,6,6,6,6,6,3,0,6,3,3,6,6,6,6,6,1,6,0,0,0,6,3,2,6,6,6,6,0,6,5,6,6,6,0,0,0,0,0,2,0,6,6,4,0,0,6,0,0,6,5,0,3,0,2,0,6,0,6,0,0,0,6,0,1,6,1,4,3
10,0,0,5,6,6,6,6,6,1,0,6,3,3,6,6,0,0,2,6,1,6,5,6,0,6,6,3,6,1,1,6,6,5,5,0,0,0,0,0,6,6,1,0,0,1,3,6,6,6,1,6,6,6,6,3,6,6,6,0,6,4,3,6,6,1,6,0,4,6,0,0,0,6,3,6,6,6,6,6,3,6,6,2,6,0,0,0,0,0,0,0,6,6,0,0,0,0,6,0,0,0,5,0,0,0,0,0,6,0,6,0,0,0,6,6,0,6,3,5,3
11,1,0,5,6,6,6,6,6,6,5,6,5,6,6,6,0,3,6,6,3,6,6,6,6,6,6,3,6,1,6,6,2,6,6,5,0,6,0,6,6,6,6,0,0,6,0,6,3,0,1,6,6,6,6,6,6,6,3,0,6,4,4,6,6,6,6,6,6,6,0,0,1,6,6,6,6,6,6,6,0,6,6,6,6,6,0,0,0,2,0,0,3,6,2,6,0,0,6,0,6,6,1,0,3,2,3,0,6,0,6,0,0,0,6,0,0,6,6,1,6
12,0,0,6,6,6,6,6,6,6,4,6,0,6,5,6,0,0,0,6,3,6,6,6,6,6,6,0,6,4,0,6,6,6,4,3,0,2,1,6,6,6,6,0,0,6,2,1,6,6,1,6,1,6,6,0,6,6,6,5,6,4,4,6,6,6,3,3,3,6,0,0,0,6,6,6,6,6,6,6,4,6,6,5,2,0,0,0,0,1,0,0,0,6,6,4,0,0,6,0,0,1,6,0,0,0,4,0,6,0,6,2,0,0,6,0,0,6,6,6,6
