,spore-print-color_cat,veil-color_cat,cap-color_cat,stalk-surface-below-ring_cat,ring-type_cat,veil-type_cat,stalk-shape_cat,bruises%3F_cat,cap-surface_cat,ring-number_cat,gill-attachment_cat,gill-spacing_cat
0,k,w,n,s,p,p,e,t,s,o,f,c
1,n,w,y,s,p,p,e,t,s,o,f,c
2,n,w,w,s,p,p,e,t,s,o,f,c
3,k,w,w,s,p,p,e,t,y,o,f,c
4,n,w,g,s,e,p,t,f,s,o,f,w
5,k,w,y,s,p,p,e,t,y,o,f,c
6,k,w,w,s,p,p,e,t,s,o,f,c
7,n,w,w,s,p,p,e,t,y,o,f,c
8,k,w,w,s,p,p,e,t,y,o,f,c
9,k,w,y,s,p,p,e,t,s,o,f,c
10,n,w,y,s,p,p,e,t,y,o,f,c
11,k,w,y,s,p,p,e,t,y,o,f,c
12,n,w,y,s,p,p,e,t,s,o,f,c
13,n,w,w,s,p,p,e,t,y,o,f,c
14,k,w,n,f,e,p,t,f,f,o,f,w
15,n,w,g,s,p,p,e,f,f,o,f,c
16,n,w,w,s,e,p,t,f,f,o,f,w
17,k,w,n,s,p,p,e,t,s,o,f,c
18,n,w,w,s,p,p,e,t,y,o,f,c
19,n,w,n,s,p,p,e,t,s,o,f,c
20,n,w,y,s,p,p,e,t,s,o,f,c
21,n,w,n,s,p,p,e,t,y,o,f,c
22,n,w,y,s,p,p,e,t,y,o,f,c
23,n,w,w,s,p,p,e,t,y,o,f,c
24,k,w,w,s,p,p,e,t,s,o,f,c
25,n,w,w,s,p,p,e,t,s,o,f,c
26,n,w,y,s,p,p,e,t,y,o,f,c
27,n,w,w,s,p,p,e,t,y,o,f,c
28,k,w,n,s,p,p,e,f,f,o,f,c
29,n,w,y,s,p,p,t,t,s,o,f,w
30,n,w,y,s,p,p,e,t,s,o,f,c
31,n,w,w,s,p,p,e,t,y,o,f,c
32,n,w,y,s,p,p,e,t,y,o,f,c
33,n,w,n,y,p,p,e,t,y,o,f,c
34,n,w,y,s,p,p,e,t,y,o,f,c
35,n,w,y,s,p,p,t,t,f,o,f,w
36,k,w,g,s,p,p,e,f,f,o,f,c
37,n,w,n,s,p,p,e,t,y,o,f,c
38,n,w,y,s,p,p,t,t,f,o,f,w
39,k,w,y,s,p,p,e,t,s,o,f,c
40,n,w,y,s,p,p,e,t,y,o,f,c
41,k,w,y,y,p,p,e,t,y,o,f,c
42,k,w,n,s,p,p,e,f,f,o,f,c
43,n,w,w,s,p,p,e,t,y,o,f,c
44,k,w,y,s,p,p,e,t,s,o,f,c
45,n,w,w,s,p,p,e,t,y,o,f,c
46,k,w,y,s,p,p,e,t,y,o,f,c
47,n,w,w,s,p,p,e,t,s,o,f,c
48,n,w,y,y,p,p,e,t,y,o,f,c
49,k,w,y,y,p,p,e,t,y,o,f,c
50,k,w,n,y,p,p,e,t,y,o,f,c
51,k,w,w,s,p,p,e,t,s,o,f,c
52,n,w,w,s,p,p,e,t,s,o,f,c
53,n,w,n,s,p,p,e,t,y,o,f,c
54,k,w,w,s,p,p,e,t,s,o,f,c
55,k,w,y,s,p,p,e,t,y,o,f,c
56,n,w,g,s,e,p,t,f,f,o,f,w
57,n,w,w,s,p,p,e,t,s,o,f,c
58,k,w,y,s,p,p,e,t,s,o,f,c
59,k,w,n,y,p,p,e,t,y,o,f,c
60,n,w,g,s,p,p,e,f,f,o,f,c
61,n,w,y,s,p,p,e,t,y,o,f,c
62,n,w,y,s,p,p,e,t,s,o,f,c
63,n,w,y,s,p,p,e,t,y,o,f,c
64,n,w,w,s,p,p,e,t,y,o,f,c
65,k,w,n,s,e,p,t,f,s,o,f,w
66,k,w,w,s,p,p,e,t,s,o,f,c
67,n,w,y,y,p,p,e,t,y,o,f,c
68,k,w,y,s,p,p,e,t,y,o,f,c
69,n,w,g,s,p,p,e,f,f,o,f,c
70,n,w,y,s,p,p,t,t,f,o,f,w
71,n,w,w,s,p,p,e,t,y,o,f,c
72,n,w,y,s,p,p,t,t,f,o,f,w
73,k,w,n,y,p,p,e,t,y,o,f,c
74,k,w,y,s,p,p,e,t,s,o,f,c
75,n,w,y,s,p,p,t,t,s,o,f,w
76,u,w,w,s,p,p,t,t,s,o,f,w
77,n,w,n,y,p,p,e,t,y,o,f,c
78,n,w,n,s,p,p,e,t,y,o,f,c
79,n,w,n,y,p,p,e,t,y,o,f,c
80,n,w,n,s,e,p,t,f,s,o,f,w
81,k,w,w,s,p,p,e,t,y,o,f,c
82,n,w,g,s,p,p,e,f,f,o,f,c
83,n,w,g,s,e,p,t,f,f,o,f,w
84,k,w,y,y,p,p,e,t,y,o,f,c
85,k,w,n,s,e,p,t,f,s,o,f,w
86,k,w,w,s,p,p,e,t,s,o,f,c
87,n,w,w,s,p,p,e,t,s,o,f,c
88,k,w,n,y,p,p,e,t,y,o,f,c
89,n,w,n,s,p,p,e,f,f,o,f,c
90,n,w,n,s,p,p,e,f,f,o,f,c
91,k,w,w,s,p,p,e,t,s,o,f,c
92,k,w,y,s,p,p,e,t,y,o,f,c
93,k,w,y,s,p,p,e,t,y,o,f,c
94,n,w,n,s,e,p,t,f,s,o,f,w
95,n,w,w,s,p,p,e,t,s,o,f,c
96,n,w,n,y,p,p,e,t,y,o,f,c
97,k,w,y,s,p,p,e,t,s,o,f,c
98,n,w,w,s,p,p,e,t,s,o,f,c
99,k,w,w,s,p,p,e,t,y,o,f,c
100,k,w,n,s,e,p,t,f,f,o,f,w
101,k,w,y,s,p,p,e,t,s,o,f,c
102,n,w,y,y,p,p,e,t,y,o,f,c
103,k,w,y,y,p,p,e,t,y,o,f,c
104,n,w,w,s,p,p,e,t,y,o,f,c
105,k,w,y,s,p,p,e,t,y,o,f,c
106,n,w,y,y,p,p,e,t,y,o,f,c
107,k,w,w,s,p,p,e,t,y,o,f,c
108,n,w,w,s,p,p,e,t,y,o,f,c
109,k,w,y,s,p,p,e,t,s,o,f,c
110,k,w,y,s,p,p,e,t,s,o,f,c
111,k,w,g,s,p,p,e,f,f,o,f,c
112,u,w,w,s,p,p,t,t,f,o,f,w
113,k,w,y,s,p,p,e,t,s,o,f,c
114,n,w,w,s,p,p,e,t,y,o,f,c
115,n,w,y,y,p,p,e,t,y,o,f,c
116,n,w,g,s,p,p,e,f,f,o,f,c
117,k,w,y,y,p,p,e,t,y,o,f,c
118,u,w,y,s,p,p,t,t,s,o,f,w
119,n,w,n,s,p,p,e,f,f,o,f,c
120,k,w,w,s,p,p,e,t,s,o,f,c
121,n,w,w,s,p,p,e,t,y,o,f,c
122,k,w,n,s,p,p,e,t,y,o,f,c
123,n,w,g,s,e,p,t,f,s,o,f,w
124,n,w,y,s,p,p,e,t,s,o,f,c
125,k,w,w,f,e,p,t,f,s,o,f,w
126,n,w,y,s,p,p,e,t,s,o,f,c
127,n,w,g,s,e,p,t,f,f,o,f,w
128,k,w,w,s,p,p,e,t,s,o,f,c
129,n,w,w,s,p,p,e,t,s,o,f,c
130,n,w,w,s,p,p,e,t,s,o,f,c
131,n,w,w,s,p,p,e,t,y,o,f,c
132,u,w,w,s,p,p,t,t,s,o,f,w
133,k,w,y,s,p,p,e,t,y,o,f,c
134,n,w,w,s,p,p,t,t,s,o,f,w
135,n,w,w,s,p,p,e,t,y,o,f,c
136,n,w,w,s,p,p,t,t,f,o,f,w
137,n,w,y,s,p,p,e,t,y,o,f,c
138,n,w,n,s,p,p,e,t,s,o,f,c
139,n,w,y,s,p,p,e,t,s,o,f,c
140,k,w,n,y,p,p,e,t,y,o,f,c
141,k,w,y,s,p,p,e,t,y,o,f,c
142,n,w,n,s,p,p,e,f,f,o,f,c
143,k,w,n,y,p,p,e,t,y,o,f,c
144,k,w,y,s,p,p,e,t,y,o,f,c
145,k,w,g,f,e,p,t,f,f,o,f,w
146,n,w,w,f,e,p,t,f,f,o,f,w
147,n,w,y,s,p,p,e,t,y,o,f,c
148,k,w,y,s,p,p,e,t,s,o,f,c
149,k,w,w,s,p,p,e,t,y,o,f,c
150,n,w,w,s,p,p,e,t,y,o,f,c
151,n,w,n,s,e,p,t,f,s,o,f,w
152,n,w,w,s,p,p,e,t,y,o,f,c
153,k,w,n,s,p,p,e,f,f,o,f,c
154,u,w,w,s,p,p,t,t,s,o,f,w
155,k,w,n,y,p,p,e,t,y,o,f,c
156,n,w,y,s,p,p,e,t,y,o,f,c
157,n,w,w,s,p,p,e,t,y,o,f,c
158,k,w,w,s,p,p,e,t,y,o,f,c
159,k,w,y,s,p,p,e,t,s,o,f,c
160,k,w,y,s,p,p,e,t,s,o,f,c
161,k,w,y,s,p,p,e,t,y,o,f,c
162,n,w,n,s,p,p,e,f,f,o,f,c
163,n,w,n,y,p,p,e,t,y,o,f,c
164,n,w,w,s,p,p,e,t,y,o,f,c
165,n,w,y,y,p,p,e,t,y,o,f,c
