,spore-print-color_cat,class_cat,population_cat,gill-attachment_cat,stalk-color-above-ring_cat,veil-type_cat,cap-color_cat,stalk-surface-above-ring_cat,gill-color_cat,bruises%3F_cat,stalk-shape_cat,odor_cat
0,k,p,s,f,w,p,n,s,k,t,e,p
1,n,e,n,f,w,p,y,s,k,t,e,a
2,n,e,n,f,w,p,w,s,n,t,e,l
3,k,p,s,f,w,p,w,s,n,t,e,p
4,n,e,a,f,w,p,g,s,k,f,t,n
5,k,e,n,f,w,p,y,s,n,t,e,a
6,k,e,n,f,w,p,w,s,g,t,e,a
7,n,e,s,f,w,p,w,s,n,t,e,l
8,k,p,v,f,w,p,w,s,p,t,e,p
9,k,e,s,f,w,p,y,s,g,t,e,a
10,n,e,n,f,w,p,y,s,g,t,e,l
11,k,e,s,f,w,p,y,s,n,t,e,a
12,n,e,s,f,w,p,y,s,w,t,e,a
13,n,p,v,f,w,p,w,s,k,t,e,p
14,k,e,a,f,w,p,n,s,n,f,t,n
15,n,e,y,f,w,p,g,s,k,f,e,n
16,n,e,a,f,w,p,w,s,k,f,t,n
17,k,p,s,f,w,p,n,s,n,t,e,p
18,n,p,s,f,w,p,w,s,n,t,e,p
19,n,p,s,f,w,p,n,s,k,t,e,p
20,n,e,s,f,w,p,y,s,k,t,e,a
21,n,p,v,f,w,p,n,s,n,t,e,p
22,n,e,s,f,w,p,y,s,k,t,e,l
23,n,e,n,f,w,p,w,s,w,t,e,a
24,k,e,s,f,w,p,w,s,g,t,e,l
25,n,p,v,f,w,p,w,s,n,t,e,p
26,n,e,n,f,w,p,y,s,n,t,e,a
27,n,e,n,f,w,p,w,s,w,t,e,l
28,k,e,y,f,w,p,n,s,k,f,e,n
29,n,e,v,f,w,p,y,s,n,t,t,a
30,n,e,n,f,w,p,y,s,g,t,e,l
31,n,p,s,f,w,p,w,s,k,t,e,p
32,n,e,n,f,w,p,y,s,n,t,e,l
33,n,e,y,f,w,p,n,s,p,t,e,l
34,n,e,s,f,w,p,y,s,n,t,e,l
35,n,e,v,f,w,p,y,s,w,t,t,l
36,k,e,v,f,w,p,g,s,k,f,e,n
37,n,p,s,f,w,p,n,s,w,t,e,p
38,n,e,v,f,w,p,y,s,p,t,t,a
39,k,e,s,f,w,p,y,s,k,t,e,l
40,n,e,s,f,w,p,y,s,n,t,e,a
41,k,e,y,f,w,p,y,s,n,t,e,l
42,k,e,y,f,w,p,n,s,g,f,e,n
43,n,p,v,f,w,p,w,s,p,t,e,p
44,k,e,n,f,w,p,y,s,w,t,e,a
45,n,e,n,f,w,p,w,s,n,t,e,a
46,k,e,s,f,w,p,y,s,k,t,e,l
47,n,e,n,f,w,p,w,s,w,t,e,l
48,n,e,s,f,w,p,y,s,n,t,e,l
49,k,e,s,f,w,p,y,s,w,t,e,l
50,k,e,s,f,w,p,n,s,w,t,e,a
51,k,e,s,f,w,p,w,s,k,t,e,l
52,n,e,n,f,w,p,w,s,k,t,e,l
53,n,p,v,f,w,p,n,s,k,t,e,p
54,k,p,v,f,w,p,w,s,k,t,e,p
55,k,e,s,f,w,p,y,s,w,t,e,a
56,n,e,a,f,w,p,g,s,n,f,t,n
57,n,e,n,f,w,p,w,s,w,t,e,a
58,k,e,n,f,w,p,y,s,k,t,e,l
59,k,e,y,f,w,p,n,s,p,t,e,a
60,n,e,v,f,w,p,g,s,k,f,e,n
61,n,e,s,f,w,p,y,s,k,t,e,a
62,n,e,s,f,w,p,y,s,g,t,e,l
63,n,e,n,f,w,p,y,s,g,t,e,l
64,n,e,s,f,w,p,w,s,n,t,e,l
65,k,e,a,f,w,p,n,s,k,f,t,n
66,k,e,s,f,w,p,w,s,n,t,e,l
67,n,e,s,f,w,p,y,s,w,t,e,a
68,k,e,n,f,w,p,y,s,w,t,e,a
69,n,e,v,f,w,p,g,s,p,f,e,n
70,n,e,v,f,w,p,y,s,p,t,t,l
71,n,e,s,f,w,p,w,s,g,t,e,l
72,n,e,v,f,w,p,y,s,w,t,t,l
73,k,e,s,f,w,p,n,s,p,t,e,a
74,k,e,s,f,w,p,y,s,k,t,e,a
75,n,e,v,f,w,p,y,s,p,t,t,l
76,u,e,v,f,w,p,w,s,n,t,t,l
77,n,e,y,f,w,p,n,s,p,t,e,l
78,n,p,v,f,w,p,n,s,w,t,e,p
79,n,e,y,f,w,p,n,s,n,t,e,a
80,n,e,s,f,w,p,n,f,k,f,t,n
81,k,p,s,f,w,p,w,s,w,t,e,p
82,n,e,y,f,w,p,g,s,n,f,e,n
83,n,e,s,f,w,p,g,s,n,f,t,n
84,k,e,s,f,w,p,y,s,w,t,e,l
85,k,e,s,f,w,p,n,s,k,f,t,n
86,k,e,s,f,w,p,w,s,w,t,e,a
87,n,e,s,f,w,p,w,s,n,t,e,l
88,k,e,y,f,w,p,n,s,w,t,e,l
89,n,e,v,f,w,p,n,s,n,f,e,n
90,n,e,y,f,w,p,n,s,n,f,e,n
91,k,e,s,f,w,p,w,s,k,t,e,l
92,k,e,s,f,w,p,y,s,g,t,e,a
93,k,e,n,f,w,p,y,s,g,t,e,l
94,n,e,a,f,w,p,n,s,n,f,t,n
95,n,e,s,f,w,p,w,s,g,t,e,a
96,n,e,s,f,w,p,n,s,p,t,e,l
97,k,e,n,f,w,p,y,s,n,t,e,a
98,n,e,s,f,w,p,w,s,g,t,e,a
99,k,e,s,f,w,p,w,s,g,t,e,a
100,k,e,s,f,w,p,n,f,p,f,t,n
101,k,e,n,f,w,p,y,s,n,t,e,l
102,n,e,s,f,w,p,y,s,w,t,e,l
103,k,e,y,f,w,p,y,s,n,t,e,a
104,n,e,n,f,w,p,w,s,g,t,e,l
105,k,e,n,f,w,p,y,s,n,t,e,a
106,n,e,y,f,w,p,y,s,w,t,e,a
107,k,e,s,f,w,p,w,s,n,t,e,l
108,n,e,s,f,w,p,w,s,g,t,e,a
109,k,e,n,f,w,p,y,s,k,t,e,a
110,k,e,n,f,w,p,y,s,w,t,e,l
111,k,e,y,f,w,p,g,s,g,f,e,n
112,u,e,v,f,w,p,w,s,w,t,t,a
113,k,e,n,f,w,p,y,s,n,t,e,a
114,n,p,v,f,w,p,w,s,n,t,e,p
115,n,e,s,f,w,p,y,s,p,t,e,l
116,n,e,y,f,w,p,g,s,p,f,e,n
117,k,e,y,f,w,p,y,s,w,t,e,l
118,u,e,v,f,w,p,y,s,p,t,t,l
119,n,e,y,f,w,p,n,s,k,f,e,n
120,k,p,v,f,w,p,w,s,k,t,e,p
121,n,e,n,f,w,p,w,s,g,t,e,a
122,k,p,v,f,w,p,n,s,p,t,e,p
123,n,e,a,f,w,p,g,s,k,f,t,n
124,n,e,s,f,w,p,y,s,g,t,e,l
125,k,e,s,f,w,p,w,s,n,f,t,n
126,n,e,n,f,w,p,y,s,w,t,e,a
127,n,e,a,f,w,p,g,s,h,f,t,n
128,k,e,n,f,w,p,w,s,n,t,e,l
129,n,e,s,f,w,p,w,s,n,t,e,l
130,n,e,s,f,w,p,w,s,w,t,e,l
131,n,e,s,f,w,p,w,s,w,t,e,l
132,u,e,v,f,w,p,w,s,w,t,t,l
133,k,e,s,f,w,p,y,s,g,t,e,l
134,n,e,v,f,w,p,w,s,p,t,t,a
135,n,p,v,f,w,p,w,s,w,t,e,p
136,n,e,v,f,w,p,w,s,w,t,t,l
137,n,e,s,f,w,p,y,s,n,t,e,a
138,n,p,v,f,w,p,n,s,p,t,e,p
139,n,e,n,f,w,p,y,s,w,t,e,l
140,k,e,y,f,w,p,n,s,w,t,e,a
141,k,e,n,f,w,p,y,s,g,t,e,l
142,n,e,v,f,w,p,n,s,k,f,e,n
143,k,e,y,f,w,p,n,s,w,t,e,a
144,k,e,n,f,w,p,y,s,k,t,e,a
145,k,e,s,f,w,p,g,f,k,f,t,n
146,n,e,a,f,w,p,w,s,k,f,t,n
147,n,e,n,f,w,p,y,s,w,t,e,l
148,k,e,n,f,w,p,y,s,k,t,e,l
149,k,e,n,f,w,p,w,s,g,t,e,a
150,n,e,s,f,w,p,w,s,w,t,e,a
151,n,e,a,f,w,p,n,f,p,f,t,n
152,n,e,s,f,w,p,w,s,g,t,e,l
