,input51_num,input55_num,input46_num,input2_num,input47_num,input53_num,input21_num,input26_num,input44_num,input40_num,input36_num,input39_num,input63_num,input35_num,input27_num,input58_num,input50_num,input3_num,input31_num,input24_num,input10_num,input57_num,input19_num,input33_num,input61_num,input17_num,input56_num,input54_num,input49_num,input34_num,input41_num,input52_num
0,14.0,0.0,13.0,1.0,5.0,15.0,0.0,5.0,0.0,0.0,3.0,7.0,0.0,13.0,16.0,0.0,0.0,6.0,7.0,0.0,7.0,0.0,16.0,0.0,7.0,0.0,0.0,9.0,0.0,7.0,0.0,9.0
1,16.0,3.0,13.0,0.0,11.0,10.0,6.0,12.0,1.0,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,10.0,11.0,0.0,7.0,0.0,16.0,0.0,15.0,0.0,0.0,15.0,0.0,12.0,0.0,8.0
2,2.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,16.0,0.0,16.0,10.0,0.0,16.0,3.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0
3,0.0,0.0,4.0,0.0,0.0,16.0,1.0,11.0,0.0,0.0,4.0,2.0,0.0,4.0,16.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
4,10.0,12.0,4.0,0.0,11.0,4.0,0.0,6.0,3.0,0.0,3.0,2.0,0.0,16.0,16.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,11.0,0.0,4.0,0.0,8.0
5,5.0,8.0,6.0,0.0,0.0,15.0,11.0,1.0,6.0,0.0,0.0,0.0,16.0,0.0,14.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,16.0,0.0,16.0,0.0,3.0,8.0,0.0,0.0,0.0,15.0
6,0.0,0.0,10.0,0.0,0.0,15.0,16.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,16.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,16.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,8.0
7,6.0,0.0,12.0,0.0,0.0,14.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,15.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0
8,16.0,0.0,15.0,0.0,5.0,16.0,1.0,7.0,0.0,0.0,0.0,8.0,0.0,12.0,15.0,0.0,5.0,15.0,8.0,0.0,0.0,0.0,16.0,0.0,5.0,0.0,0.0,6.0,0.0,5.0,0.0,13.0
9,13.0,12.0,3.0,0.0,12.0,8.0,16.0,10.0,8.0,0.0,16.0,4.0,0.0,12.0,16.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,15.0,0.0,11.0,0.0,0.0,13.0,0.0,1.0,0.0,11.0
10,7.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,0.0,13.0,0.0,0.0,11.0,15.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0
11,0.0,0.0,7.0,0.0,0.0,16.0,16.0,1.0,6.0,0.0,16.0,0.0,1.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,9.0,0.0,5.0
12,0.0,0.0,10.0,0.0,0.0,15.0,3.0,9.0,0.0,0.0,7.0,0.0,0.0,8.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,16.0,0.0,15.0,0.0,0.0,6.0,0.0,1.0,0.0,3.0
13,6.0,0.0,12.0,0.0,0.0,16.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0,0.0,6.0,0.0,1.0,0.0,9.0
14,5.0,12.0,15.0,0.0,6.0,8.0,4.0,0.0,4.0,0.0,16.0,0.0,1.0,15.0,1.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,2.0,0.0,12.0,0.0,0.0,13.0,0.0,1.0,0.0,4.0
15,15.0,0.0,15.0,1.0,2.0,16.0,1.0,7.0,0.0,0.0,0.0,4.0,0.0,12.0,13.0,0.0,0.0,10.0,6.0,0.0,6.0,0.0,16.0,0.0,8.0,0.0,0.0,4.0,0.0,8.0,0.0,9.0
16,0.0,0.0,1.0,0.0,0.0,16.0,1.0,6.0,1.0,0.0,8.0,2.0,0.0,8.0,14.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
17,3.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,13.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
18,7.0,2.0,9.0,0.0,8.0,4.0,10.0,3.0,5.0,0.0,10.0,6.0,0.0,13.0,15.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,13.0,0.0,12.0,0.0,0.0,14.0,0.0,0.0,0.0,11.0
19,0.0,0.0,13.0,0.0,0.0,13.0,1.0,8.0,0.0,0.0,16.0,10.0,0.0,16.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0
20,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,13.0,0.0,16.0,8.0,0.0,10.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
21,12.0,0.0,7.0,0.0,8.0,8.0,9.0,4.0,4.0,0.0,11.0,8.0,0.0,12.0,16.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,13.0,0.0,11.0,0.0,0.0,14.0,0.0,0.0,0.0,8.0
