,lenght_num,area_num,eccen_num,blackand_num,height_num,p_and_num
0,7,35,1.4,23,5,0.657
1,7,42,1.167,37,6,0.881
2,18,108,3.0,80,6,0.741
3,7,35,1.4,26,5,0.743
4,3,18,0.5,17,6,0.944
5,8,40,1.6,40,5,1.0
6,4,24,0.667,17,6,0.708
7,6,30,1.2,10,5,0.333
8,5,25,1.0,13,5,0.52
9,7,35,1.4,32,5,0.914
10,2,10,0.4,10,5,1.0
11,3,15,0.6,11,5,0.733
12,6,30,1.2,22,5,0.733
13,7,35,1.4,30,5,0.857
14,7,42,1.167,37,6,0.881
15,8,40,1.6,19,5,0.475
16,7,42,1.167,40,6,0.952
17,19,95,3.8,38,5,0.4
18,5,25,1.0,14,5,0.56
19,6,24,1.5,12,4,0.5
20,6,24,1.5,19,4,0.792
21,18,72,4.5,38,4,0.528
22,7,42,1.167,23,6,0.548
23,7,35,1.4,31,5,0.886
24,4,20,0.8,16,5,0.8
25,25,325,1.923,93,13,0.286
26,25,325,1.923,221,13,0.68
27,16,112,2.286,72,7,0.643
28,103,721,14.714,498,7,0.691
29,9,99,0.818,62,11,0.626
30,8,88,0.727,88,11,1.0
31,8,88,0.727,42,11,0.477
32,8,88,0.727,88,11,1.0
33,35,385,3.182,253,11,0.657
34,113,339,37.667,160,3,0.472
35,59,177,19.667,84,3,0.475
36,20,40,10.0,27,2,0.675
37,101,202,50.5,150,2,0.743
38,38,380,3.8,360,10,0.947
39,21,189,2.333,146,9,0.772
40,37,333,4.111,304,9,0.913
41,98,980,9.8,818,10,0.835
42,50,450,5.556,431,9,0.958
43,194,776,48.5,212,4,0.273
44,18,36,9.0,25,2,0.694
45,22,44,11.0,33,2,0.75
46,18,36,9.0,30,2,0.833
47,22,44,11.0,38,2,0.864
48,66,660,6.6,436,10,0.661
49,90,810,10.0,637,9,0.786
50,22,198,2.444,162,9,0.818
51,92,828,10.222,733,9,0.885
52,12,108,1.333,106,9,0.981
53,51,459,5.667,361,9,0.786
54,34,306,3.778,271,9,0.886
55,80,720,8.889,632,9,0.878
56,95,760,11.875,712,8,0.937
57,99,1089,9.0,654,11,0.601
58,12,120,1.2,120,10,1.0
59,53,530,5.3,434,10,0.819
60,92,828,10.222,698,9,0.843
61,85,935,7.727,836,11,0.894
62,83,747,9.222,634,9,0.849
63,12,108,1.333,108,9,1.0
64,64,576,7.111,559,9,0.97
65,102,1122,9.273,862,11,0.768
66,12,144,1.0,141,12,0.979
67,56,672,4.667,556,12,0.827
68,84,756,9.333,708,9,0.937
69,54,486,6.0,465,9,0.957
70,41,369,4.556,286,9,0.775
71,83,830,8.3,686,10,0.827
72,4,40,0.4,16,10,0.4
73,11,132,0.917,132,12,1.0
74,44,528,3.667,405,12,0.767
75,34,340,3.4,301,10,0.885
76,76,684,8.444,603,9,0.882
77,14,168,1.167,161,12,0.958
78,7,84,0.583,49,12,0.583
79,44,528,3.667,392,12,0.742
80,63,630,6.3,444,10,0.705
81,32,288,3.556,171,9,0.594
82,116,348,38.667,172,3,0.494
83,10,10,10.0,10,1,1.0
84,13,13,13.0,13,1,1.0
85,8,8,8.0,8,1,1.0
86,44,44,44.0,44,1,1.0
87,20,40,10.0,35,2,0.875
88,20,40,10.0,34,2,0.85
89,10,130,0.769,105,13,0.808
90,86,946,7.818,807,11,0.853
91,20,220,1.818,165,11,0.75
92,5,45,0.556,42,9,0.933
93,3,24,0.375,10,8,0.417
94,113,339,37.667,128,3,0.378
95,3,294,0.031,143,98,0.486
96,48,96,24.0,65,2,0.677
97,65,715,5.909,627,11,0.877
98,37,333,4.111,299,9,0.898
99,21,189,2.333,144,9,0.762
100,8,64,1.0,21,8,0.328
101,100,1000,10.0,910,10,0.91
102,85,765,9.444,621,9,0.812
103,32,288,3.556,225,9,0.781
104,101,1111,9.182,987,11,0.888
105,119,1309,10.818,1045,11,0.798
106,126,1260,12.6,1086,10,0.862
107,13,117,1.444,54,9,0.462
108,75,675,8.333,409,9,0.606
109,119,1309,10.818,978,11,0.747
110,44,440,4.4,375,10,0.852
111,40,360,4.444,348,9,0.967
112,48,384,6.0,351,8,0.914
113,44,396,4.889,371,9,0.937
114,47,423,5.222,316,9,0.747
115,40,360,4.444,331,9,0.919
