,eccen_num,height_num,blackand_num,p_black_num,class_cat,mean_tr_num
0,1.4,5,23,0.4,1,2.33
1,1.167,6,37,0.429,1,3.6
2,3.0,6,80,0.287,1,4.43
3,1.4,5,26,0.371,1,4.33
4,0.5,6,17,0.5,1,2.25
5,1.6,5,40,0.55,1,2.44
6,0.667,6,17,0.417,1,2.5
7,1.2,5,10,0.333,1,10.0
8,1.0,5,13,0.4,1,10.0
9,1.4,5,32,0.486,1,8.5
10,0.4,5,10,0.8,1,8.0
11,0.6,5,11,0.533,1,8.0
12,1.2,5,22,0.433,1,13.0
13,1.4,5,30,0.429,1,5.0
14,1.167,6,37,0.405,1,4.25
15,1.6,5,19,0.375,1,15.0
16,1.167,6,40,0.405,1,4.25
17,3.8,5,38,0.232,1,5.5
18,1.0,5,14,0.4,1,5.0
19,1.5,4,12,0.417,1,10.0
20,1.5,4,19,0.458,1,5.5
21,4.5,4,38,0.25,1,2.57
22,1.167,6,23,0.357,1,7.5
23,1.4,5,31,0.429,1,2.5
24,0.8,5,16,0.5,1,10.0
25,1.923,13,93,0.234,1,10.86
26,1.923,13,221,0.351,1,6.0
27,2.286,7,72,0.321,1,2.57
28,14.714,7,498,0.295,1,1.76
29,0.818,11,62,0.343,1,3.4
30,0.727,11,88,0.58,1,5.1
31,0.727,11,42,0.409,1,36.0
32,0.727,11,88,0.602,1,5.89
33,3.182,11,253,0.382,1,6.13
34,37.667,3,160,0.41,2,13.9
35,19.667,3,84,0.475,2,84.0
36,10.0,2,27,0.675,2,27.0
37,50.5,2,150,0.54,2,10.9
38,3.8,10,360,0.426,1,3.12
39,2.333,9,146,0.429,1,3.0
40,4.111,9,304,0.532,1,3.22
41,9.8,10,818,0.379,1,2.22
42,5.556,9,431,0.496,1,2.69
43,48.5,4,212,0.263,2,34.0
44,9.0,2,25,0.667,2,24.0
45,11.0,2,33,0.75,2,33.0
46,9.0,2,30,0.806,2,29.0
47,11.0,2,38,0.705,2,15.5
48,6.6,10,436,0.273,1,1.94
49,10.0,9,637,0.26,1,2.18
50,2.444,9,162,0.288,1,2.48
51,10.222,9,733,0.286,1,1.93
52,1.333,9,106,0.444,1,1.71
53,5.667,9,361,0.296,1,2.34
54,3.778,9,271,0.32,1,1.56
55,8.889,9,632,0.333,1,2.02
56,11.875,8,712,0.303,1,1.77
57,9.0,11,654,0.23,1,2.14
58,1.2,10,120,0.367,1,1.69
59,5.3,10,434,0.294,1,1.79
60,10.222,9,698,0.292,1,2.05
61,7.727,11,836,0.257,1,1.67
62,9.222,9,634,0.284,1,1.91
63,1.333,9,108,0.454,1,1.69
64,7.111,9,559,0.299,1,1.81
65,9.273,11,862,0.223,1,1.53
66,1.0,12,141,0.306,1,1.69
67,4.667,12,556,0.256,1,2.02
68,9.333,9,708,0.222,1,1.81
69,6.0,9,465,0.292,1,1.48
70,4.556,9,286,0.298,1,1.9
71,8.3,10,686,0.266,1,2.1
72,0.4,10,16,0.375,1,15.0
73,0.917,12,132,0.371,1,1.63
74,3.667,12,405,0.261,1,2.38
75,3.4,10,301,0.297,1,1.71
76,8.444,9,603,0.307,1,1.84
77,1.167,12,161,0.357,1,2.31
78,0.583,12,49,0.214,1,3.6
79,3.667,12,392,0.294,1,2.31
80,6.3,10,444,0.233,1,1.69
81,3.556,9,171,0.271,1,2.23
82,38.667,3,172,0.385,2,33.5
83,10.0,1,10,1.0,2,10.0
84,13.0,1,13,1.0,2,13.0
85,8.0,1,8,1.0,2,8.0
