,Economics_num,Climate_and_Terrain_num,Housing_num,Health_Care_and_Environment_num,Crime_num,Transportation_num,Education_num,The_Arts_num,Recreation_num
0,7633,521,6200,237,923,4031,2757,996,1405
1,4350,575,8138,1656,886,4883,2438,5564,2632
2,5250,468,7339,618,970,2531,2560,237,859
3,5864,476,7908,1431,610,6883,3399,4655,1617
4,5727,659,8393,1853,1483,6558,3026,4496,2612
5,5254,520,5819,640,727,2444,2972,334,1018
6,5097,559,8288,621,514,2881,3144,2333,1117
7,5795,537,6487,965,706,4975,2945,1487,1280
8,4230,561,6191,432,399,4246,2778,256,1210
9,6241,609,6546,669,1073,4902,2852,1235,1109
10,6220,885,16047,2025,983,3954,2843,5632,3156
11,7668,195,12175,601,1223,5091,2414,2346,3000
12,3370,530,5704,580,878,2865,2469,430,838
13,4262,591,5725,820,975,2707,2772,169,613
14,4579,546,11014,2508,1067,3433,3346,7559,2288
15,4730,560,5530,598,1125,3051,2189,268,1165
16,5275,396,7877,833,525,3298,2844,1166,2315
17,5196,694,6722,1204,566,5086,2990,1391,1542
18,5193,601,6691,605,933,1866,2646,3546,1001
19,6315,696,8316,3195,1308,8409,3057,7559,1362
20,8107,615,11074,637,1878,3556,2929,621,2711
21,5431,534,6292,1798,872,2523,2915,1047,913
22,5097,474,10384,1203,821,3943,2208,3857,1800
23,7439,435,8831,782,1049,3670,3063,5355,1063
24,6056,560,8068,420,1561,3725,2564,1222,1568
25,5503,567,9148,3562,1730,7405,3471,9788,2925
26,5172,451,7277,780,651,5613,2934,1995,2148
27,6308,427,8083,342,1565,3329,2635,4237,1413
28,4008,527,6342,900,1031,4652,2483,354,1648
29,6019,423,6288,616,1313,2782,2745,1795,1813
30,3119,586,7866,861,310,2960,2535,1284,1480
31,4247,772,8329,240,825,3776,2778,1302,3200
32,3635,566,6761,570,1190,2989,2545,79,1477
33,6016,559,14607,2661,857,3511,3653,9304,1918
34,5913,452,8315,479,810,6285,3008,778,2046
35,5801,584,6458,441,810,2516,2592,679,2106
36,5614,550,8257,1007,415,4529,3052,1599,1722
37,4843,612,6811,1692,1123,5177,2851,3958,1234
38,6019,149,8365,804,413,4303,2686,1211,1630
39,4829,558,7056,731,657,1746,2873,2152,1990
40,5863,487,8654,815,673,5889,2854,1470,1605
41,4633,592,8221,453,880,6575,2391,2385,1672
42,6363,623,11609,5301,1215,6801,3479,21042,3066
43,7127,459,11914,962,1088,7108,2587,3663,4012
44,7437,440,8242,333,1093,3805,2712,154,1349
45,6020,423,8394,438,768,2391,2718,1506,1512
46,5671,808,9060,310,651,1670,2544,382,1973
47,7197,648,13429,2550,943,3197,3029,8368,1913
48,6527,516,10041,975,545,4495,2628,514,777
49,6900,575,8263,916,1336,3810,2729,2001,1217
50,4968,440,5376,91,974,3119,2413,162,3000
51,8040,383,8228,640,1016,2530,2973,2002,1413
52,5047,571,8064,2465,971,5384,3121,8567,2441
53,5680,637,6179,994,707,1910,2519,131,701
54,6726,383,9673,1809,494,7146,3323,1741,3357
55,4847,575,7332,443,650,4279,2754,989,1157
56,6303,401,9839,345,989,4410,2453,303,1435
57,5009,434,7774,837,714,5270,2619,904,1501
58,5485,525,8627,672,1022,7447,3147,2203,1700
59,5153,569,7402,1463,1495,4207,3164,2993,2561
60,5257,627,7789,708,721,5470,2894,2605,844
61,5671,644,7169,999,1273,6099,3031,4313,1236
62,6055,618,9531,1348,756,6041,3489,1422,1704
63,4487,576,6189,564,946,3401,2415,2483,1238
64,5205,514,10913,5766,1034,7742,3486,24846,2856
65,5307,603,8587,243,947,4067,3126,1647,1543
66,5270,584,8143,2138,978,5748,2918,9688,2451
67,4880,544,6007,446,736,2226,2654,111,2219
68,4879,579,9168,3167,1138,7333,2972,12679,3300
69,7699,526,8509,721,1086,3389,2754,1749,2375
70,5147,541,7702,1951,1065,3893,2377,2882,1331
71,5279,526,7519,1421,1524,5859,2908,2489,1484
72,4812,517,5817,833,820,2995,2665,1861,1214
73,5165,558,8093,1837,1092,4364,2928,6648,2020
74,6690,362,6929,458,1335,3626,2840,1992,2037
75,4741,591,6054,760,337,3709,3363,373,1036
76,7710,544,9318,2825,1529,6213,3269,10438,2310
77,7060,569,14420,2350,548,2715,3029,7415,1572
78,4491,545,5709,593,379,3161,2943,85,501
79,4997,440,8083,1113,834,3907,2901,1017,1920
80,4532,544,7635,2253,1151,4775,2772,6935,1122
81,6592,561,7203,723,1347,4117,2612,809,3967
82,4274,480,7395,732,897,3867,2683,298,1222
83,7164,521,10789,2533,1365,8145,3145,8477,2324
84,5346,444,8028,1256,1044,5521,2613,1857,1802
85,3904,536,8525,4142,1587,4808,3064,10389,2483
86,5453,336,5708,593,930,2232,2230,117,714
87,3949,419,7993,640,571,3668,2701,340,1587
88,3922,193,6040,1159,488,5205,2619,2377,3107
89,6113,537,6501,444,1096,6539,2630,904,1610
90,5348,257,7078,798,433,3197,2960,1807,1397
91,5080,592,7343,528,1323,3705,2479,3800,1101
92,4214,521,6573,596,524,4168,2537,353,1023
93,4813,467,7078,562,582,3324,3000,1048,1600
94,8268,461,6829,626,845,2312,2764,215,1200
95,4299,605,7715,529,635,5754,2641,2032,1340
96,3045,741,9370,539,874,5293,3118,2631,3400
97,5206,550,6743,783,864,3496,2797,1876,1622
98,4884,643,9017,900,861,4602,2439,749,2005
99,5594,148,8168,920,503,6325,2506,2111,1414
100,5255,561,6274,872,1150,4402,3051,844,709
101,4631,549,6686,594,545,3581,2334,1915,1695
102,5098,507,8252,655,655,2244,2799,270,790
103,3724,540,7204,724,1671,4912,2511,2163,1355
104,4492,546,5962,607,516,1454,2427,1021,994
105,4842,552,6508,818,1334,4963,3109,628,800
106,6631,490,9951,731,744,2637,2413,1609,4200
107,7136,572,10810,1252,1536,4186,2734,2027,2455
108,7166,342,9298,546,787,4583,2729,380,4005
109,7973,602,8842,527,1422,2143,3154,368,2058
110,4849,482,5784,466,663,3092,2927,145,1736
111,6342,536,7554,484,544,2886,2809,87,2092
112,4195,509,6733,1060,710,5416,2772,2846,1711
113,6862,528,7956,1038,1348,4472,2627,6466,2366
114,5746,559,9291,369,1483,4388,2407,3596,2984
115,4220,526,5382,622,749,2174,2299,153,300
116,5739,402,7388,1731,1658,3527,3094,3335,1237
117,6026,727,7767,1437,1213,3423,2809,1756,3000
118,3826,483,7641,1364,996,5855,2526,4115,1940
119,5166,476,7120,43,568,2241,2674,603,1883
120,5646,105,7898,1109,401,5587,2721,1921,1304
121,4848,513,7780,1274,952,3454,2705,3255,1909
122,4697,410,7143,667,792,3747,2737,401,2176
123,5443,490,8218,706,994,1641,2854,1254,739
124,5650,367,8401,916,583,3793,2622,2547,1925
125,5204,626,7064,1694,967,4453,3090,4188,1651
126,5012,655,6336,1260,1185,3950,3236,2569,1410
127,4477,568,7763,818,627,3431,2990,825,1491
128,4618,542,8227,1135,892,3338,2747,2316,1604
129,5322,556,7891,2087,629,6164,3224,3083,1532
130,6307,516,11652,2521,1279,7120,3628,3616,1790
131,4728,623,6760,1006,765,2703,2726,188,797
132,5187,717,17021,1298,891,5911,2502,7168,3703
133,6662,427,7094,583,400,1145,1995,725,2700
134,7464,424,9760,2467,1499,4626,3271,11073,1825
135,4383,636,6632,875,665,4001,2525,2195,840
136,6412,600,6283,685,924,2661,2257,1921,1075
137,5082,557,7012,2243,1000,5804,2690,6348,1906
138,5165,434,9429,2437,830,2770,2842,2255,1506
139,3822,518,6794,679,1021,4800,2654,323,1933
140,5186,412,7245,1792,1091,4917,3130,3209,1427
141,6139,457,6626,1181,1211,5611,3048,2162,2884
142,6386,564,6111,740,967,1780,2646,567,1177
143,4371,466,7447,700,858,3092,2532,1092,1615
144,4889,601,8810,1759,1434,4982,2574,7420,1001
145,4903,663,6119,1152,424,2532,2925,1925,2155
146,4181,547,6524,731,353,4343,2691,666,903
147,4631,479,9327,1058,837,4645,2868,3177,1636
148,5324,580,5159,500,628,2335,2871,80,801
149,4794,527,7919,1043,1120,5419,2896,2071,2163
150,5579,483,7230,609,976,3444,2855,75,1119
151,6166,549,8126,1711,1142,5006,3028,1167,1045
152,4865,549,7076,1939,1468,5869,2949,5553,2043
153,5176,496,8516,1067,911,4473,2918,3844,2224
154,6331,365,6463,398,733,2862,3167,920,931
155,5537,670,6692,960,622,4273,2761,3309,2514
156,3429,512,6616,596,413,1817,2904,285,1000
157,5648,352,8310,686,676,6096,3027,1466,1953
158,4333,494,7778,655,465,4956,2945,2235,1814
159,9702,429,8572,548,1030,5268,2305,1772,1734
160,5872,469,6921,314,1093,3549,2336,1456,1855
161,5755,514,13282,1237,822,3422,2607,3746,2435
162,5594,307,6680,323,1373,3412,2998,309,2513
163,5120,559,8631,1111,413,3908,3097,1015,1147
164,4747,480,7907,1371,894,5557,2891,4206,1609
165,5264,424,6152,465,1050,3322,2827,150,702
166,5341,552,6962,588,1457,2989,2736,2804,1609
167,6035,556,9906,412,1913,5900,2241,1586,3996
168,4573,513,7497,621,1018,2931,2700,3150,1752
169,6527,548,10414,1202,909,3575,2479,2111,1879
170,6105,479,5850,477,1156,2366,2375,1280,1757
171,4444,490,6876,759,764,2941,2694,736,1853
172,6245,635,8340,1860,1055,4080,2861,3596,1403
173,4313,522,6986,741,855,4084,2629,1352,1428
174,4908,398,8256,775,789,5618,2878,4523,1804
175,5273,497,7270,1861,1328,4186,2581,2180,1462
176,6898,500,6608,509,976,2680,2816,334,834
177,3301,579,8309,1105,609,3629,2582,2565,1602
178,5316,885,13868,5153,1960,4345,3195,23567,3948
179,5402,616,6812,2111,937,5420,3028,4916,1942
180,6651,526,9640,1083,819,3820,2479,3057,1129
181,5923,604,6990,900,1608,4158,2545,3402,1702
182,4926,642,6934,732,643,4909,2803,1079,1439
183,5659,447,6235,593,783,3144,2651,1435,1204
184,5448,378,9897,2168,779,6084,3047,5123,1944
