,col_5_num,col_2_num,col_3_num,col_4_num
0,-0.43148,0.60814,0.03509,0.16607
1,0.79969,0.79369,0.47924,0.53356
2,-0.92467,-0.8263,-0.61951,-0.78635
3,-2.19081,-1.2531,-1.21675,-1.04076
4,-2.84818,0.17399,-0.18517,0.14229
5,-0.66233,0.20246,0.12764,0.27311
6,2.63674,0.24184,-0.09022,0.04967
7,2.35847,0.59421,0.2175,0.51876
8,-0.91306,-0.61561,-0.48971,-0.63219
9,0.59445,0.99391,0.62227,0.93368
10,1.21073,1.21721,1.00627,1.17381
11,1.87164,0.41436,0.71103,0.58978
12,-0.10178,0.83782,0.74281,0.72154
13,-2.87949,-0.75512,-0.64411,-0.56986
14,3.9259,-0.37407,-0.13787,-0.2177
15,4.35084,1.40353,1.14085,1.37147
16,1.57922,1.64194,1.29229,1.40269
17,3.95689,-0.31304,-0.0798,-0.21455
18,1.09275,1.28525,1.22441,1.20428
19,-0.62389,-1.51938,-1.27565,-1.36598
20,-0.63654,-0.38224,-0.05353,-0.3556
21,-2.02659,-0.19186,-0.42605,-0.53718
22,-1.46692,1.27649,0.81427,0.91967
23,3.15078,0.5231,0.3072,0.47231
24,-2.18938,-1.5981,-1.01572,-1.48315
25,1.91715,0.77914,0.87771,0.76496
26,-2.71428,-1.04745,-0.77536,-0.91397
27,-6.59852,-1.63217,-1.47709,-1.71347
28,0.65101,0.44328,0.60956,0.32833
29,-0.13772,-0.24972,0.07876,-0.17216
30,-2.43959,-0.3348,-0.39314,-0.37198
31,-3.27802,-0.2068,-0.13936,0.05626
32,-2.48058,-1.99375,-1.69587,-1.87838
33,1.88639,0.66475,0.7967,0.69865
34,5.06459,-0.27977,0.10817,-0.2645
35,1.96335,-0.4399,-0.66022,-0.58491
36,0.26274,-0.05334,-0.02396,-0.16795
37,-2.94593,-2.06699,-1.31832,-1.72082
38,-1.38628,-1.0256,-1.15858,-1.1942
39,-0.20797,0.45847,0.21555,0.31347
40,-1.0782,0.93979,0.63454,0.69907
41,-1.66386,-0.93238,-0.95216,-1.02725
42,0.58117,-0.35988,-0.30693,-0.46232
43,1.37447,-0.00518,0.35985,0.02485
44,-2.82687,-0.18892,-0.07959,0.01704
45,3.86363,0.87271,0.47644,0.57036
46,-2.64141,-2.06993,-1.82915,-2.16738
47,0.05387,0.32143,-0.25961,0.21632
48,0.50763,-1.42382,-0.7762,-1.07473
49,0.64347,-0.07852,-0.21347,-0.1175
50,2.49414,-0.14925,-0.03192,-0.36599
51,0.61954,0.52666,0.79149,0.71368
52,0.61745,-1.49102,-1.02073,-1.38103
53,-1.00743,-0.94757,-1.28991,-1.24799
54,-0.37469,0.2455,0.83793,0.59596
55,-2.52824,-0.4163,-0.60312,-0.34951
56,0.02372,1.38143,1.54542,1.59429
57,2.51077,1.03806,0.91637,0.97602
58,-4.22716,-0.88639,-0.47652,-0.77693
59,1.96847,1.08655,0.657,0.89401
60,1.25668,-1.95142,-1.94199,-1.89645
61,-0.16848,2.83384,2.47398,2.79222
62,-0.34158,1.86753,1.55229,1.80057
63,-2.23973,-1.11172,-0.69732,-0.80197
64,3.62654,1.41958,1.11481,1.24558
65,0.97034,0.5394,0.16182,0.33477
66,3.16093,0.22491,0.748,0.66183
67,-1.90801,1.48244,1.47079,1.54283
68,0.64598,2.05425,1.80369,1.90066
69,-1.75915,1.24058,0.64484,0.87372
