,arrivals_num,year_num,month_cat
0,9718,1979,January
1,10889,1979,February
2,17846,1979,March
3,28200,1979,April
4,22873,1979,May
5,25835,1979,June
6,43573,1979,July
7,41744,1979,August
8,31514,1979,September
9,27253,1979,October
10,17623,1979,November
11,19845,1979,December
12,11248,1980,January
13,14071,1980,February
14,23369,1980,March
15,28843,1980,April
16,30274,1980,May
17,31978,1980,June
18,48316,1980,July
19,50882,1980,August
20,36629,1980,September
21,34813,1980,October
22,21337,1980,November
23,21615,1980,December
24,11858,1981,January
25,14550,1981,February
26,24290,1981,March
27,41040,1981,April
28,29990,1981,May
29,39651,1981,June
30,56420,1981,July
31,62542,1981,August
32,44116,1981,September
33,43356,1981,October
34,26357,1981,November
35,24963,1981,December
36,14016,1982,January
37,16227,1982,February
38,32511,1982,March
39,52437,1982,April
40,48961,1982,May
41,51455,1982,June
42,82715,1982,July
43,77238,1982,August
44,69375,1982,September
45,50175,1982,October
46,26715,1982,November
47,26355,1982,December
48,16856,1983,January
49,19691,1983,February
50,36446,1983,March
51,45752,1983,April
52,53114,1983,May
53,51953,1983,June
54,91906,1983,July
55,83577,1983,August
56,104251,1983,September
57,57536,1983,October
58,28581,1983,November
59,31063,1983,December
60,18198,1984,January
61,32784,1984,February
62,42768,1984,March
63,73208,1984,April
64,69210,1984,May
65,80708,1984,June
66,104653,1984,July
67,97310,1984,August
68,85411,1984,September
69,65263,1984,October
70,34530,1984,November
71,32929,1984,December
72,19209,1985,January
73,23288,1985,February
74,44127,1985,March
75,69653,1985,April
76,73007,1985,May
77,90958,1985,June
78,116756,1985,July
79,115581,1985,August
80,100810,1985,September
81,79772,1985,October
82,41486,1985,November
83,38960,1985,December
84,22763,1986,January
85,24656,1986,February
86,54721,1986,March
87,70355,1986,April
88,85126,1986,May
89,94176,1986,June
90,112056,1986,July
91,112971,1986,August
92,98047,1986,September
93,77174,1986,October
94,40399,1986,November
95,35493,1986,December
96,23138,1987,January
97,27564,1987,February
98,45934,1987,March
99,94604,1987,April
100,97172,1987,May
101,101356,1987,June
102,128048,1987,July
103,130808,1987,August
104,111040,1987,September
105,99158,1987,October
106,51563,1987,November
107,38166,1987,December
108,26018,1988,January
109,33275,1988,February
110,66266,1988,March
111,92628,1988,April
112,121848,1988,May
113,115818,1988,June
114,152130,1988,July
115,153024,1988,August
116,129486,1988,September
117,117810,1988,October
118,58710,1988,November
119,44805,1988,December
120,30144,1989,January
121,38826,1989,February
122,83388,1989,March
123,124812,1989,April
124,156534,1989,May
125,140226,1989,June
126,180540,1989,July
127,174672,1989,August
128,171276,1989,September
129,140766,1989,October
130,77583,1989,November
131,58869,1989,December
132,46398,1990,January
133,62295,1990,February
134,112452,1990,March
135,168848,1990,April
136,168553,1990,May
137,157250,1990,June
138,204337,1990,July
139,197925,1990,August
140,174949,1990,September
141,147128,1990,October
142,59253,1990,November
143,61821,1990,December
144,27528,1991,January
145,16748,1991,February
146,44815,1991,March
147,81168,1991,April
148,124753,1991,May
149,145217,1991,June
150,192000,1991,July
151,204000,1991,August
152,190100,1991,September
153,172300,1991,October
154,90300,1991,November
155,96200,1991,December
156,52700,1992,January
157,62300,1992,February
158,107000,1992,March
159,187100,1992,April
160,230300,1992,May
161,217000,1992,June
162,253100,1992,July
163,249800,1992,August
164,244000,1992,September
165,200700,1992,October
166,111500,1992,November
167,75500,1992,December
168,67200,1993,January
169,69400,1993,February
170,119600,1993,March
171,172500,1993,April
172,186500,1993,May
173,172200,1993,June
174,224500,1993,July
175,244800,1993,August
176,222500,1993,September
177,205300,1993,October
178,91500,1993,November
179,65000,1993,December
180,55000,1994,January
181,62000,1994,February
182,118000,1994,March
183,160000,1994,April
184,236000,1994,May
185,223000,1994,June
186,277000,1994,July
187,285000,1994,August
188,247000,1994,September
189,231000,1994,October
190,106000,1994,November
191,69000,1994,December
192,53000,1995,January
193,64000,1995,February
194,112000,1995,March
195,200000,1995,April
196,240000,1995,May
197,222000,1995,June
198,278000,1995,July
199,263000,1995,August
200,254000,1995,September
201,231000,1995,October
202,108000,1995,November
203,75000,1995,December
204,69900,1996,January
205,82400,1996,February
206,133700,1996,March
207,180700,1996,April
208,202800,1996,May
209,195000,1996,June
210,244400,1996,July
211,252000,1996,August
212,220900,1996,September
213,194500,1996,October
214,92500,1996,November
215,81200,1996,December
216,67731,1997,January
217,67848,1997,February
218,134000,1997,March
219,161356,1997,April
220,206345,1997,May
221,219460,1997,June
222,275535,1997,July
223,293887,1997,August
224,242625,1997,September
225,224371,1997,October
226,111110,1997,November
227,83732,1997,December
228,54291,1998,January
229,71634,1998,February
230,101575,1998,March
231,179452,1998,April
232,242833,1998,May
233,248426,1998,June
234,309983,1998,July
235,326854,1998,August
236,270283,1998,September
237,228881,1998,October
238,105773,1998,November
239,82716,1998,December
240,57740,1999,January
241,74041,1999,February
242,126494,1999,March
243,180076,1999,April
244,273317,1999,May
245,276879,1999,June
246,322041,1999,July
247,341088,1999,August
248,309498,1999,September
249,270732,1999,October
250,118105,1999,November
251,84274,1999,December
252,63553,2000,January
253,87243,2000,February
254,135487,2000,March
255,221785,2000,April
256,299355,2000,May
257,302011,2000,June
258,362299,2000,July
259,356686,2000,August
260,329964,2000,September
261,300597,2000,October
262,133500,2000,November
263,93722,2000,December
