,Score_num,Occasion_cat,Judges_cat,Interval_cat,Sittings_cat,Position_cat,Squares_cat,Rows_cat,Columns_cat,Halfplot_cat,Trellis_cat,Method_cat
0,14.5,1,1,1,1,1,1,3,3,1,2,1
1,13.5,1,1,1,1,2,1,3,3,2,2,2
2,14.5,1,1,1,1,3,1,3,3,1,2,1
3,15.0,1,1,1,1,4,1,3,3,2,2,2
4,16.0,1,1,1,2,1,1,3,1,1,3,1
5,16.0,1,1,1,2,2,1,3,1,2,3,2
6,15.5,1,1,1,2,3,1,3,1,2,3,2
7,14.5,1,1,1,2,4,1,3,1,1,3,1
8,15.5,1,1,1,3,1,1,3,2,2,1,2
9,14.5,1,1,1,3,2,1,3,2,1,1,1
10,16.5,1,1,1,3,3,1,3,2,1,1,1
11,14.5,1,1,1,3,4,1,3,2,2,1,2
12,15.5,1,1,1,4,1,1,3,4,2,4,2
13,16.0,1,1,1,4,2,1,3,4,2,4,2
14,15.5,1,1,1,4,3,1,3,4,1,4,1
15,16.0,1,1,1,4,4,1,3,4,1,4,1
16,14.0,1,1,2,1,1,1,1,3,1,1,1
17,15.0,1,1,2,1,2,1,1,3,1,1,1
18,14.5,1,1,2,1,3,1,1,3,2,1,2
19,15.0,1,1,2,1,4,1,1,3,2,1,2
20,15.5,1,1,2,2,1,1,1,4,1,3,1
21,14.0,1,1,2,2,2,1,1,4,1,3,1
22,13.5,1,1,2,2,3,1,1,4,2,3,2
23,15.0,1,1,2,2,4,1,1,4,2,3,2
24,15.0,1,1,2,3,1,1,1,2,1,4,1
25,15.0,1,1,2,3,2,1,1,2,2,4,2
26,15.0,1,1,2,3,3,1,1,2,2,4,2
27,14.5,1,1,2,3,4,1,1,2,1,4,1
28,15.0,1,1,2,4,1,1,1,1,2,2,2
29,14.0,1,1,2,4,2,1,1,1,1,2,1
30,15.0,1,1,2,4,3,1,1,1,1,2,1
31,15.0,1,1,2,4,4,1,1,1,2,2,2
32,16.0,1,1,3,1,1,1,2,1,2,4,2
33,15.0,1,1,3,1,2,1,2,1,1,4,1
34,15.0,1,1,3,1,3,1,2,1,2,4,2
35,16.0,1,1,3,1,4,1,2,1,1,4,1
36,15.0,1,1,3,2,1,1,2,2,1,2,1
37,14.5,1,1,3,2,2,1,2,2,2,2,2
38,15.0,1,1,3,2,3,1,2,2,1,2,1
39,15.0,1,1,3,2,4,1,2,2,2,2,2
40,16.5,1,1,3,3,1,1,2,4,2,1,2
41,16.0,1,1,3,3,2,1,2,4,2,1,2
42,15.5,1,1,3,3,3,1,2,4,1,1,1
43,15.0,1,1,3,3,4,1,2,4,1,1,1
44,15.5,1,1,3,4,1,1,2,3,1,3,1
45,15.0,1,1,3,4,2,1,2,3,2,3,2
46,15.5,1,1,3,4,3,1,2,3,1,3,1
47,16.5,1,1,3,4,4,1,2,3,2,3,2
48,15.5,1,2,1,1,1,1,2,1,2,4,2
49,16.0,1,2,1,1,2,1,2,1,1,4,1
50,16.5,1,2,1,1,3,1,2,1,2,4,2
51,16.5,1,2,1,1,4,1,2,1,1,4,1
52,16.0,1,2,1,2,1,1,2,3,1,3,1
53,16.0,1,2,1,2,2,1,2,3,1,3,1
54,16.5,1,2,1,2,3,1,2,3,2,3,2
55,15.0,1,2,1,2,4,1,2,3,2,3,2
56,16.5,1,2,1,3,1,1,2,4,1,1,1
57,15.0,1,2,1,3,2,1,2,4,2,1,2
58,15.0,1,2,1,3,3,1,2,4,2,1,2
59,15.5,1,2,1,3,4,1,2,4,1,1,1
60,15.5,1,2,1,4,1,1,2,2,1,2,1
61,17.0,1,2,1,4,2,1,2,2,1,2,1
62,16.5,1,2,1,4,3,1,2,2,2,2,2
63,16.0,1,2,1,4,4,1,2,2,2,2,2
64,16.0,1,2,2,1,1,1,3,2,1,1,1
65,14.0,1,2,2,1,2,1,3,2,1,1,1
66,15.5,1,2,2,1,3,1,3,2,2,1,2
67,16.0,1,2,2,1,4,1,3,2,2,1,2
68,16.0,1,2,2,2,1,1,3,1,2,3,2
69,15.5,1,2,2,2,2,1,3,1,1,3,1
70,16.0,1,2,2,2,3,1,3,1,2,3,2
71,16.5,1,2,2,2,4,1,3,1,1,3,1
72,16.0,1,2,2,3,1,1,3,3,1,2,1
73,15.5,1,2,2,3,2,1,3,3,2,2,2
74,14.0,1,2,2,3,3,1,3,3,2,2,2
75,15.0,1,2,2,3,4,1,3,3,1,2,1
76,15.5,1,2,2,4,1,1,3,4,2,4,2
77,15.5,1,2,2,4,2,1,3,4,1,4,1
