,body_weight_num,brain_weight_num,max_life_span_num,gestation_time_num,predation_index_num,sleep_exposure_index_num,danger_index_num,total_sleep_num
0,6654.0,5712.0,38.6,645.0,3,5,3,3.3
1,1.0,6.6,4.5,42.0,3,1,3,8.3
2,3.385,44.5,14.0,60.0,1,1,1,12.5
3,0.92,5.7,,25.0,5,2,3,16.5
4,2547.0,4603.0,69.0,624.0,3,5,4,3.9
5,10.55,179.5,27.0,180.0,4,4,4,9.8
6,0.023,0.3,19.0,35.0,1,1,1,19.7
7,160.0,169.0,30.4,392.0,4,5,4,6.2
8,3.3,25.6,28.0,63.0,1,2,1,14.5
9,52.16,440.0,50.0,230.0,1,1,1,9.7
10,0.425,6.4,7.0,112.0,5,4,4,12.5
11,465.0,423.0,30.0,281.0,5,5,5,3.9
12,0.55,2.4,,,2,1,2,10.3
13,187.1,419.0,40.0,365.0,5,5,5,3.1
14,0.075,1.2,3.5,42.0,1,1,1,8.4
15,3.0,25.0,50.0,28.0,2,2,2,8.6
16,0.785,3.5,6.0,42.0,2,2,2,10.7
17,0.2,5.0,10.4,120.0,2,2,2,10.7
18,1.41,17.5,34.0,,1,2,1,6.1
19,60.0,81.0,7.0,,1,1,1,18.1
20,529.0,680.0,28.0,400.0,5,5,5,
21,27.66,115.0,20.0,148.0,5,5,5,3.8
22,0.12,1.0,3.9,16.0,3,1,2,14.4
23,207.0,406.0,39.3,252.0,1,4,1,12.0
24,85.0,325.0,41.0,310.0,1,3,1,6.2
25,36.33,119.5,16.2,63.0,1,1,1,13.0
26,0.101,4.0,9.0,28.0,5,1,3,13.8
27,1.04,5.5,7.6,68.0,5,3,4,8.2
28,521.0,655.0,46.0,336.0,5,5,5,2.9
29,100.0,157.0,22.4,100.0,1,1,1,10.8
30,35.0,56.0,16.3,33.0,3,5,4,
31,0.005,0.14,2.6,21.5,5,2,4,9.1
32,0.01,0.25,24.0,50.0,1,1,1,19.9
33,62.0,1320.0,100.0,267.0,1,1,1,8.0
34,0.122,3.0,,30.0,2,1,1,10.6
35,1.35,8.1,,45.0,3,1,3,11.2
36,0.023,0.4,3.2,19.0,4,1,3,13.2
37,0.048,0.33,2.0,30.0,4,1,3,12.8
38,1.7,6.3,5.0,12.0,2,1,1,19.4
39,3.5,10.8,6.5,120.0,2,1,1,17.4
40,250.0,490.0,23.6,440.0,5,5,5,
41,0.48,15.5,12.0,140.0,2,2,2,17.0
42,10.0,115.0,20.2,170.0,4,4,4,10.9
43,1.62,11.4,13.0,17.0,2,1,2,13.7
44,192.0,180.0,27.0,115.0,4,4,4,8.4
45,2.5,12.1,18.0,31.0,5,5,5,8.4
46,4.288,39.2,13.7,63.0,2,2,2,12.5
47,0.28,1.9,4.7,21.0,3,1,3,13.2
48,4.235,50.4,9.8,52.0,1,1,1,9.8
49,6.8,179.0,29.0,164.0,2,3,2,9.6
50,0.75,12.3,7.0,225.0,2,2,2,6.6
51,3.6,21.0,6.0,225.0,3,2,3,5.4
52,14.83,98.2,17.0,150.0,5,5,5,2.6
53,55.5,175.0,20.0,151.0,5,5,5,3.8
54,1.4,12.5,12.7,90.0,2,2,2,11.0
55,0.06,1.0,3.5,,3,1,2,10.3
56,0.9,2.6,4.5,60.0,2,1,2,13.3
57,2.0,12.3,7.5,200.0,3,1,3,5.4
58,0.104,2.5,2.3,46.0,3,2,2,15.8
59,4.19,58.0,24.0,210.0,4,3,4,10.3
60,3.5,3.9,3.0,14.0,2,1,1,19.4
61,4.05,17.0,13.0,38.0,3,1,1,
