,rank_num,sat_num,takers_num,income_num,years_num,public_num,expend_num
0,89.7,1088,3,326,16.79,87.8,25.6
1,90.6,1075,2,264,16.07,86.2,19.95
2,89.8,1068,3,317,16.57,88.3,20.62
3,86.3,1045,5,338,16.3,83.9,27.14
4,88.5,1045,5,293,17.25,83.6,21.05
5,86.4,1033,8,263,15.91,93.7,29.48
6,83.4,1028,7,343,17.41,78.3,24.84
7,85.9,1022,4,333,16.57,75.2,17.42
8,87.5,1017,5,328,16.01,97.0,25.96
9,84.2,1011,10,304,16.85,77.3,27.69
10,85.6,1001,5,358,15.95,74.2,20.07
11,89.2,999,4,295,15.49,86.4,15.71
12,83.4,999,9,330,15.72,61.2,14.58
13,83.7,997,8,316,15.92,79.5,22.19
14,85.9,995,7,285,16.18,92.1,17.8
15,90.1,988,3,315,16.76,67.9,15.36
16,86.4,985,6,330,16.61,71.4,15.69
17,81.8,983,16,333,16.83,88.3,26.56
18,83.2,982,19,309,16.23,87.5,26.53
19,84.3,981,11,314,15.98,80.9,19.14
20,78.7,977,14,347,15.8,74.6,24.41
21,82.9,975,5,394,16.85,44.8,19.72
22,80.6,975,10,322,16.42,67.7,20.79
23,81.8,973,10,335,16.5,80.7,24.61
24,86.2,968,7,292,17.08,90.6,18.16
25,83.9,964,6,313,16.37,69.6,13.84
26,79.5,958,16,306,16.52,71.5,21.43
27,73.6,925,56,248,16.35,78.1,20.33
28,79.6,923,31,401,15.32,96.5,50.1
29,81.1,917,18,288,14.73,89.1,21.79
30,79.3,908,40,261,14.48,92.1,30.49
31,75.8,904,54,225,16.5,84.2,20.17
32,77.5,899,36,293,15.52,83.0,25.94
33,71.4,897,42,277,16.95,67.9,27.81
34,69.8,896,69,287,16.75,76.8,26.97
35,70.5,896,59,236,16.86,80.4,33.58
36,74.6,890,46,208,16.05,85.7,20.55
37,74.6,889,39,255,15.91,80.5,22.62
38,71.5,889,50,312,16.9,80.4,25.41
39,72.4,888,52,295,16.08,88.8,22.23
40,69.9,888,65,246,16.79,80.7,31.74
41,73.4,885,50,241,17.27,78.6,27.98
42,71.4,877,59,228,16.67,79.7,25.59
43,69.8,869,64,269,16.37,80.6,27.91
44,76.4,868,32,303,14.95,91.7,19.55
45,74.1,860,48,258,14.39,90.2,17.93
46,69.9,857,47,277,16.4,67.6,21.21
47,75.3,827,47,224,15.31,92.8,19.92
48,74.0,823,51,250,15.55,86.5,16.52
49,74.0,790,48,214,15.42,88.1,15.6
