,Age13IQ_num,FMED_num,TMIQ_num,Age2IQ_num,Age4IQ_num,Age8IQ_num
0,106,10,100,120,115,109
1,95,10,71,131,109,113
2,90,14,89,126,115,113
3,121,7,73,120,102,111
4,96,14,64,126,125,114
5,87,8,64,125,109,96
6,104,13,104,105,107,106
7,125,16,76,130,112,124
8,115,10,81,107,120,109
9,124,8,78,104,108,125
10,109,14,79,120,117,114
11,127,12,128,120,128,148
12,122,9,65,114,102,112
13,119,12,71,122,100,128
14,97,17,75,119,101,102
15,108,13,109,102,107,113
16,97,14,88,133,121,115
17,97,14,90,95,89,115
18,105,15,96,82,106,105
19,104,9,95,136,115,118
20,96,15,80,104,107,107
21,86,13,102,119,103,101
22,109,6,92,116,121,119
23,77,12,88,90,94,95
24,100,12,100,104,114,104
25,126,14,91,99,102,128
26,118,14,70,135,112,118
27,101,15,84,125,108,116
28,73,13,78,102,90,99
29,80,13,78,108,90,86
30,109,16,87,113,97,101
31,101,15,63,127,121,119
32,91,10,67,116,113,113
33,88,15,83,101,93,99
34,132,16,109,99,126,139
35,98,13,54,117,114,119
36,105,9,66,105,109,90
37,128,13,109,112,113,125
38,122,12,88,114,138,124
39,118,8,95,140,130,126
40,127,13,92,120,113,114
41,95,15,65,110,111,114
42,101,8,63,110,113,107
43,114,19,113,128,112,114
44,103,4,110,116,92,105
45,110,10,105,125,111,129
46,115,16,96,128,139,118
47,116,12,78,138,125,139
48,74,14,67,109,92,87
49,131,16,80,109,112,127
50,66,12,53,81,87,80
51,113,13,74,121,132,132
52,123,12,91,120,105,131
53,123,12,98,142,135,147
54,119,13,109,128,145,125
55,112,14,92,115,113,113
56,111,11,91,105,130,115
57,103,11,88,112,107,110
58,101,13,99,117,112,109
59,126,10,90,122,127,129
60,113,15,104,108,124,116
61,97,8,88,122,112,119
