,binaryClass_cat,owl_cat,pctring1_num,pctring2_num,pctring3_num,pctring4_num,pctring5_num,pctring6_num
0,P,0,26.0,33.3,25.6,19.1,31.4,24.8
1,P,0,100.0,92.7,90.1,72.8,51.9,50.6
2,P,0,32.0,22.2,38.3,39.9,22.1,20.2
3,P,0,43.0,79.9,61.4,81.2,47.7,69.6
4,N,0,74.0,61.8,48.3,67.4,74.9,66.0
5,P,0,63.0,85.0,85.8,84.9,78.0,78.0
6,N,0,60.0,72.2,58.1,54.1,55.6,53.5
7,N,0,46.0,68.0,68.8,67.9,71.9,69.5
8,N,0,80.0,62.9,42.0,59.6,68.4,59.7
9,P,0,76.0,63.8,60.7,59.1,44.2,53.4
10,P,0,73.0,60.8,64.6,58.1,59.6,57.5
11,P,0,50.0,54.9,65.8,51.6,49.6,54.0
12,N,0,77.0,74.6,69.1,74.0,63.1,61.2
13,N,0,68.0,63.1,55.7,63.0,79.3,81.1
14,P,0,66.0,66.0,62.6,60.6,20.4,66.8
15,N,0,88.0,92.9,83.1,88.0,82.6,84.8
16,N,0,90.0,94.9,81.7,75.7,80.6,67.7
17,N,0,50.0,52.4,61.3,45.1,52.0,62.8
18,N,0,70.0,72.4,67.6,74.4,65.6,76.5
19,P,0,15.0,39.4,52.6,59.7,49.9,49.6
20,P,0,82.0,74.7,65.2,61.7,55.7,58.2
21,P,0,68.0,55.8,56.1,56.6,49.1,58.0
22,P,0,47.0,44.6,52.9,21.3,52.9,50.5
23,N,0,75.0,75.0,78.4,80.4,55.2,49.3
24,N,0,62.0,49.8,50.1,37.2,51.0,64.0
25,N,0,74.0,42.2,47.2,57.0,62.4,62.3
26,P,0,29.0,51.0,48.3,49.9,43.0,38.7
27,N,0,73.0,65.7,73.4,79.9,78.4,71.8
28,N,0,81.0,76.1,68.7,53.8,60.1,60.4
29,N,0,57.0,69.2,65.4,76.3,76.9,74.5
30,P,1,81.0,83.4,88.9,92.9,80.6,72.0
31,N,1,80.0,87.3,93.3,81.6,85.0,82.8
32,P,1,96.0,74.0,76.7,66.2,69.1,84.5
33,N,1,82.0,79.6,91.3,70.7,75.6,73.5
34,P,1,83.0,80.6,88.9,79.6,55.8,62.9
35,P,1,80.0,80.0,59.3,65.1,61.1,72.2
36,P,1,100.0,100.0,89.7,97.0,97.0,90.5
37,N,1,67.0,67.0,91.1,87.3,87.9,74.7
38,P,1,81.0,71.2,70.1,75.0,75.0,75.0
39,N,1,89.0,67.0,86.9,64.2,72.6,83.5
40,P,1,72.0,79.3,71.6,82.9,70.6,64.2
41,P,1,81.0,56.6,74.4,67.6,65.6,63.5
42,N,1,77.0,89.2,82.0,77.6,81.0,70.2
43,N,1,100.0,85.3,83.7,82.1,89.0,71.7
44,N,1,83.0,68.3,77.0,77.0,82.4,75.8
45,N,1,78.0,75.6,66.7,56.2,80.9,67.7
46,N,1,58.0,80.0,84.2,80.9,84.9,71.7
47,P,1,58.0,38.4,50.0,58.9,62.9,62.6
48,N,1,89.0,93.9,91.0,86.6,79.1,72.9
49,N,1,81.0,71.2,77.0,68.1,58.7,67.7
50,N,1,68.0,53.3,62.0,66.4,63.0,63.0
51,P,1,86.0,78.7,79.6,73.1,80.0,69.2
52,P,1,51.0,43.7,44.6,38.1,28.7,48.5
53,N,1,86.0,90.9,74.2,84.0,78.6,83.0
54,N,1,72.0,74.4,93.7,49.0,79.0,74.7
55,N,1,73.0,70.6,68.6,79.9,78.4,82.6
56,N,1,76.0,76.0,72.6,70.6,74.0,76.2
57,P,1,70.0,62.7,63.6,48.2,56.6,56.7
58,N,1,87.0,82.1,85.0,71.7,82.0,86.3
59,P,1,62.0,47.3,66.3,54.6,52.6,52.7
