,seed_cat,shriveling_cat,fruit-pods_cat,precip_cat,stem_cat,leaf-malf_cat,stem-cankers_cat,fruiting-bodies_cat,fruit-spots_cat,int-discolor_cat,sclerotia_cat,seed-size_cat,external-decay_cat,mycelium_cat,temp_cat,plant-stand_cat,leafspots-marg_cat,germination_cat
0,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,dna,none,absent,norm,firm-and-dry,absent,norm,normal,dna,90-100
1,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,dna,none,absent,norm,firm-and-dry,absent,norm,normal,dna,80-89
2,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,dna,none,absent,norm,firm-and-dry,absent,norm,normal,dna,lt-80
3,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,dna,none,absent,norm,firm-and-dry,absent,norm,normal,dna,80-89
4,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,dna,none,absent,norm,firm-and-dry,absent,norm,normal,dna,lt-80
5,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,dna,none,absent,norm,firm-and-dry,absent,norm,normal,dna,80-89
6,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,dna,none,absent,norm,firm-and-dry,absent,norm,normal,dna,90-100
7,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,dna,none,absent,norm,firm-and-dry,absent,norm,normal,dna,lt-80
8,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,dna,none,absent,norm,firm-and-dry,absent,norm,normal,dna,80-89
9,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,dna,none,absent,norm,firm-and-dry,absent,norm,normal,dna,lt-80
10,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,black,present,norm,absent,absent,gt-norm,normal,dna,90-100
11,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,black,present,norm,absent,absent,norm,normal,dna,80-89
12,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,black,present,norm,absent,absent,norm,normal,dna,90-100
13,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,black,present,norm,absent,absent,norm,normal,dna,90-100
14,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,black,present,norm,absent,absent,gt-norm,normal,dna,80-89
15,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,black,present,norm,absent,absent,gt-norm,normal,dna,lt-80
16,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,black,present,norm,absent,absent,gt-norm,normal,dna,90-100
17,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,black,present,norm,absent,absent,norm,normal,dna,80-89
18,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,black,present,norm,absent,absent,gt-norm,normal,dna,lt-80
19,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,black,present,norm,absent,absent,gt-norm,normal,dna,lt-80
20,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,present,lt-norm,lt-normal,dna,lt-80
21,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,absent,lt-norm,lt-normal,dna,80-89
22,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,present,lt-norm,normal,dna,80-89
23,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,absent,lt-norm,lt-normal,dna,lt-80
24,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,absent,lt-norm,lt-normal,dna,lt-80
25,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,absent,lt-norm,lt-normal,dna,lt-80
26,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,absent,lt-norm,lt-normal,dna,80-89
27,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,absent,lt-norm,lt-normal,dna,80-89
28,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,absent,lt-norm,lt-normal,dna,lt-80
29,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,absent,lt-norm,lt-normal,dna,lt-80
30,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,absent,norm,lt-normal,dna,90-100
31,,,,gt-norm,abnorm,absent,above-soil,,,none,absent,,absent,absent,norm,lt-normal,dna,
32,,,,gt-norm,abnorm,,above-sec-nde,,,none,absent,,absent,absent,gt-norm,lt-normal,,
33,norm,absent,dna,gt-norm,abnorm,absent,above-soil,absent,dna,none,absent,norm,absent,absent,lt-norm,lt-normal,dna,80-89
34,,,,gt-norm,abnorm,,above-soil,,,none,absent,,absent,absent,gt-norm,lt-normal,,
35,,,,gt-norm,abnorm,,above-sec-nde,,,none,absent,,absent,absent,norm,lt-normal,,
36,norm,absent,dna,norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,absent,absent,norm,lt-normal,dna,90-100
37,norm,absent,dna,gt-norm,abnorm,absent,above-soil,absent,dna,none,absent,norm,absent,absent,lt-norm,lt-normal,dna,80-89
38,,,,norm,abnorm,absent,above-soil,,,none,absent,,absent,absent,norm,lt-normal,dna,
39,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,absent,absent,lt-norm,lt-normal,dna,80-89
40,,,,gt-norm,abnorm,absent,above-soil,,,none,absent,,absent,absent,norm,lt-normal,dna,
41,,,,gt-norm,abnorm,,below-soil,,,none,absent,,absent,absent,norm,lt-normal,,
42,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,absent,absent,norm,lt-normal,dna,90-100
43,norm,absent,dna,norm,abnorm,absent,above-soil,absent,dna,none,absent,norm,firm-and-dry,absent,norm,lt-normal,dna,90-100
44,norm,absent,dna,gt-norm,abnorm,absent,above-soil,absent,dna,none,absent,norm,absent,absent,lt-norm,lt-normal,dna,90-100
45,,,,gt-norm,abnorm,,above-sec-nde,,,none,absent,,absent,absent,gt-norm,lt-normal,,
46,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,absent,absent,norm,lt-normal,dna,80-89
47,,,,norm,abnorm,absent,above-soil,,,none,absent,,absent,absent,gt-norm,lt-normal,dna,
48,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,absent,norm,lt-normal,dna,lt-80
49,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,absent,absent,norm,lt-normal,dna,lt-80
50,norm,absent,dna,gt-norm,abnorm,absent,above-soil,absent,dna,none,absent,norm,absent,absent,norm,lt-normal,dna,80-89
51,,,,gt-norm,abnorm,absent,below-soil,,,none,absent,,absent,absent,norm,lt-normal,dna,
52,,,,gt-norm,abnorm,,above-sec-nde,,,none,absent,,absent,absent,norm,lt-normal,,
53,,,,gt-norm,abnorm,absent,above-sec-nde,,,none,absent,,absent,absent,norm,lt-normal,dna,
54,,,,gt-norm,abnorm,,above-soil,,,none,absent,,absent,absent,gt-norm,lt-normal,,
55,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,firm-and-dry,absent,norm,lt-normal,dna,80-89
56,,,,norm,abnorm,absent,above-soil,,,none,absent,,absent,absent,norm,lt-normal,dna,
57,,,,gt-norm,abnorm,,above-soil,,,none,absent,,absent,absent,gt-norm,lt-normal,,
58,,,,norm,abnorm,absent,above-soil,,,none,absent,,absent,absent,gt-norm,lt-normal,dna,
59,,,,gt-norm,abnorm,,below-soil,,,none,absent,,absent,absent,gt-norm,lt-normal,,
60,,,,gt-norm,abnorm,absent,above-soil,,,none,absent,,absent,absent,gt-norm,lt-normal,dna,
61,,,,norm,abnorm,absent,above-sec-nde,,,none,absent,,absent,absent,norm,lt-normal,dna,
62,norm,absent,dna,gt-norm,abnorm,absent,below-soil,absent,dna,none,absent,norm,absent,absent,lt-norm,lt-normal,dna,90-100
63,,,,norm,abnorm,absent,above-sec-nde,,,none,absent,,absent,absent,norm,lt-normal,dna,
64,,,,gt-norm,abnorm,,below-soil,,,none,absent,,absent,absent,gt-norm,lt-normal,,
65,norm,absent,dna,gt-norm,abnorm,absent,above-soil,absent,dna,none,absent,norm,absent,absent,lt-norm,lt-normal,dna,90-100
66,,,,gt-norm,abnorm,,above-soil,,,none,absent,,absent,absent,norm,lt-normal,,
67,,,,gt-norm,abnorm,,above-sec-nde,,,none,absent,,absent,absent,norm,lt-normal,,
68,norm,absent,dna,norm,abnorm,absent,above-soil,absent,dna,none,absent,norm,absent,absent,lt-norm,lt-normal,dna,lt-80
69,,,,gt-norm,abnorm,,above-sec-nde,,,none,absent,,absent,absent,gt-norm,lt-normal,,
70,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,absent,brown,absent,norm,absent,absent,norm,normal,dna,lt-80
71,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,absent,brown,absent,norm,absent,absent,norm,normal,dna,lt-80
72,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,brown,absent,norm,absent,absent,lt-norm,lt-normal,dna,lt-80
73,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,absent,brown,absent,norm,absent,absent,gt-norm,normal,dna,lt-80
74,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,absent,brown,absent,norm,absent,absent,gt-norm,normal,dna,80-89
75,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,absent,brown,absent,norm,absent,absent,norm,normal,dna,80-89
76,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,brown,absent,norm,absent,absent,norm,normal,w-s-marg,lt-80
77,norm,absent,norm,norm,abnorm,absent,absent,absent,dna,brown,absent,norm,absent,absent,norm,normal,dna,90-100
78,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,brown,absent,norm,absent,absent,lt-norm,lt-normal,dna,90-100
79,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,brown,absent,norm,absent,absent,norm,lt-normal,w-s-marg,90-100
80,norm,absent,norm,norm,abnorm,absent,absent,absent,dna,brown,absent,norm,absent,absent,lt-norm,normal,dna,lt-80
81,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,brown,absent,norm,absent,absent,lt-norm,lt-normal,w-s-marg,80-89
82,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,absent,brown,absent,norm,absent,absent,norm,normal,dna,90-100
83,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,dna,brown,absent,norm,absent,absent,lt-norm,lt-normal,w-s-marg,80-89
84,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,absent,brown,absent,norm,absent,absent,norm,normal,dna,80-89
85,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,absent,brown,absent,norm,absent,absent,norm,normal,dna,90-100
86,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,absent,brown,absent,norm,absent,absent,norm,normal,dna,lt-80
87,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,absent,brown,absent,norm,absent,absent,norm,normal,dna,lt-80
88,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,absent,brown,absent,norm,absent,absent,norm,normal,dna,90-100
89,norm,absent,norm,lt-norm,abnorm,absent,absent,absent,absent,brown,absent,norm,absent,absent,norm,normal,dna,90-100
90,norm,absent,norm,lt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,dna,80-89
91,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,normal,dna,lt-80
92,norm,absent,norm,lt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,dna,90-100
93,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,lt-normal,dna,lt-80
94,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,lt-normal,dna,90-100
95,norm,absent,norm,lt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,dna,lt-80
96,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,lt-normal,dna,80-89
97,norm,absent,norm,lt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,dna,lt-80
98,norm,absent,norm,lt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,dna,80-89
99,norm,absent,norm,lt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,dna,90-100
100,abnorm,absent,norm,gt-norm,norm,present,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,normal,w-s-marg,lt-80
101,abnorm,absent,norm,gt-norm,norm,present,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,lt-80
