,leaves_cat,leafspots-halo_cat,fruit-pods_cat,seed_cat,external-decay_cat,seed-tmt_cat,sclerotia_cat,class_cat,mycelium_cat,leafspots-marg_cat,date_cat,leaf-shread_cat,seed-discolor_cat,seed-size_cat,stem_cat,int-discolor_cat,germination_cat,temp_cat
0,abnorm,absent,norm,norm,firm-and-dry,none,absent,diaporthe-stem-canker,absent,dna,october,absent,absent,norm,abnorm,none,90-100,norm
1,abnorm,absent,norm,norm,firm-and-dry,fungicide,absent,diaporthe-stem-canker,absent,dna,august,absent,absent,norm,abnorm,none,80-89,norm
2,abnorm,absent,norm,norm,firm-and-dry,fungicide,absent,diaporthe-stem-canker,absent,dna,july,absent,absent,norm,abnorm,none,lt-80,norm
3,abnorm,absent,norm,norm,firm-and-dry,none,absent,diaporthe-stem-canker,absent,dna,july,absent,absent,norm,abnorm,none,80-89,norm
4,abnorm,absent,norm,norm,firm-and-dry,none,absent,diaporthe-stem-canker,absent,dna,october,absent,absent,norm,abnorm,none,lt-80,norm
5,abnorm,absent,norm,norm,firm-and-dry,none,absent,diaporthe-stem-canker,absent,dna,september,absent,absent,norm,abnorm,none,80-89,norm
6,abnorm,absent,norm,norm,firm-and-dry,fungicide,absent,diaporthe-stem-canker,absent,dna,september,absent,absent,norm,abnorm,none,90-100,norm
7,abnorm,absent,norm,norm,firm-and-dry,none,absent,diaporthe-stem-canker,absent,dna,august,absent,absent,norm,abnorm,none,lt-80,norm
8,abnorm,absent,norm,norm,firm-and-dry,fungicide,absent,diaporthe-stem-canker,absent,dna,october,absent,absent,norm,abnorm,none,80-89,norm
9,abnorm,absent,norm,norm,firm-and-dry,none,absent,diaporthe-stem-canker,absent,dna,august,absent,absent,norm,abnorm,none,lt-80,norm
10,abnorm,absent,norm,norm,absent,fungicide,present,charcoal-rot,absent,dna,october,absent,absent,norm,abnorm,black,90-100,gt-norm
11,abnorm,absent,norm,norm,absent,fungicide,present,charcoal-rot,absent,dna,august,absent,absent,norm,abnorm,black,80-89,norm
12,abnorm,absent,norm,norm,absent,none,present,charcoal-rot,absent,dna,july,absent,absent,norm,abnorm,black,90-100,norm
13,abnorm,absent,norm,norm,absent,fungicide,present,charcoal-rot,absent,dna,october,absent,absent,norm,abnorm,black,90-100,norm
14,abnorm,absent,norm,norm,absent,fungicide,present,charcoal-rot,absent,dna,october,absent,absent,norm,abnorm,black,80-89,gt-norm
15,abnorm,absent,norm,norm,absent,fungicide,present,charcoal-rot,absent,dna,september,absent,absent,norm,abnorm,black,lt-80,gt-norm
16,abnorm,absent,norm,norm,absent,none,present,charcoal-rot,absent,dna,october,absent,absent,norm,abnorm,black,90-100,gt-norm
17,abnorm,absent,norm,norm,absent,none,present,charcoal-rot,absent,dna,august,absent,absent,norm,abnorm,black,80-89,norm
18,abnorm,absent,norm,norm,absent,none,present,charcoal-rot,absent,dna,july,absent,absent,norm,abnorm,black,lt-80,gt-norm
19,abnorm,absent,norm,norm,absent,none,present,charcoal-rot,absent,dna,september,absent,absent,norm,abnorm,black,lt-80,gt-norm
20,norm,absent,dna,norm,firm-and-dry,none,absent,rhizoctonia-root-rot,present,dna,may,absent,absent,norm,abnorm,none,lt-80,lt-norm
21,norm,absent,dna,norm,firm-and-dry,none,absent,rhizoctonia-root-rot,absent,dna,may,absent,absent,norm,abnorm,none,80-89,lt-norm
22,norm,absent,dna,norm,firm-and-dry,none,absent,rhizoctonia-root-rot,present,dna,july,absent,absent,norm,abnorm,none,80-89,lt-norm
