,Class_attribute_cat,Whether_of_not_the_TA_is_a_native_English_speaker_cat,Course_instructor_num,Course_num,Summer_or_regular_semester_cat,Class_size_num
0,3,1,23,3,1,19
1,3,2,15,3,1,17
2,3,1,23,3,2,49
3,3,1,5,2,2,33
4,3,2,7,11,2,55
5,3,2,23,3,1,20
6,3,2,9,5,2,19
7,3,2,10,3,2,27
8,3,1,22,3,1,58
9,3,2,15,3,1,20
10,3,2,10,22,2,9
11,3,2,13,1,2,30
12,3,2,18,21,2,29
13,3,2,6,17,2,39
14,2,2,6,17,2,42
15,2,2,6,17,2,43
16,2,2,7,11,2,10
17,2,2,22,3,2,46
18,2,2,13,3,1,10
19,2,2,7,25,2,42
20,2,2,25,7,2,27
21,2,2,25,7,2,23
22,2,2,2,9,2,31
23,2,2,1,15,1,22
24,2,2,15,13,2,37
25,2,2,7,11,2,13
26,2,2,8,3,2,24
27,2,2,14,15,2,38
28,1,2,21,2,2,42
29,1,2,22,3,2,28
30,1,2,11,1,2,51
31,1,2,18,5,2,19
32,1,2,13,1,2,31
33,1,1,13,3,1,13
34,1,2,5,2,2,37
35,1,2,16,8,2,36
36,1,2,4,16,2,21
37,1,2,5,2,2,48
38,1,2,14,15,2,38
39,3,1,23,3,1,19
40,3,2,15,3,1,17
41,3,1,23,3,2,49
42,3,1,5,2,2,33
43,3,2,7,11,2,55
44,3,2,23,3,1,20
45,3,2,9,5,2,19
46,3,2,10,3,2,27
47,3,1,22,3,2,58
48,3,2,15,3,1,20
49,3,2,10,22,2,9
50,3,2,13,1,2,30
51,3,2,18,21,2,29
52,3,2,6,17,2,39
53,2,2,6,17,2,42
54,2,2,6,17,2,43
55,2,2,7,11,2,10
56,2,2,22,3,2,46
57,2,2,13,3,1,10
58,2,2,7,25,2,42
59,2,2,25,7,2,27
60,2,2,25,7,2,23
61,2,2,2,9,2,31
62,2,2,1,15,1,22
63,2,2,15,13,2,37
64,2,2,7,11,2,13
65,2,2,8,3,2,24
66,2,2,14,15,2,38
67,1,2,21,2,2,42
68,1,2,22,3,2,28
69,1,2,11,1,2,51
70,1,2,18,5,2,19
71,1,2,13,1,2,31
72,1,1,13,3,1,13
73,1,2,5,2,2,37
74,1,2,16,8,2,36
75,1,2,4,16,2,21
76,1,2,5,2,2,48
77,1,2,14,15,2,38
78,3,1,23,3,1,25
79,3,1,13,3,1,17
80,3,2,16,19,2,11
81,3,2,9,2,2,39
82,3,2,13,3,1,11
83,3,2,18,21,2,19
84,3,1,22,3,2,45
85,3,2,7,11,1,20
86,3,2,23,3,1,20
87,3,1,23,3,1,20
88,3,1,23,3,2,38
89,3,2,14,22,2,17
90,3,1,17,17,2,19
91,3,2,9,5,2,24
92,3,2,18,25,2,25
93,3,1,17,17,2,31
94,3,2,1,15,2,31
95,2,2,1,8,2,18
96,2,1,11,16,2,22
97,2,1,22,13,2,27
98,2,2,9,2,2,14
99,2,2,13,1,2,20
100,2,1,6,17,2,35
101,2,2,23,3,1,20
102,2,1,23,3,1,20
103,2,2,6,17,2,37
104,2,1,22,3,2,15
105,2,2,20,2,2,25
106,2,2,23,3,2,10
107,1,2,20,2,2,14
108,1,1,23,3,2,38
109,1,2,13,1,2,29
110,1,2,10,3,2,19
111,1,2,7,11,2,30
112,1,1,14,15,2,32
113,1,2,8,3,2,27
114,1,2,12,7,2,34
115,1,2,8,7,2,23
116,1,2,15,1,2,66
117,1,2,23,3,2,12
118,1,2,2,9,2,29
119,1,2,15,1,2,19
120,1,2,20,2,2,3
121,3,2,13,14,2,17
122,3,2,9,6,2,7
123,3,1,10,3,2,21
124,3,2,14,15,2,36
125,3,1,13,1,2,54
126,3,1,8,3,2,29
127,3,2,20,2,2,45
128,2,2,22,1,2,11
129,2,2,18,12,2,16
130,2,2,20,15,2,18
131,2,1,17,18,2,44
132,2,2,14,23,2,17
133,2,2,24,26,2,21
134,2,2,9,24,2,20
135,2,2,12,8,2,24
136,2,2,9,6,2,5
137,2,2,22,1,2,42
138,1,2,7,11,2,30
139,1,2,10,3,2,19
140,1,2,23,3,2,11
141,1,2,17,18,2,29
142,1,2,16,20,2,15
143,1,2,3,2,2,37
144,1,2,19,4,2,10
145,1,2,23,3,2,24
146,1,2,3,2,2,26
147,1,2,10,3,2,12
148,1,1,18,7,2,48
149,1,2,22,1,2,51
150,1,2,2,10,2,27
